"","activity01","activity02","activity03","activity04","activity05","activity06","activity07","activity08","activity09","activity10","activity11","activity12","activity13","activity14","activity15","activity16","activity17","activity18","activity19","activity20"
"\Wetter (Ruhr)\",4,5,4,4,5,5,5,5,4,5,5,2,5,4,4,4,3,5,4,5
"Elsdorf",3,4,4,5,4,5,4,3,4,5,3,3,4,5,4,3,5,4,5,5
"Langerwehe",3,4,5,5,4,4,4,4,4,4,5,4,4,5,4,5,2,5,4,2
"Moers",3,5,3,4,4,4,4,5,5,5,5,4,5,4,3,4,4,4,4,4
"Luegde",5,4,4,4,5,2,4,4,5,4,5,5,4,4,5,5,5,5,4,5
"Warendorf",4,4,5,4,5,4,5,4,3,4,5,4,5,3,5,5,4,4,5,4
"Hagen",4,5,5,3,4,5,5,5,4,5,4,5,5,5,4,5,5,4,4,4
"Zuelpich",5,3,4,5,3,4,5,5,5,3,4,5,4,5,5,4,4,4,4,4
"Erwitte",4,4,4,5,5,5,4,4,5,4,4,5,4,5,4,5,4,4,4,3
"Alfter",4,3,4,4,4,4,4,5,4,4,4,4,4,5,5,4,5,4,3,5
"Oerlinghausen",4,4,3,5,4,4,4,4,3,5,3,5,4,3,4,4,4,5,4,4
"Huenxe",5,4,4,3,4,3,4,5,5,4,4,4,4,4,4,4,5,5,5,5
"Titz",4,5,5,4,4,3,5,5,3,5,5,4,4,3,4,4,5,5,4,4
"Enger",5,3,5,4,5,4,5,5,5,4,4,5,4,4,4,5,5,5,4,5
"Neunkirchen",5,5,5,4,4,4,5,5,5,3,3,4,3,4,4,4,4,4,5,5
"Espelkamp",4,3,4,4,4,3,3,4,4,5,4,3,4,5,4,4,4,4,5,4
"Bestwig",5,4,5,4,4,3,3,3,5,4,5,3,4,4,4,5,3,2,4,4
"Moenchengladbach",4,4,4,4,4,4,4,4,4,3,4,4,4,5,5,4,5,5,5,4
"Greven",4,5,4,5,5,4,3,3,4,4,4,5,5,5,3,4,4,5,5,5
"Steinhagen",5,5,4,5,4,5,5,4,4,4,5,4,4,4,4,4,4,5,3,5
