"","V1","V2","V3"
"\Wetter (Ruhr)\","activity07",NA,NA
"Elsdorf","activity16",NA,NA
"Langerwehe","activity08",NA,NA
"Moers","activity01",NA,NA
"Luegde","activity17",NA,NA
"Warendorf","activity08",NA,NA
"Hagen","activity12",NA,NA
"Zuelpich","activity06",NA,NA
"Erwitte","activity14",NA,NA
"Alfter","activity11",NA,NA
"Oerlinghausen","activity19",NA,NA
"Huenxe","activity08",NA,NA
"Titz","activity08",NA,NA
"Enger","activity05",NA,NA
"Neunkirchen","activity11",NA,NA
"Espelkamp","activity11",NA,NA
"Bestwig","activity05",NA,NA
"Moenchengladbach","activity12",NA,NA
"Greven","activity11",NA,NA
"Steinhagen","activity19",NA,NA
