"","activity1","activity2","activity3"
"Ahaus","activity08",NA,NA
"Beckum","activity28",NA,NA
"Bruehl","activity65",NA,NA
"Hoevelhof","activity17",NA,NA
"Hopsten","activity49",NA,NA
"Lippetal","activity60",NA,NA
"Nottuln","activity62",NA,NA
"Ostbevern","activity69",NA,NA
"Greven","activity56",NA,NA
"Hamm","activity70",NA,NA
"Hamminkeln","activity01",NA,NA
"Mechernich","activity57",NA,NA
"Moenchengladbach","activity55",NA,NA
"Salzkotten","activity44",NA,NA
"Selm","activity31",NA,NA
"Lotte","activity06",NA,NA
"Holzwickede","activity51",NA,NA
"Juechen","activity62",NA,NA
"Luedinghausen","activity57",NA,NA
"Hilden","activity61",NA,NA
"Borgholzhausen","activity62",NA,NA
"Kirchlengern","activity04",NA,NA
"Marienmuenster","activity67",NA,NA
"Sonsbeck","activity23",NA,NA
"Straelen","activity14",NA,NA
"Wuppertal","activity04",NA,NA
"Suedlohn","activity35",NA,NA
"Leverkusen","activity17",NA,NA
"Schwerte","activity35",NA,NA
"Engelskirchen","activity68",NA,NA
