"","income_t-1","income_t-2","income_t-3","income_t-4","income_t-5"
"Ahaus",839.63,751.14,1141.46,939.64,768.37
"Beckum",550.66,610.06,868.2,764.73,494.86
"Bruehl",555.65,519.14,904.01,814.64,594.07
"Hoevelhof",691.12,668.47,939.43,713.06,781.69
"Hopsten",840.75,766.23,1199.62,936.61,822.07
"Lippetal",633.01,627.78,797.39,679.71,603.24
"Nottuln",714.12,678.6,1054.22,888.12,650.39
"Ostbevern",868.24,744.14,1196.43,944.02,739.81
"Greven",767.3,742.46,1137.72,920.64,784.43
"Hamm",824.76,751.11,1024.25,883.35,697.23
"Hamminkeln",798.4,764.59,1026.72,938.77,861.49
"Mechernich",544,517.34,787.92,704.94,498.49
"Moenchengladbach",743.59,717.28,1063.66,909.35,780.53
"Salzkotten",690.45,703.16,1119.87,901.23,792.93
"Selm",858.47,758.05,1138.05,958.39,728.93
"Lotte",685.48,742.64,1129.23,930.6,723.29
"Holzwickede",940.52,762.21,1128.49,919.45,818.7
"Juechen",761,708.59,1074.79,923.98,790.77
"Luedinghausen",827.5,745.12,1121.21,942.44,649.6
"Hilden",684.94,669.62,1096.92,951.81,730.34
"Borgholzhausen",824.07,744.29,1078.64,875.15,800.24
"Kirchlengern",810.95,791.06,1186.43,957.52,862.24
"Marienmuenster",683.68,697.7,1038.28,847.78,819.68
"Sonsbeck",729.73,729.32,949.89,870.12,828.48
"Straelen",734.14,713.64,1061.43,849.14,832.28
"Wuppertal",801.91,718.08,1148.95,908.28,837.85
"Suedlohn",727.08,727.75,1060.35,924.04,778.07
"Leverkusen",745.44,709.67,1199.21,965.67,769.53
"Schwerte",917.19,776.95,1175.33,959.99,798.91
"Engelskirchen",638.84,581.49,896.29,739.28,573.75
