Municipality,GMAverage,Pre-Sow-Herbicide,Post-Sow-Herbicide
Ahaus       ,      918.92,spre5       ,spost24
Beckum      ,      591.12,spre3       ,spost24
Bruehl      ,      735.98,spre5       ,spost13
Hoevelhof   ,      878.65,spre5       ,spost24
Hopsten     ,      979.30,spre5       ,spost24
Lippetal    ,      665.48,spre3       ,spost24
Nottuln     ,      879.64,spre3       ,spost24
Ostbevern   ,      985.70,spre5       ,spost24
Greven      ,      954.32,spre5       ,spost24
Hamm        ,      841.83,spre3       ,spost24
Hamminkeln  ,      953.44,spre5       ,spost24
Mechernich  ,      747.45,spre5       ,spost24
Moenchenglad,      953.06,spre5       ,spost24
Salzkotten  ,      921.64,spre3       ,spost24
Selm        ,      910.84,spre3       ,spost24
Lotte       ,      955.60,spre5       ,spost24
Holzwickede ,      946.50,spre5       ,spost24
Juechen     ,      985.85,spre5       ,spost24
Luedinghause,      898.08,spre3       ,spost24
Hilden      ,      947.32,spre3       ,spost24
Borgholzhaus,      875.03,spre5       ,spost24
Kirchlengern,      913.97,spre3       ,spost24
Marienmuenst,      885.83,spre5       ,spost24
Sonsbeck    ,      938.65,spre3       ,spost24
Straelen    ,      923.16,spre3       ,spost24
Wuppertal   ,      997.75,spre5       ,spost24
Suedlohn    ,      888.62,spre5       ,spost24
Leverkusen  ,      936.26,spre5       ,spost24
Schwerte    ,      967.99,spre5       ,spost24
Engelskirche,      757.07,spre5       ,spost24
Werl        ,      984.61,spre3       ,spost24
Wesseling   ,      840.39,spre5       ,spost24
Tecklenburg ,      961.50,spre5       ,spost24
Mettmann    ,     1126.41,spre5       ,spost24
Bocholt     ,      957.30,spre5       ,spost24
Schleiden   ,      600.47,spre5       ,spost24
Ratingen    ,     1027.76,spre5       ,spost24
Meerbusch   ,      949.89,spre3       ,spost24
Hellenthal  ,      553.36,spre5       ,spost24
UebachPalenb,      928.23,spre5       ,spost24
