"","latitude","longitude","byear","education","memory","beta","beta_s","aspiration","tolerance_income","tolerance_activity","lambda","alpha_plus","alpha_minus","phi_plus","phi_minus"
"Ahaus",0,0,1975,9,5,0.6,0.83,482,0.11,0.15,0.9,0.7333,0.7333,0.8111,0.8111
"Beckum",0,0,1975,7,5,0.86,0.36,431,0.1,0.1,0.9,0.7333,0.7333,0.8111,0.8111
"Bruehl",0,0,1975,9,5,0.94,0.43,291,0.1,0.12,0.9,0.7333,0.7333,0.8111,0.8111
"Hoevelhof",0,0,1975,7,5,0.97,0.54,296,0.1,0.1,0.9,0.7333,0.7333,0.8111,0.8111
"Hopsten",0,0,1975,5,5,0.63,0.49,365,0.1,0.1,0.9,0.7333,0.7333,0.8111,0.8111
"Lippetal",0,0,1975,8,5,0.99,0.61,342,0.1,0.12,0.9,0.7333,0.7333,0.8111,0.8111
"Nottuln",0,0,1975,5,5,0.74,0.71,345,0.1,0.12,0.9,0.7333,0.7333,0.8111,0.8111
"Ostbevern",0,0,1975,10,5,0.73,0.55,547,0.11,0.14,0.9,0.7333,0.7333,0.8111,0.8111
"Greven",0,0,1975,10,5,0.72,0.35,455,0.12,0.15,0.9,0.7333,0.7333,0.8111,0.8111
"Hamm",0,0,1975,7,5,0.96,0.66,359,0.1,0.16,0.9,0.7333,0.7333,0.8111,0.8111
"Hamminkeln",0,0,1975,10,5,0.74,0.46,451,0.1,0.14,0.9,0.7333,0.7333,0.8111,0.8111
"Mechernich",0,0,1975,6,5,0.81,0.56,496,0.1,0.15,0.9,0.7333,0.7333,0.8111,0.8111
"Moenchengladbach",0,0,1975,8,5,0.88,0.48,358,0.1,0.12,0.9,0.7333,0.7333,0.8111,0.8111
"Salzkotten",0,0,1975,9,5,0.84,0.39,211,0.1,0.12,0.9,0.7333,0.7333,0.8111,0.8111
"Selm",0,0,1975,7,5,0.71,0.72,451,0.1,0.13,0.9,0.7333,0.7333,0.8111,0.8111
"Lotte",0,0,1975,10,5,0.88,0.67,387,0.1,0.13,0.9,0.7333,0.7333,0.8111,0.8111
"Holzwickede",0,0,1975,8,5,0.78,0.58,426,0.11,0.1,0.9,0.7333,0.7333,0.8111,0.8111
"Juechen",0,0,1975,6,5,0.89,0.67,384,0.12,0.14,0.9,0.7333,0.7333,0.8111,0.8111
"Luedinghausen",0,0,1975,9,5,0.87,0.43,436,0.1,0.1,0.9,0.7333,0.7333,0.8111,0.8111
"Hilden",0,0,1975,6,5,0.73,0.44,504,0.1,0.11,0.9,0.7333,0.7333,0.8111,0.8111
"Borgholzhausen",0,0,1975,9,5,0.8,0.63,607,0.12,0.13,0.9,0.7333,0.7333,0.8111,0.8111
"Kirchlengern",0,0,1975,7,5,0.73,0.52,394,0.11,0.1,0.9,0.7333,0.7333,0.8111,0.8111
"Marienmuenster",0,0,1975,7,5,0.81,0.63,289,0.11,0.12,0.9,0.7333,0.7333,0.8111,0.8111
"Sonsbeck",0,0,1975,9,5,0.97,0.63,596,0.1,0.14,0.9,0.7333,0.7333,0.8111,0.8111
"Straelen",0,0,1975,8,5,0.91,0.56,362,0.1,0.13,0.9,0.7333,0.7333,0.8111,0.8111
"Wuppertal",0,0,1975,7,5,0.99,0.46,481,0.11,0.11,0.9,0.7333,0.7333,0.8111,0.8111
"Suedlohn",0,0,1975,8,5,0.93,0.69,348,0.1,0.11,0.9,0.7333,0.7333,0.8111,0.8111
"Leverkusen",0,0,1975,10,5,0.68,0.82,596,0.1,0.12,0.9,0.7333,0.7333,0.8111,0.8111
"Schwerte",0,0,1975,10,5,0.82,0.55,331,0.1,0.11,0.9,0.7333,0.7333,0.8111,0.8111
"Engelskirchen",0,0,1975,9,5,0.59,0.47,338,0.11,0.11,0.9,0.7333,0.7333,0.8111,0.8111
"Werl",0,0,1975,7,5,0.72,0.51,401,0.1,0.14,0.9,0.7333,0.7333,0.8111,0.8111
"Wesseling",0,0,1975,9,5,0.82,0.7,316,0.1,0.11,0.9,0.7333,0.7333,0.8111,0.8111
"Tecklenburg",0,0,1975,7,5,0.96,0.56,466,0.11,0.13,0.9,0.7333,0.7333,0.8111,0.8111
"Mettmann",0,0,1975,7,5,0.95,0.44,255,0.1,0.15,0.9,0.7333,0.7333,0.8111,0.8111
"Bocholt",0,0,1975,8,5,0.96,0.3,441,0.1,0.15,0.9,0.7333,0.7333,0.8111,0.8111
"Schleiden",0,0,1975,8,5,0.86,0.5,444,0.11,0.12,0.9,0.7333,0.7333,0.8111,0.8111
"Ratingen",0,0,1975,5,5,0.75,0.48,498,0.1,0.13,0.9,0.7333,0.7333,0.8111,0.8111
"Meerbusch",0,0,1975,7,5,0.99,0.55,323,0.1,0.13,0.9,0.7333,0.7333,0.8111,0.8111
"Hellenthal",0,0,1975,8,5,0.92,0.61,388,0.1,0.15,0.9,0.7333,0.7333,0.8111,0.8111
"UebachPalenberg",0,0,1975,8,5,0.91,0.39,295,0.1,0.11,0.9,0.7333,0.7333,0.8111,0.8111
