"","activity1","activity2","activity3"
"Ahaus","activity02",NA,NA
"Beckum","activity35",NA,NA
"Bruehl","activity35",NA,NA
"Hoevelhof","activity66",NA,NA
"Hopsten","activity69",NA,NA
"Lippetal","activity05",NA,NA
"Nottuln","activity29",NA,NA
"Ostbevern","activity70",NA,NA
"Greven","activity58",NA,NA
"Hamm","activity15",NA,NA
"Hamminkeln","activity28",NA,NA
"Mechernich","activity63",NA,NA
"Moenchengladbach","activity34",NA,NA
"Salzkotten","activity10",NA,NA
"Selm","activity67",NA,NA
"Lotte","activity34",NA,NA
"Holzwickede","activity06",NA,NA
"Juechen","activity54",NA,NA
"Luedinghausen","activity40",NA,NA
"Hilden","activity64",NA,NA
"Borgholzhausen","activity14",NA,NA
"Kirchlengern","activity40",NA,NA
"Marienmuenster","activity66",NA,NA
"Sonsbeck","activity67",NA,NA
"Straelen","activity24",NA,NA
"Wuppertal","activity28",NA,NA
"Suedlohn","activity14",NA,NA
"Leverkusen","activity68",NA,NA
"Schwerte","activity28",NA,NA
"Engelskirchen","activity18",NA,NA
"Werl","activity63",NA,NA
"Wesseling","activity21",NA,NA
"Tecklenburg","activity20",NA,NA
"Mettmann","activity50",NA,NA
"Bocholt","activity31",NA,NA
"Schleiden","activity62",NA,NA
"Ratingen","activity72",NA,NA
"Meerbusch","activity54",NA,NA
"Hellenthal","activity05",NA,NA
"UebachPalenberg","activity31",NA,NA
