"","income_t-1","income_t-2","income_t-3","income_t-4","income_t-5"
"Ahaus",1115.37,1075.45,1101.32,981.01,688.92
"Beckum",760.24,894.1,835.29,800.64,434.7
"Bruehl",775.43,791.13,869.92,853.72,526.11
"Hoevelhof",932.58,969.03,903.64,748.49,701.31
"Hopsten",1116.75,1094.9,1157.94,977.88,738.87
"Lippetal",862.32,926.25,765.25,714.21,535.24
"Nottuln",962.1,982.75,1016.32,928.02,579.04
"Ostbevern",1150.98,1066.43,1154.83,985.53,662.5
"Greven",1026.3,1064.27,1097.68,961.41,703.86
"Hamm",1098.2,1076.8,987.17,923.03,622.54
"Hamminkeln",1064.74,1092.78,989.71,980.11,775.54
"Mechernich",754.01,776.85,757.02,739.21,437.48
"Moenchengladbach",1000.22,1033.31,1025.29,950.19,699.3
"Salzkotten",933.03,1014.4,1080.23,941.54,711.43
"Selm",1139.6,1085.13,1097.93,1000.43,652.18
"Lotte",925.65,1064.5,1089.41,971.69,647.13
"Holzwickede",1242.8,1092.92,1088.34,960.61,735.41
"Juechen",1021.86,1023.86,1036.12,965.28,708.83
"Luedinghausen",1101.09,1068.48,1081.59,983.98,578.46
"Hilden",926.08,971.17,1057.9,993.72,653.34
"Borgholzhausen",1096.27,1066.62,1040.22,914.42,718.57
"Kirchlengern",1081.25,1128.29,1144.97,999.6,775.9
"Marienmuenster",926.66,1009.82,1000.58,886.6,735.72
"Sonsbeck",980.78,1048.11,914.84,909.31,744.65
"Straelen",986.2,1027.29,1023.39,887.67,748.19
"Wuppertal",1072.09,1033.63,1108.26,949.08,752.62
"Suedlohn",976.91,1044.69,1022.42,964.91,697.94
"Leverkusen",1002.5,1025.24,1157.18,1008.29,689.07
"Schwerte",1214.16,1112.06,1133.94,1002.43,716.99
"Engelskirchen",871.42,859.73,862.41,774.65,507.21
"Werl",1246,1153.61,1180.83,1034.66,773.13
"Wesseling",873.79,886.76,958.48,933.22,581.35
"Tecklenburg",971.73,1065.15,1108.83,961.21,702.74
"Mettmann",1162.49,1108.16,1223.52,1060.14,822.02
"Bocholt",1030.3,1057.13,1010.79,960.63,750.46
"Schleiden",602.66,557.65,607.23,538.1,321.91
"Ratingen",1058.65,1029.49,1118.03,1011.94,750.52
"Meerbusch",992.59,991.45,1023.83,976.27,690.6
"Hellenthal",638.77,522.07,590.44,499.6,309.77
"UebachPalenberg",948.35,1053.38,1000.26,961.53,614.46
