"","activity01","activity02","activity03","activity04","activity05","activity06","activity07","activity08","activity09","activity10","activity11","activity12","activity13","activity14","activity15","activity16","activity17","activity18","activity19","activity20","activity21","activity22","activity23","activity24","activity25","activity26","activity27","activity28","activity29","activity30","activity31","activity32","activity33","activity34","activity35","activity36","activity37","activity38","activity39","activity40","activity41","activity42","activity43","activity44","activity45","activity46","activity47","activity48","activity49","activity50","activity51","activity52","activity53","activity54","activity55","activity56","activity57","activity58","activity59","activity60","activity61","activity62","activity63","activity64","activity65","activity66","activity67","activity68","activity69","activity70","activity71","activity72"
"Ahaus",4,4,3,4,4,1,4,3,2,2,4,3,3,5,3,3,3,2,2,4,3,2,3,2,3,4,1,4,4,5,3,4,4,2,1,3,1,2,1,5,3,4,2,4,3,5,1,1,4,3,4,2,0,4,5,2,1,4,3,3,5,4,3,4,4,3,1,5,1,4,0,1
"Beckum",4,2,0,2,4,1,0,3,1,2,2,4,2,2,2,1,2,4,1,4,1,1,5,1,3,3,1,1,3,2,3,5,3,2,1,3,2,2,2,0,3,5,3,2,1,3,3,1,4,5,4,2,5,5,2,2,2,4,4,4,3,1,2,3,1,2,4,2,1,4,2,5
"Bruehl",0,4,5,5,1,3,1,3,2,2,3,4,4,3,3,1,3,2,2,2,5,4,3,3,3,0,4,2,3,3,4,2,0,4,3,5,3,4,3,2,4,2,1,4,5,3,5,3,3,3,4,4,1,2,2,3,4,2,1,2,4,3,4,5,1,2,3,3,3,2,3,3
"Hoevelhof",4,5,3,2,4,3,0,2,0,3,1,2,0,4,4,5,3,5,3,1,2,3,5,3,2,3,4,3,5,3,4,3,4,4,4,5,0,4,3,5,3,3,3,3,3,4,3,3,3,2,4,4,1,4,3,3,2,2,2,1,4,2,4,2,4,3,5,3,5,0,1,4
"Hopsten",2,3,3,4,3,5,5,4,4,2,1,2,1,3,1,2,0,4,3,4,1,4,1,3,4,4,1,5,3,5,3,0,2,5,4,1,5,1,1,2,1,4,1,2,2,3,4,5,4,1,3,4,3,4,2,2,3,3,2,3,4,3,3,4,1,4,3,4,4,3,2,4
"Lippetal",2,4,3,4,2,4,2,3,3,4,1,3,4,0,5,3,0,5,2,4,4,4,4,2,2,2,4,1,3,3,2,1,1,3,4,1,1,3,3,2,4,2,3,2,4,2,4,1,2,3,3,5,2,3,4,3,3,4,1,0,3,3,3,0,2,4,2,3,2,3,5,2
"Nottuln",2,1,2,2,2,3,4,3,2,1,1,4,0,4,2,1,1,2,5,5,0,2,3,4,4,2,4,4,3,4,4,5,5,1,0,2,3,3,1,5,2,2,1,2,4,5,2,5,2,4,2,1,1,3,3,5,4,3,3,2,2,2,3,1,3,3,5,2,1,1,3,4
"Ostbevern",2,3,3,3,4,1,3,3,2,3,0,5,1,3,2,4,4,3,2,4,2,3,5,4,1,4,4,0,2,3,3,1,2,4,3,2,1,3,3,2,0,3,0,2,2,4,3,4,3,4,0,4,5,4,4,4,1,3,4,1,3,2,5,4,5,3,4,3,1,4,3,2
"Greven",4,1,4,4,1,4,0,5,3,3,5,5,1,4,1,4,3,2,4,2,1,5,1,2,5,1,1,4,1,4,3,4,3,2,2,3,4,5,5,2,3,2,1,3,4,4,2,3,4,1,3,3,2,5,3,4,5,3,4,2,4,4,1,1,1,4,4,4,3,3,3,4
"Hamm",3,3,4,4,5,4,2,3,3,3,1,4,2,4,4,5,0,4,5,3,3,3,2,3,1,0,3,2,4,1,5,1,2,5,4,5,4,3,2,1,1,3,3,2,4,2,4,0,3,0,4,2,1,2,4,3,3,1,1,3,3,3,5,2,2,2,3,2,4,2,5,4
"Hamminkeln",2,3,1,2,1,3,1,3,3,5,3,3,2,2,3,2,3,4,5,0,2,2,1,3,4,3,4,1,2,4,0,1,3,2,4,1,1,2,3,3,4,2,2,2,2,3,5,3,4,1,5,1,2,1,4,5,1,1,1,5,1,2,3,3,2,3,5,4,4,2,3,0
