,activity1,activity2,activity3
Ahaus,activity59,NA,NA
Beckum,activity17,NA,NA
Bruehl,activity61,NA,NA
Hoevelhof,activity17,NA,NA
Hopsten,activity47,NA,NA
Lippetal,activity40,NA,NA
Nottuln,activity37,NA,NA
Ostbevern,activity05,NA,NA
Greven,activity45,NA,NA
Hamm,activity14,NA,NA
Hamminkeln,activity28,NA,NA
Mechernich,activity59,NA,NA
Moenchengladbach,activity39,NA,NA
Salzkotten,activity64,NA,NA
Selm,activity58,NA,NA
Lotte,activity22,NA,NA
Holzwickede,activity11,NA,NA
Juechen,activity66,NA,NA
Luedinghausen,activity61,NA,NA
Hilden,activity28,NA,NA
Borgholzhausen,activity10,NA,NA
Kirchlengern,activity65,NA,NA
Marienmuenster,activity72,NA,NA
Sonsbeck,activity28,NA,NA
Straelen,activity57,NA,NA
Wuppertal,activity21,NA,NA
Suedlohn,activity61,NA,NA
Leverkusen,activity68,NA,NA
Schwerte,activity06,NA,NA
Engelskirchen,activity05,NA,NA
Werl,activity27,NA,NA
Wesseling,activity22,NA,NA
Tecklenburg,activity11,NA,NA
Mettmann,activity67,NA,NA
Bocholt,activity05,NA,NA
Schleiden,activity24,NA,NA
Ratingen,activity18,NA,NA
Meerbusch,activity61,NA,NA
Hellenthal,activity32,NA,NA
UebachPalenberg,activity69,NA,NA
Bestwig,activity04,NA,NA
Lengerich,activity44,NA,NA
Radevormwald,activity29,NA,NA
Siegen,activity41,NA,NA
Soest,activity70,NA,NA
Issum,activity14,NA,NA
Waltrop,activity68,NA,NA
CastropRauxel,activity72,NA,NA
Nettetal,activity45,NA,NA
BadSalzuflen,activity70,NA,NA
Rahden,activity33,NA,NA
Steinfurt,activity43,NA,NA
Lemgo,activity39,NA,NA
Hoerstel,activity48,NA,NA
Nieheim,activity49,NA,NA
Steinheim,activity61,NA,NA
Ruethen,activity44,NA,NA
BadWuennenberg,activity53,NA,NA
Vettweiss,activity65,NA,NA
Luenen,activity61,NA,NA
Bochum,activity20,NA,NA
Delbrueck,activity27,NA,NA
Gangelt,activity70,NA,NA
Kerken,activity61,NA,NA
Horstmar,activity42,NA,NA
Barntrup,activity52,NA,NA
Ascheberg,activity22,NA,NA
Wenden,activity51,NA,NA
Drolshagen,activity66,NA,NA
Geseke,activity58,NA,NA
Kevelaer,activity05,NA,NA
Hille,activity57,NA,NA
Heinsberg,activity24,NA,NA
Goch,activity07,NA,NA
Neuenrade,activity45,NA,NA
Loehne,activity66,NA,NA
Windeck,activity69,NA,NA
Mettingen,activity26,NA,NA
Muenster,activity05,NA,NA
Alfter,activity71,NA,NA
Rheurdt,activity69,NA,NA
Rheine,activity64,NA,NA
Augustdorf,activity39,NA,NA
Stemwede,activity49,NA,NA
Troisdorf,activity57,NA,NA
LangenfeldRhld,activity69,NA,NA
Extertal,activity42,NA,NA
Metelen,activity05,NA,NA
Wipperfuerth,activity32,NA,NA
Schoeppingen,activity51,NA,NA
Uedem,activity65,NA,NA
FroendenbergRuhr,activity57,NA,NA
Coesfeld,activity61,NA,NA
Kalkar,activity31,NA,NA
Sassenberg,activity28,NA,NA
Viersen,activity24,NA,NA
Buende,activity44,NA,NA
Oelde,activity52,NA,NA
SchiederSchwalenberg,activity70,NA,NA
Spenge,activity57,NA,NA
Wesel,activity55,NA,NA
WickedeRuhr,activity53,NA,NA
Steinhagen,activity63,NA,NA
Bielefeld,activity20,NA,NA
Olpe,activity39,NA,NA
Werdohl,activity13,NA,NA
Kamen,activity43,NA,NA
Emsdetten,activity20,NA,NA
Brakel,activity44,NA,NA
Roedinghausen,activity49,NA,NA
Xanten,activity47,NA,NA
Haan,activity43,NA,NA
HalleWestf,activity71,NA,NA
Gladbeck,activity49,NA,NA
Heimbach,activity47,NA,NA
Beelen,activity04,NA,NA
Medebach,activity68,NA,NA
NachrodtWiblingwerde,activity18,NA,NA
HornBadMeinberg,activity72,NA,NA
Warstein,activity14,NA,NA
Luegde,activity10,NA,NA
Luedenscheid,activity29,NA,NA
Schwalmtal,activity60,NA,NA
Gummersbach,activity21,NA,NA
Ahlen,activity62,NA,NA
Senden,activity06,NA,NA
Werne,activity48,NA,NA
Iserlohn,activity42,NA,NA
Titz,activity02,NA,NA
Enger,activity60,NA,NA
Herford,activity35,NA,NA
Recke,activity24,NA,NA
Finnentrop,activity53,NA,NA
Waldfeucht,activity63,NA,NA
RhedaWiedenbrueck,activity11,NA,NA
Brueggen,activity67,NA,NA
Erkelenz,activity21,NA,NA
Weeze,activity49,NA,NA
Wilnsdorf,activity45,NA,NA
Datteln,activity63,NA,NA
Borken,activity21,NA,NA
Bergkamen,activity44,NA,NA
Oberhausen,activity14,NA,NA
Wettringen,activity65,NA,NA
Attendorn,activity63,NA,NA
Herdecke,activity30,NA,NA
Bergheim,activity71,NA,NA
Much,activity49,NA,NA
Eitorf,activity51,NA,NA
Neuss,activity07,NA,NA
