,latitude,longitude,byear,education,memory,beta_l,beta_s,beta_p,reference_income,aspiration,tolerance_income,tolerance_activity,lambda,alpha_plus,alpha_minus,phi_plus,phi_minus,opt_fuzzy_size,imt_fuzzy_size,ranking_version,learning_rate
Ahaus,0,0,1963,12,6,0.73,0.73,0.53,829,0,0,0,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.5
Beckum,0,0,1963,11,6,0.66,0.66,0.78,561,0,0.12,0.07,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0
Bruehl,0,0,1963,13,6,0.53,0.59,0.6,833,0,0.15,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Hoevelhof,0,0,1963,10,6,0.71,0.7,0.6,668,0,0.12,0.13,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Hopsten,0,0,1963,14,6,0.57,0.69,0.73,548,0,0.13,0.12,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Lippetal,0,0,1963,10,6,0.65,0.72,0.59,842,0,0.13,0.12,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Nottuln,0,0,1963,8,6,0.66,0.73,0.56,671,0,0.1,0.1,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Ostbevern,0,0,1963,12,6,0.59,0.87,0.63,552,0,0.11,0.11,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Greven,0,0,1963,9,6,0.66,0.62,0.8,668,0,0.14,0.12,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Hamm,0,0,1963,10,6,0.62,0.62,0.52,422,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Hamminkeln,0,0,1963,9,6,0.61,0.81,0.76,639,0,0.11,0.11,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Mechernich,0,0,1963,13,6,0.71,0.78,0.6,825,0,0.1,0.07,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Moenchengladbach,0,0,1963,11,6,0.63,0.71,0.73,617,0,0.14,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Salzkotten,0,0,1963,13,6,0.78,0.93,0.58,675,0,0.12,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Selm,0,0,1963,9,6,0.59,0.53,0.58,845,0,0.1,0.1,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Lotte,0,0,1963,12,6,0.56,0.76,0.72,746,0,0.11,0.11,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Holzwickede,0,0,1963,9,6,0.64,0.68,0.77,311,0,0.11,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Juechen,0,0,1963,11,6,0.58,0.79,0.73,676,0,0.12,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Luedinghausen,0,0,1963,11,6,0.54,0.77,0.6,780,0,0.11,0.1,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Hilden,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Borgholzhausen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Kirchlengern,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Marienmuenster,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Sonsbeck,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Straelen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Wuppertal,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Suedlohn,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Leverkusen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Schwerte,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Engelskirchen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Werl,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Wesseling,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Tecklenburg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Mettmann,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Bocholt,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Schleiden,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Ratingen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Meerbusch,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Hellenthal,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
UebachPalenberg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Bestwig,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Lengerich,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Radevormwald,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Siegen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Soest,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Issum,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Waltrop,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
CastropRauxel,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Nettetal,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
BadSalzuflen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Rahden,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Steinfurt,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Lemgo,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Hoerstel,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Nieheim,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Steinheim,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Ruethen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
BadWuennenberg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Vettweiss,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Luenen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Bochum,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Delbrueck,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Gangelt,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Kerken,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Horstmar,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Barntrup,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Ascheberg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Wenden,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Drolshagen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Geseke,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Kevelaer,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Hille,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Heinsberg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Goch,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Neuenrade,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Loehne,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Windeck,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Mettingen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Muenster,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Alfter,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Rheurdt,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Rheine,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Augustdorf,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Stemwede,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Troisdorf,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
LangenfeldRhld,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Extertal,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Metelen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Wipperfuerth,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Schoeppingen,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Uedem,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
FroendenbergRuhr,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Coesfeld,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Kalkar,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
Sassenberg,0,0,1963,9,6,0.74,0.73,0.61,751,0,0.1,0.09,0.8333,0.6,0.6,0.8556,0.8556,72,9,0,0.7
