,income_t-1,income_t-2,income_t-3,income_t-4,income_t-5,income_t-6
Ahaus,1115.37,1034.91,1101.32,981.01,688.92,688.92
Beckum,760.24,858.59,835.29,800.64,434.7,434.7
Bruehl,775.43,757.13,869.92,853.72,526.11,526.11
Hoevelhof,932.58,930.82,903.64,748.49,701.31,701.31
Hopsten,1116.75,1053.81,1157.94,977.88,738.87,738.87
Lippetal,862.32,888.65,765.25,714.21,535.24,535.24
Nottuln,962.1,944.73,1016.32,928.02,579.04,579.04
Ostbevern,1150.98,1026.14,1154.83,985.53,662.5,662.5
Greven,1026.3,1024.04,1097.68,961.41,703.86,703.86
Hamm,1098.2,1036.09,987.17,923.03,622.54,622.54
Hamminkeln,1064.74,1051.76,989.71,980.11,775.54,775.54
Mechernich,754.01,744.41,757.02,739.21,437.48,437.48
Moenchengladbach,1000.22,993.58,1025.29,950.19,699.3,699.3
Salzkotten,933.03,975.49,1080.23,941.54,711.43,711.43
Selm,1139.6,1044.25,1097.93,1000.43,652.18,652.18
Lotte,925.65,1024.27,1089.41,971.69,647.13,647.13
Holzwickede,1242.8,1051.52,1088.34,960.61,735.41,735.41
Juechen,1021.86,984.45,1036.12,965.28,708.83,708.83
Luedinghausen,1101.09,1028.06,1081.59,983.98,578.46,578.46
Hilden,926.08,933.47,1057.9,993.72,653.34,653.34
Borgholzhausen,1096.27,1026.33,1040.22,914.42,718.57,718.57
Kirchlengern,1081.25,1086.14,1144.97,999.6,775.9,775.9
Marienmuenster,926.66,970.81,1000.58,886.6,735.72,735.72
Sonsbeck,980.78,1008.26,914.84,909.31,744.65,744.65
Straelen,986.2,988.09,1023.39,887.67,748.19,748.19
Wuppertal,1072.09,994.18,1108.26,949.08,752.62,752.62
Suedlohn,976.91,1005.08,1022.42,964.91,697.94,697.94
Leverkusen,1002.5,985.79,1157.18,1008.29,689.07,689.07
Schwerte,1214.16,1070.12,1133.94,1002.43,716.99,716.99
Engelskirchen,871.42,824.95,862.41,774.65,507.21,507.21
Werl,1246,1110.75,1180.83,1034.66,773.13,773.13
Wesseling,873.79,851.22,958.48,933.22,581.35,581.35
Tecklenburg,971.73,1024.9,1108.83,961.21,702.74,702.74
Mettmann,1162.49,1066.33,1223.52,1060.14,822.02,822.02
Bocholt,1030.3,1017.11,1010.79,960.63,750.46,750.46
Schleiden,602.66,531.47,607.23,538.1,321.91,321.91
Ratingen,1058.65,989.92,1118.03,1011.94,750.52,750.52
Meerbusch,992.59,953.24,1023.83,976.27,690.6,690.6
Hellenthal,638.77,496.89,590.44,499.6,309.77,309.77
UebachPalenberg,948.35,1013.08,1000.26,961.53,614.46,614.46
Bestwig,990.1,842.88,856.37,762.97,586.1,586.1
Lengerich,987.01,996.41,1099.1,937.03,665.12,665.12
Radevormwald,850.46,717.61,786.36,675.96,484.07,484.07
Siegen,984.6,962.85,971.65,895.96,667.62,667.62
Soest,1155.77,1097.38,1205.87,1046.41,809.62,809.62
Issum,943.89,990.35,939.96,881.61,723.98,723.98
Waltrop,1167.61,1031.26,1098.96,1022.63,701.22,701.22
CastropRauxel,1121.35,1024.34,1100.96,1009.82,689.79,689.79
Nettetal,915.26,993.28,883.56,852.51,695.31,695.31
BadSalzuflen,955.08,895.67,962.74,807.74,685.26,685.26
Rahden,846.3,974.56,1028.05,911.33,673.08,673.08
Steinfurt,1166.03,1051.36,1107.46,968.88,739.76,739.76
Lemgo,1153.62,1075.67,1155.59,941.24,826.17,826.17
Hoerstel,1085.91,1042.84,1138.62,977.22,751.96,751.96
Nieheim,903.79,968.94,1024.89,873.05,690.18,690.18
Steinheim,962.79,985.18,1049.62,889.03,730.05,730.05
Ruethen,834.5,847.6,877.79,785.91,573.31,573.31
BadWuennenberg,708.27,770.43,757.38,711.67,530.8,530.8
Vettweiss,861.69,826.89,855.02,913.26,583.54,583.54
Luenen,1137.34,1026.33,1101.21,1002.14,710.17,710.17
Bochum,1081.89,1007.27,1066.5,964.78,663.81,663.81
Delbrueck,1100.61,1046.98,1163.96,985.11,749.32,749.32
Gangelt,995.18,999.47,943.31,929.53,676.27,676.27
