,activity01,activity02,activity03,activity04,activity05,activity06,activity07,activity08,activity09,activity10,activity11,activity12,activity13,activity14,activity15,activity16,activity17,activity18,activity19,activity20,activity21,activity22,activity23,activity24,activity25,activity26,activity27,activity28,activity29,activity30,activity31,activity32,activity33,activity34,activity35,activity36,activity37,activity38,activity39,activity40,activity41,activity42,activity43,activity44,activity45,activity46,activity47,activity48,activity49,activity50,activity51,activity52,activity53,activity54,activity55,activity56,activity57,activity58,activity59,activity60,activity61,activity62,activity63,activity64,activity65,activity66,activity67,activity68,activity69,activity70,activity71,activity72
Ahaus,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,5,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,5,3,3,3,3,3,3,3
Beckum,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,5,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,5,3,3,3,3,3,3,3
Bruehl,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,5,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,5,3,3,3,3,3,3,3
Hoevelhof,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,5,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,5,3,3,3,3,3,3,3
Hopsten,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,5,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,5,3,3,3,3,3,3,3
Lippetal,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,5,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,5,3,3,3,3,3,3,3
Nottuln,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,5,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,5,3,3,3,3,3,3,3
Ostbevern,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,5,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,5,3,3,3,3,3,3,3
Greven,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,5,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,5,3,3,3,3,3,3,3
Hamm,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,5,3,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,3,3,5,3,3,3,3,3,3,3
