,latitude,longitude,byear,education,memory,beta_l,beta_s,beta_p,reference_income,aspiration,tolerance_income,tolerance_activity,lambda,alpha_plus,alpha_minus,phi_plus,phi_minus,fuzzy_size
Ahaus,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Beckum,0,0,1981,12,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Bruehl,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Hoevelhof,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Hopsten,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Lippetal,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Nottuln,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Ostbevern,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Greven,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Hamm,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Hamminkeln,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Mechernich,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Moenchengladbach,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Salzkotten,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Selm,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Lotte,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Holzwickede,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Juechen,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Luedinghausen,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Hilden,0,0,1981,11,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Borgholzhausen,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Kirchlengern,0,0,1981,14,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Marienmuenster,0,0,1981,13,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Sonsbeck,0,0,1981,10,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Straelen,0,0,1981,8,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Wuppertal,0,0,1981,6,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Suedlohn,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Leverkusen,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Schwerte,0,0,1981,9,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
Engelskirchen,0,0,1981,7,5,1,0.5,1,50,0,1,1,1,1,1,1,1,5
