,latitude,longitude,byear,education,memory,beta_l,beta_s,beta_p,reference_income,aspiration,tolerance_income,tolerance_activity,lambda,alpha_plus,alpha_minus,phi_plus,phi_minus,fuzzy_size
Ahaus,0,0,1981,9,5,1,0.5,1,448.24,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Beckum,0,0,1981,12,5,1,0.5,1,452.5472,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Bruehl,0,0,1981,8,5,1,0.5,1,404.9192,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Hoevelhof,0,0,1981,6,5,1,0.5,1,476.06,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Hopsten,0,0,1981,10,5,1,0.5,1,464.7208,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Lippetal,0,0,1981,13,5,1,0.5,1,483.5368,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Nottuln,0,0,1981,10,5,1,0.5,1,489.7248,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Ostbevern,0,0,1981,8,5,1,0.5,1,428.3464,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Greven,0,0,1981,6,5,1,0.5,1,353.356,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Hamm,0,0,1981,6,5,1,0.5,1,484.5632,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Hamminkeln,0,0,1981,6,5,1,0.5,1,429.4688,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Mechernich,0,0,1981,8,5,1,0.5,1,484.8672,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Moenchengladbach,0,0,1981,7,5,1,0.5,1,457.4896,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Salzkotten,0,0,1981,9,5,1,0.5,1,438.2672,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Selm,0,0,1981,6,5,1,0.5,1,412.1272,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Lotte,0,0,1981,6,5,1,0.5,1,355.3368,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Holzwickede,0,0,1981,9,5,1,0.5,1,433.2624,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Juechen,0,0,1981,7,5,1,0.5,1,439.808,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Luedinghausen,0,0,1981,7,5,1,0.5,1,367.5328,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Hilden,0,0,1981,11,5,1,0.5,1,384.388,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Borgholzhausen,0,0,1981,10,5,1,0.5,1,401.6784,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Kirchlengern,0,0,1981,14,5,1,0.5,1,503.9072,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Marienmuenster,0,0,1981,13,5,1,0.5,1,412.1776,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Sonsbeck,0,0,1981,10,5,1,0.5,1,570.36,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Straelen,0,0,1981,8,5,1,0.5,1,308.9328,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Wuppertal,0,0,1981,6,5,1,0.5,1,442.0352,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Suedlohn,0,0,1981,9,5,1,0.5,1,424.5672,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Leverkusen,0,0,1981,7,5,1,0.5,1,502.68,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Schwerte,0,0,1981,9,5,1,0.5,1,370.0584,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Engelskirchen,0,0,1981,7,5,1,0.5,1,508.3416,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Werl,0,0,1981,10,5,1,0.5,1,521.236,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Wesseling,0,0,1981,12,5,1,0.5,1,504.6592,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Tecklenburg,0,0,1981,7,5,1,0.5,1,462.172,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Mettmann,0,0,1981,6,5,1,0.5,1,511.3584,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Bocholt,0,0,1981,6,5,1,0.5,1,346.64,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Schleiden,0,0,1981,6,5,1,0.5,1,402.0448,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Ratingen,0,0,1981,9,5,1,0.5,1,422.8584,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
Meerbusch,0,0,1981,12,5,1,0.5,1,503.3328,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,3
