,activity1,activity2,activity3
Ahaus,activity24,NA,NA
Beckum,activity61,NA,NA
Bruehl,activity61,NA,NA
Hoevelhof,activity61,NA,NA
Hopsten,activity62,NA,NA
Lippetal,activity61,NA,NA
Nottuln,activity62,NA,NA
Ostbevern,activity22,NA,NA
Greven,activity24,NA,NA
Hamm,activity19,NA,NA
Hamminkeln,activity24,NA,NA
Mechernich,activity65,NA,NA
Moenchengladbach,activity22,NA,NA
Salzkotten,activity62,NA,NA
Selm,activity19,NA,NA
Lotte,activity19,NA,NA
Holzwickede,activity25,NA,NA
Juechen,activity19,NA,NA
Luedinghausen,activity62,NA,NA
Hilden,activity61,NA,NA
Borgholzhausen,activity61,NA,NA
Kirchlengern,activity23,NA,NA
Marienmuenster,activity23,NA,NA
Sonsbeck,activity22,NA,NA
Straelen,activity65,NA,NA
Wuppertal,activity22,NA,NA
Suedlohn,activity62,NA,NA
Leverkusen,activity24,NA,NA
Schwerte,activity19,NA,NA
Engelskirchen,activity24,NA,NA
Werl,activity25,NA,NA
Wesseling,activity61,NA,NA
Tecklenburg,activity61,NA,NA
Mettmann,activity24,NA,NA
Bocholt,activity25,NA,NA
Schleiden,activity61,NA,NA
Ratingen,activity61,NA,NA
Meerbusch,activity25,NA,NA
Hellenthal,activity65,NA,NA
UebachPalenberg,activity25,NA,NA
Bestwig,activity25,NA,NA
Lengerich,activity61,NA,NA
Radevormwald,activity61,NA,NA
Siegen,activity24,NA,NA
Soest,activity22,NA,NA
Issum,activity24,NA,NA
Waltrop,activity24,NA,NA
CastropRauxel,activity25,NA,NA
Nettetal,activity23,NA,NA
BadSalzuflen,activity21,NA,NA
Rahden,activity23,NA,NA
Steinfurt,activity61,NA,NA
Lemgo,activity19,NA,NA
Hoerstel,activity22,NA,NA
Nieheim,activity21,NA,NA
Steinheim,activity22,NA,NA
Ruethen,activity65,NA,NA
BadWuennenberg,activity24,NA,NA
Vettweiss,activity22,NA,NA
Luenen,activity22,NA,NA
Bochum,activity62,NA,NA
Delbrueck,activity21,NA,NA
Gangelt,activity23,NA,NA
Kerken,activity24,NA,NA
Horstmar,activity25,NA,NA
Barntrup,activity19,NA,NA
Ascheberg,activity65,NA,NA
Wenden,activity24,NA,NA
Drolshagen,activity19,NA,NA
Geseke,activity65,NA,NA
Kevelaer,activity61,NA,NA
Hille,activity62,NA,NA
Heinsberg,activity65,NA,NA
Goch,activity65,NA,NA
Neuenrade,activity21,NA,NA
Loehne,activity21,NA,NA
Windeck,activity21,NA,NA
Mettingen,activity24,NA,NA
Muenster,activity25,NA,NA
Alfter,activity19,NA,NA
Rheurdt,activity22,NA,NA
Rheine,activity22,NA,NA
Augustdorf,activity61,NA,NA
Stemwede,activity21,NA,NA
Troisdorf,activity23,NA,NA
LangenfeldRhld,activity61,NA,NA
Extertal,activity21,NA,NA
Metelen,activity21,NA,NA
Wipperfuerth,activity62,NA,NA
Schoeppingen,activity62,NA,NA
Uedem,activity22,NA,NA
FroendenbergRuhr,activity65,NA,NA
Coesfeld,activity61,NA,NA
Kalkar,activity21,NA,NA
Sassenberg,activity25,NA,NA
Viersen,activity21,NA,NA
Buende,activity62,NA,NA
Oelde,activity62,NA,NA
SchiederSchwalenberg,activity62,NA,NA
Spenge,activity25,NA,NA
Wesel,activity21,NA,NA
WickedeRuhr,activity62,NA,NA
Steinhagen,activity61,NA,NA
Bielefeld,activity61,NA,NA
Olpe,activity23,NA,NA
Werdohl,activity23,NA,NA
Kamen,activity62,NA,NA
Emsdetten,activity61,NA,NA
Brakel,activity19,NA,NA
Roedinghausen,activity25,NA,NA
Xanten,activity22,NA,NA
Haan,activity21,NA,NA
HalleWestf,activity61,NA,NA
Gladbeck,activity22,NA,NA
Heimbach,activity65,NA,NA
Beelen,activity62,NA,NA
Medebach,activity24,NA,NA
NachrodtWiblingwerde,activity23,NA,NA
HornBadMeinberg,activity25,NA,NA
Warstein,activity19,NA,NA
Luegde,activity24,NA,NA
Luedenscheid,activity62,NA,NA
Schwalmtal,activity19,NA,NA
Gummersbach,activity62,NA,NA
Ahlen,activity19,NA,NA
Senden,activity21,NA,NA
Werne,activity25,NA,NA
Iserlohn,activity62,NA,NA
Titz,activity23,NA,NA
Enger,activity19,NA,NA
Herford,activity19,NA,NA
Recke,activity19,NA,NA
Finnentrop,activity25,NA,NA
Waldfeucht,activity25,NA,NA
RhedaWiedenbrueck,activity21,NA,NA
Brueggen,activity21,NA,NA
Erkelenz,activity25,NA,NA
Weeze,activity61,NA,NA
Wilnsdorf,activity19,NA,NA
Datteln,activity22,NA,NA
Borken,activity21,NA,NA
Bergkamen,activity21,NA,NA
Oberhausen,activity24,NA,NA
Wettringen,activity61,NA,NA
Attendorn,activity22,NA,NA
Herdecke,activity22,NA,NA
Bergheim,activity61,NA,NA
Much,activity65,NA,NA
Eitorf,activity65,NA,NA
Neuss,activity61,NA,NA
MendenSauerland,activity61,NA,NA
Wuelfrath,activity25,NA,NA
Lippstadt,activity62,NA,NA
Lichtenau,activity22,NA,NA
