,income_t-1,income_t-2,income_t-3,income_t-4,income_t-5
Ahaus,679.23,352.29,639.34,846,438.2
Beckum,732.52,411.4,569.37,720.43,401.94
Bruehl,615.08,433.45,587.73,668.46,310.46
Hoevelhof,750.03,365.14,671.15,892.83,479.57
Hopsten,780.26,471.19,633.98,810.95,440.31
Lippetal,794.59,415.79,672.3,843.88,460.17
Nottuln,759.17,373.24,663.85,896.06,484.82
Ostbevern,708.13,447.4,554.68,715.44,420.05
Greven,542.82,422.1,469.87,603.72,305.95
Hamm,791.34,468.61,639.48,770.03,416.57
Hamminkeln,682.18,494.01,580.11,700.01,355.55
Mechernich,806.55,537.14,594.2,749.98,449.26
Moenchengladbach,684.02,462.73,614.76,757.97,386.29
Salzkotten,716.63,503.2,570.78,696.64,379.35
Selm,639.98,444.98,535.96,675.46,353.91
Lotte,583.88,419.86,460.2,589.32,321.55
Holzwickede,664.5,519.29,596.26,722.42,403.14
Juechen,747.57,411.44,619.05,778.62,424.26
Luedinghausen,612.09,415.57,477.35,610.75,332.48
Hilden,614.1,402.54,496.23,634.81,319.78
Borgholzhausen,628.07,439.19,530.02,748.52,374.53
Kirchlengern,817.8,571.49,702.91,833.3,439.27
Marienmuenster,677.68,488.43,588.58,650.79,341.47
Sonsbeck,881.94,661.41,745.18,896.07,501.44
Straelen,498.99,350.97,403.94,570.77,244.34
Wuppertal,715.33,305.47,630.77,849.85,426.11
Suedlohn,717.2,484.23,541.69,667.5,390.12
Leverkusen,776.84,603.09,708.84,813.79,435.51
Schwerte,590.93,407.07,533.3,599.39,235.11
Engelskirchen,831.5,511.91,664.75,870.61,489.75
Werl,763.29,404.87,755.3,920.68,489.27
Wesseling,787.48,572.32,701.92,789.62,436
Tecklenburg,756.33,459.92,631.63,802.37,415.39
Mettmann,829.18,544.11,698.39,863.44,450.64
Bocholt,591.93,281.81,433.68,619.29,297.82
Schleiden,681.26,448.32,520.92,675.67,365.34
Ratingen,676.3,505.75,600.99,711.05,375.91
Meerbusch,804.82,598.01,691.98,793.64,449.2
Hellenthal,687.85,388.9,583.47,682.55,382.86
UebachPalenberg,522.41,321.91,394.41,571.73,299.01
Bestwig,773.61,590.86,691.63,789.77,416.14
Lengerich,730.98,429.33,687.16,849.94,489.48
Radevormwald,834.93,486.12,654.55,888.22,510.71
Siegen,851.97,556.68,707.98,878.71,468.91
Soest,481.31,338.92,391.25,542.52,210.64
Issum,591.85,460.49,530.45,678.67,348.32
Waltrop,755.42,567.22,648.49,786.47,427.77
CastropRauxel,785.78,503.94,694.3,843.4,478.12
Nettetal,789.94,452.7,656.28,815.1,412.8
BadSalzuflen,764,604.99,702.43,820.62,482.75
Rahden,656.98,407.11,528.86,673.7,391.31
Steinfurt,618.38,467.39,503.65,644.03,355.23
Lemgo,808.69,397.92,639.49,885.23,451.46
Hoerstel,720.04,442.51,611.48,791.07,357.81
Nieheim,887.14,647.55,762.01,838.5,443.88
Steinheim,513.05,373.62,441.6,560.48,251.98
Ruethen,681.72,414.4,526.46,697.97,324.12
BadWuennenberg,856.69,526.96,692.22,881.53,474.54
Vettweiss,698.06,438.72,590.03,706.42,431.09
Luenen,414.17,224.01,270.31,435.49,171.39
Bochum,803.32,469.3,661.09,819.99,448.8
Delbrueck,875.18,641.19,716.31,807.3,491.22
Gangelt,719.44,500.39,608.65,725.04,367.33
Kerken,790.69,497.97,691.92,849.64,511.25
Horstmar,783.01,569.86,681.66,776.22,410.39
Barntrup,875.58,422.22,662.32,861.84,440.19
Ascheberg,797.44,495.47,657.49,836.57,474.09
Wenden,835.2,539.83,682.51,884.96,482.11
Drolshagen,587.42,393.65,555.64,677.68,291
Geseke,719.18,470.09,585.88,742.79,407.01
Kevelaer,760.05,458.2,654.56,790.79,449.93
Hille,772.03,450.42,709.65,910.54,512.58
Heinsberg,745.08,417.67,566.74,691.72,435.07
Goch,797.52,549.83,720.87,896.34,483.6
Neuenrade,729.74,383.51,755.3,905.26,446.92
Loehne,745.08,456.16,631.05,773.01,457.51
Windeck,619.36,306.24,438.6,623.64,299.29
Mettingen,936.8,705.09,827.74,911.19,469.43
Muenster,627.73,361.71,506.69,653.69,377.22
Alfter,605.4,408.14,582.86,618.06,273.7
Rheurdt,857.79,571.86,639.32,812.69,470.75
Rheine,705.77,479.32,591.46,779.02,391.61
Augustdorf,834.59,492.24,669.29,886.67,517.83
Stemwede,918.98,474.48,699.26,888.03,552.27
Troisdorf,612.31,390.68,451.5,600.56,305.05
LangenfeldRhld,771.02,595.89,659.44,793.33,426.73
Extertal,773.21,392.46,699.2,933.16,529.9
Metelen,650.47,467.02,497.67,606.45,315.63
Wipperfuerth,748.04,496.87,597.25,714.67,375.27
Schoeppingen,661.81,489.58,586.19,782.32,396.99
Uedem,668.29,422.36,613.48,714.85,344.68
FroendenbergRuhr,826.64,611.17,719.41,816.27,430.82
Coesfeld,729.45,505.61,557.51,669.07,374.06
Kalkar,868.75,490.22,714.98,881.1,413.91
Sassenberg,762.91,402.38,548.69,723.33,391.48
Viersen,807.87,549.69,643.18,815.07,476.91
Buende,767.87,414.94,652.42,846.95,415.39
Oelde,735.87,349.52,636.48,853.14,415.41
SchiederSchwalenberg,782.82,445.03,670.5,822.83,429.84
Spenge,797.14,490.41,672.66,821.2,460.01
Wesel,690.27,528.6,595.26,721.22,400.3
WickedeRuhr,800.75,445.09,658.29,804.87,474.11
Steinhagen,783.15,440.79,625.22,838.69,448.55
Bielefeld,767.1,412.32,709.33,898.44,513.71
Olpe,833.34,513.23,695.84,876.23,486.3
Werdohl,770.59,444.22,637.59,795.53,425.87
Kamen,869.23,478.2,681.93,882.57,509.24
Emsdetten,806.8,475.34,682.77,814.96,490.93
Brakel,814.9,581.73,691.05,797.49,433.21
Roedinghausen,450.03,246.91,345.06,487.36,217.86
Xanten,923.57,461.05,684.17,887.5,537.89
Haan,818.46,477.75,656.2,844.95,487.61
HalleWestf,581.36,454.92,471.44,576.22,306.76
Gladbeck,778.13,577.67,683.44,796.73,450.98
Heimbach,734.96,395.16,590.86,762.5,384.44
Beelen,620.67,384.66,479.63,628.39,327.65
Medebach,778.43,545.02,669.89,802.18,418.47
NachrodtWiblingwerde,707.07,370.04,649.06,803.38,426.68
HornBadMeinberg,807.98,584.83,701.15,815.39,428.98
Warstein,896.86,483.37,698.08,917.85,537.14
Luegde,838.7,514.1,695.74,819.37,475.43
Luedenscheid,821.34,508.37,678.44,822.5,494.74
Schwalmtal,746.69,483.43,638.65,796.8,464.32
Gummersbach,829.5,442.38,665.19,857.54,511.91
Ahlen,530.97,351.91,458.66,681.62,365.15
Senden,764.4,451.04,648.26,836.24,424.82
Werne,411.7,268.43,307.63,463.56,235.74
Iserlohn,772.6,512.03,575.57,745.67,427.44
Titz,797.42,456.74,635.09,775.36,448.32
Enger,791.69,426.54,643.08,871.42,455.95
Herford,935.08,703.45,822.04,880.66,482.01
Recke,888.29,533.9,713.37,935.64,523.77
Finnentrop,655.12,451.44,508.93,634.94,351.73
Waldfeucht,758.55,456.21,627.37,820.36,460.96
RhedaWiedenbrueck,787.41,561.52,699.18,800.65,406.22
Brueggen,743.09,365.4,639.45,875.17,455.06
Erkelenz,886.83,662.37,783.81,836.84,437.22
Weeze,640.5,395.85,457.02,602.33,308.14
Wilnsdorf,853.83,419.34,632.49,823.89,464.13
Datteln,785.47,583.08,685.71,793.83,460.17
Borken,795.1,563.1,713.54,861.77,481.42
Bergkamen,708.52,530.06,633.61,733.72,436.32
Oberhausen,769.57,602.18,701.96,775.25,452.24
Wettringen,855.74,558.77,698.17,875.89,478.14
Attendorn,841.13,635.71,722.98,847.69,520.29
Herdecke,749.92,572.08,660.89,743.96,426.29
Bergheim,791.95,489.51,678.66,774.16,458.6
Much,811.54,466,698.31,887.39,490.63
Eitorf,616.1,364.36,483.95,612.21,328.94
Neuss,895.27,659.37,777.3,893.53,518.19
MendenSauerland,797.25,450.38,671.3,860.46,495.46
Wuelfrath,434.47,254.55,359.04,589.22,305.89
Lippstadt,870,471.41,712.61,853.72,399.73
Lichtenau,790.83,567.16,681.91,857.71,480.32
Hallenberg,747.74,403.82,673.74,895.38,497.73
Gevelsberg,794.47,501.84,610.67,790.1,463.32
Havixbeck,699.29,438.6,708.74,853.53,490.37
Petershagen,769.16,371.02,607.38,810.14,387.57
WertherWestf,853.63,486.63,665.79,870.93,515.38
Kleve,764.25,432.26,692.96,874.84,472.64
Verl,859.37,444.04,702.42,885.26,509.42
HerzebrockClarholz,794.43,424.51,746.94,910.25,491.24
Ibbenbueren,507.15,318.84,392.26,566.32,281.75
Erkrath,788.55,572.47,695.99,772.63,397.95
