"Farm","Latitude","Longitude","year","education","memory","beta","beta_s","aspiration_coef","tolerance_income","tolerance_activity","lambda","alpha_plus","alpha_minus","phi_plus","phi_minus","action1","action2","action3","income_t-1","income_t-2","income_t-3","income_t-4","income_t-5"
"376","0","0","1968","6","5","1","0","1","0.81","0.99","0.8","0.2","0.2","0.2","0.2","strat25","NA","NA","20100","39300","35800","47500","61600"
"116","0","0","1940","12","5","1","0","1","0.7","0.76","0.8","0.2","0.2","0.2","0.2","strat45","NA","NA","61900","65500","44700","37500","46300"
"137","0","0","1981","16","5","1","1","1","0.73","0.81","0.8","0.2","0.2","0.2","0.2","strat27","NA","NA","51600","69200","49500","50900","43000"
"200","0","0","1984","13","5","1","1","1","0.65","0.87","0.8","0.2","0.2","0.2","0.2","strat54","NA","NA","45500","44100","40000","58700","21300"
"203","0","0","1967","6","5","1","1","1","0.67","0.92","0.8","0.2","0.2","0.2","0.2","strat49","NA","NA","52000","51200","47700","40500","42100"
"245","0","0","1951","10","5","1","0","1","0.71","0.87","0.8","0.2","0.2","0.2","0.2","strat46","NA","NA","62200","52600","56600","34700","67100"
"282","0","0","1956","7","5","1","0","1","0.58","0.59","0.8","0.2","0.2","0.2","0.2","strat39","NA","NA","46700","66300","39000","45500","52200"
"291","0","0","1952","15","5","1","0","1","0.72","0.55","0.8","0.2","0.2","0.2","0.2","strat20","NA","NA","30200","58500","43800","73500","61700"
"20","0","0","1959","11","5","0","0","1","0.63","0.97","0.8","0.2","0.2","0.2","0.2","strat42","NA","NA","48200","57900","55000","59000","46500"
"377","0","0","1967","6","5","1","1","1","0.57","0.69","0.8","0.2","0.2","0.2","0.2","strat42","NA","NA","54700","32000","60600","52900","34700"
"183","0","0","1968","9","5","0","0","1","0.63","0.87","0.8","0.2","0.2","0.2","0.2","strat10","NA","NA","49800","52900","48200","45500","48600"
"37","0","0","1947","13","5","1","0","1","0.77","0.85","0.8","0.2","0.2","0.2","0.2","strat21","NA","NA","64200","58400","46500","62800","46500"
"265","0","0","1983","8","5","1","1","1","0.53","0.65","0.8","0.2","0.2","0.2","0.2","strat31","NA","NA","56900","40400","48900","43600","56700"
"312","0","0","1971","9","5","1","1","1","0.74","0.85","0.8","0.2","0.2","0.2","0.2","strat51","NA","NA","48400","52500","62300","59700","57200"
"321","0","0","1979","11","5","1","0","1","0.65","0.98","0.8","0.2","0.2","0.2","0.2","strat48","NA","NA","49800","35600","33900","52600","57400"
"248","0","0","1965","9","5","0","1","1","0.57","0.45","0.8","0.2","0.2","0.2","0.2","strat57","NA","NA","53000","33600","31900","45000","39500"
"202","0","0","1984","11","5","0","1","1","0.67","0.79","0.8","0.2","0.2","0.2","0.2","strat40","NA","NA","42500","36800","47500","56900","51300"
"28","0","0","1983","13","5","1","0","1","0.71","0.89","0.8","0.2","0.2","0.2","0.2","strat54","NA","NA","34700","59200","48500","49100","54900"
"251","0","0","1940","8","5","1","0","1","0.67","0.71","0.8","0.2","0.2","0.2","0.2","strat6","NA","NA","35300","51700","63300","49200","53600"
"197","0","0","1973","7","5","1","1","1","0.68","0.74","0.8","0.2","0.2","0.2","0.2","strat40","NA","NA","59600","54000","43500","53900","56000"
"130","0","0","1972","7","5","1","0","1","0.71","0.8","0.8","0.2","0.2","0.2","0.2","strat33","NA","NA","42200","55600","47900","33200","49100"
"225","0","0","1958","11","5","1","0","1","0.85","0.91","0.8","0.2","0.2","0.2","0.2","strat2","NA","NA","64100","33000","43300","29400","49500"
"35","0","0","1963","10","5","1","0","1","0.57","0.77","0.8","0.2","0.2","0.2","0.2","strat16","NA","NA","61200","47200","31900","45900","62400"
"326","0","0","1961","9","5","1","1","1","0.72","0.75","0.8","0.2","0.2","0.2","0.2","strat31","NA","NA","51000","50700","38400","45800","37300"
"330","0","0","1946","16","5","1","0","1","0.56","0.61","0.8","0.2","0.2","0.2","0.2","strat4","NA","NA","47000","56600","63000","41300","57400"
"373","0","0","1962","8","5","1","0","1","0.62","0.95","0.8","0.2","0.2","0.2","0.2","strat20","NA","NA","42000","39900","54000","29700","57100"
"331","0","0","1954","16","5","1","1","1","0.56","0.78","0.8","0.2","0.2","0.2","0.2","strat49","NA","NA","51400","58500","61400","50700","48700"
"240","0","0","1982","6","5","1","1","1","0.64","0.98","0.8","0.2","0.2","0.2","0.2","strat34","NA","NA","48700","48200","55600","49200","35600"
"51","0","0","1957","11","5","1","0","1","0.74","0.65","0.8","0.2","0.2","0.2","0.2","strat43","NA","NA","58900","70300","70200","42800","45100"
"155","0","0","1965","14","5","1","1","1","0.59","0.7","0.8","0.2","0.2","0.2","0.2","strat48","NA","NA","68700","47700","56700","40300","38700"
"358","0","0","1964","6","5","1","0","1","0.76","0.89","0.8","0.2","0.2","0.2","0.2","strat59","NA","NA","48000","55400","48200","49900","46500"
"361","0","0","1941","17","5","1","1","1","0.47","0.93","0.8","0.2","0.2","0.2","0.2","strat27","NA","NA","61500","45000","45700","43800","50100"
"333","0","0","1960","14","5","1","1","1","0.57","0.38","0.8","0.2","0.2","0.2","0.2","strat4","NA","NA","28900","50600","58200","62300","53600"
"262","0","0","1940","13","5","1","0","1","0.77","0.95","0.8","0.2","0.2","0.2","0.2","strat62","NA","NA","59900","51800","64600","60800","42600"
"11","0","0","1962","14","5","1","0","0","0.75","0.68","0.8","0.2","0.2","0.2","0.2","strat31","NA","NA","49000","45200","30300","47000","55200"
"316","0","0","1944","11","5","1","0","1","0.77","0.83","0.8","0.2","0.2","0.2","0.2","strat54","NA","NA","63600","42200","43100","63500","67000"
"298","0","0","1950","15","5","1","1","1","0.74","0.68","0.8","0.2","0.2","0.2","0.2","strat40","NA","NA","53900","42000","59900","51300","45200"
"257","0","0","1964","10","5","1","0","1","0.54","0.86","0.8","0.2","0.2","0.2","0.2","strat19","NA","NA","37200","40100","53600","57200","44600"
"189","0","0","1975","10","5","1","1","1","0.72","0.96","0.8","0.2","0.2","0.2","0.2","strat52","NA","NA","44600","45600","54300","57100","41000"
"97","0","0","1960","17","5","1","1","1","0.79","0.89","0.8","0.2","0.2","0.2","0.2","strat9","NA","NA","56600","51600","55500","27600","54000"
"10","0","0","1942","10","5","1","0","1","0.79","0.8","0.8","0.2","0.2","0.2","0.2","strat17","NA","NA","40800","27900","70700","54200","54600"
"237","0","0","1943","17","5","1","0","1","0.81","0.89","0.8","0.2","0.2","0.2","0.2","strat23","NA","NA","48100","53300","56700","51600","49300"
"295","0","0","1961","8","5","1","1","1","0.72","0.98","0.8","0.2","0.2","0.2","0.2","strat15","NA","NA","48500","51200","65200","60700","59200"
