"Farm","Latitude","Longitude","year","education","memory","beta","beta_s","aspiration_coef","tolerance_income","tolerance_activity","lambda","alpha_plus","alpha_minus","phi_plus","phi_minus","action1","action2","action3","income_t-1","income_t-2","income_t-3","income_t-4","income_t-5"
"Farm01","0","0","1972","13","5","0","1","1","0.64","0.88","0.8","0.2","0.2","0.2","0.2","stra19","NA","NA","56200","57500","57500","62000","64100"
"Farm02","0","0","1960","7","5","1","0","1","0.68","0.73","0.8","0.2","0.2","0.2","0.2","stra23","NA","NA","49600","44200","37700","38600","47800"
"Farm03","0","0","1984","11","5","1","1","1","0.85","0.52","0.8","0.2","0.2","0.2","0.2","stra11","NA","NA","35400","51400","58000","49300","50900"
"Farm04","0","0","1955","11","5","1","0","1","0.66","0.81","0.8","0.2","0.2","0.2","0.2","stra63","NA","NA","50300","24300","57200","60900","41600"
"Farm05","0","0","1954","12","5","1","0","1","0.88","0.76","0.8","0.2","0.2","0.2","0.2","stra7","NA","NA","35900","48900","58000","21200","39400"
"Farm06","0","0","1962","16","5","1","0","1","0.66","0.92","0.8","0.2","0.2","0.2","0.2","stra7","NA","NA","46400","41100","50600","61300","55700"
"Farm07","0","0","1945","8","5","1","0","1","0.79","0.69","0.8","0.2","0.2","0.2","0.2","stra25","NA","NA","36600","44800","56300","36700","61900"
"Farm08","0","0","1982","8","5","1","0","1","0.91","0.97","0.8","0.2","0.2","0.2","0.2","stra21","NA","NA","54000","46900","71600","36300","64500"
"Farm09","0","0","1950","6","5","1","0","1","0.93","0.67","0.8","0.2","0.2","0.2","0.2","stra69","NA","NA","65700","47400","44000","42300","40200"
"Farm10","0","0","1983","11","5","1","0","1","0.6","0.78","0.8","0.2","0.2","0.2","0.2","stra18","NA","NA","54700","47400","55000","60700","66200"
"Farm11","0","0","1956","8","5","1","0","1","0.7","0.67","0.8","0.2","0.2","0.2","0.2","stra16","NA","NA","68400","60900","31400","50700","42100"
"Farm12","0","0","1974","7","5","1","1","1","0.63","0.67","0.8","0.2","0.2","0.2","0.2","stra60","NA","NA","52800","49800","36800","48600","42200"
"Farm13","0","0","1956","10","5","0","1","1","0.81","0.66","0.8","0.2","0.2","0.2","0.2","stra62","NA","NA","55400","38800","60300","51900","59400"
"Farm14","0","0","1978","6","5","1","0","1","0.52","1","0.8","0.2","0.2","0.2","0.2","stra15","NA","NA","46900","39200","43600","39300","49600"
"Farm15","0","0","1967","15","5","1","0","1","0.58","0.36","0.8","0.2","0.2","0.2","0.2","stra24","NA","NA","52200","45000","41000","38400","38500"
"Farm16","0","0","1973","12","5","1","1","1","0.71","0.72","0.8","0.2","0.2","0.2","0.2","stra36","NA","NA","56900","41500","45300","34700","50700"
"Farm17","0","0","1978","9","5","1","1","0","0.72","0.7","0.8","0.2","0.2","0.2","0.2","stra3","NA","NA","49100","39000","49600","53100","55500"
"Farm18","0","0","1965","7","5","1","0","1","0.81","0.83","0.8","0.2","0.2","0.2","0.2","stra62","NA","NA","45900","56500","47100","56200","61100"
"Farm19","0","0","1982","13","5","1","0","1","0.6","0.83","0.8","0.2","0.2","0.2","0.2","stra67","NA","NA","53800","51900","21800","44600","37100"
"Farm20","0","0","1974","7","5","1","0","1","0.64","0.54","0.8","0.2","0.2","0.2","0.2","stra15","NA","NA","40800","53800","68200","42600","25200"
"Farm21","0","0","1959","18","5","1","0","1","0.77","0.46","0.8","0.2","0.2","0.2","0.2","stra18","NA","NA","51200","57400","41100","55500","55000"
"Farm22","0","0","1971","9","5","1","0","1","0.82","0.49","0.8","0.2","0.2","0.2","0.2","stra22","NA","NA","73000","51600","41000","50100","50900"
"Farm23","0","0","1960","6","5","1","0","1","0.67","0.86","0.8","0.2","0.2","0.2","0.2","stra55","NA","NA","33600","33600","55400","53600","46600"
"Farm24","0","0","1977","5","5","1","0","1","0.66","0.85","0.8","0.2","0.2","0.2","0.2","stra43","NA","NA","55400","42600","44500","44100","66000"
"Farm25","0","0","1962","12","5","1","0","1","0.7","0.96","0.8","0.2","0.2","0.2","0.2","stra44","NA","NA","48900","52700","46400","74300","44800"
"Farm26","0","0","1959","12","5","1","1","1","0.78","0.38","0.8","0.2","0.2","0.2","0.2","stra31","NA","NA","50800","39500","45700","75700","46900"
"Farm27","0","0","1945","17","5","1","1","1","0.8","0.83","0.8","0.2","0.2","0.2","0.2","stra8","NA","NA","45000","46800","47300","30700","73200"
"Farm28","0","0","1950","6","5","1","0","1","0.64","0.75","0.8","0.2","0.2","0.2","0.2","stra61","NA","NA","57400","51900","37800","43000","57400"
"Farm29","0","0","1978","12","5","1","0","1","0.69","0.75","0.8","0.2","0.2","0.2","0.2","stra66","NA","NA","69100","37700","51600","51000","55300"
"Farm30","0","0","1964","14","5","1","0","1","0.6","0.92","0.8","0.2","0.2","0.2","0.2","stra3","NA","NA","42900","46000","58600","53400","56100"
"Farm31","0","0","1984","13","5","1","1","1","0.6","0.61","0.8","0.2","0.2","0.2","0.2","stra40","NA","NA","57500","65400","46500","38000","44000"
"Farm32","0","0","1962","15","5","1","0","1","0.6","0.55","0.8","0.2","0.2","0.2","0.2","stra10","NA","NA","61800","41000","42700","63900","58600"
"Farm33","0","0","1962","13","5","1","0","1","0.62","0.92","0.8","0.2","0.2","0.2","0.2","stra29","NA","NA","50600","59000","65700","39900","47300"
"Farm34","0","0","1954","13","5","1","1","1","0.75","0.82","0.8","0.2","0.2","0.2","0.2","stra18","NA","NA","35100","34700","49300","38700","47500"
"Farm35","0","0","1979","10","5","1","1","1","0.82","0.97","0.8","0.2","0.2","0.2","0.2","stra54","NA","NA","43700","51000","55600","60900","34300"
"Farm36","0","0","1983","13","5","1","1","1","0.61","0.37","0.8","0.2","0.2","0.2","0.2","stra6","NA","NA","32700","55700","45900","54100","59200"
"Farm37","0","0","1965","9","5","1","0","1","0.9","0.67","0.8","0.2","0.2","0.2","0.2","stra14","NA","NA","61900","57600","55900","64800","62400"
"Farm38","0","0","1978","14","5","1","1","1","0.59","0.53","0.8","0.2","0.2","0.2","0.2","stra25","NA","NA","45400","53700","61700","33400","54400"
"Farm39","0","0","1976","13","5","1","1","1","0.68","0.79","0.8","0.2","0.2","0.2","0.2","stra21","NA","NA","31300","36200","65200","52700","50500"
"Farm40","0","0","1946","12","5","1","1","1","0.67","0.88","0.8","0.2","0.2","0.2","0.2","stra45","NA","NA","33300","49000","60800","50200","43400"
"Farm41","0","0","1942","9","5","1","0","1","0.91","0.88","0.8","0.2","0.2","0.2","0.2","stra17","NA","NA","57600","40100","53100","47400","53500"
