"","latitude","longitude","byear","education","memory","beta","beta_s","aspiration","tolerance_income","tolerance_activity","lambda","alpha_plus","alpha_minus","phi_plus","phi_minus"
"Ahaus",0,0,1940,9,5,0.95,0.73,240,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Beckum",0,0,1940,8,5,0.86,0.5,283,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Bruehl",0,0,1940,12,5,0.93,0.66,240,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Hoevelhof",0,0,1940,11,5,0.92,0.66,276,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Hopsten",0,0,1940,6,5,0.94,0.68,208,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Lippetal",0,0,1940,8,5,0.86,0.82,203,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Nottuln",0,0,1940,13,5,0.74,0.93,191,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Ostbevern",0,0,1940,7,5,0.62,0.68,312,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Greven",0,0,1940,11,5,0.97,0.95,207,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Hamm",0,0,1940,11,5,1,0.68,232,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Hamminkeln",0,0,1940,13,5,0.99,0.91,245,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Mechernich",0,0,1940,12,5,0.86,0.82,152,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Moenchengladbach",0,0,1940,8,5,0.82,0.75,252,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Salzkotten",0,0,1940,10,5,0.99,0.8,288,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Selm",0,0,1940,8,5,0.89,0.81,273,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Lotte",0,0,1940,14,5,0.99,0.54,303,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Holzwickede",0,0,1940,8,5,0.97,0.46,285,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Juechen",0,0,1940,11,5,0.94,0.82,290,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Luedinghausen",0,0,1940,7,5,0.72,0.66,190,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Hilden",0,0,1940,6,5,0.95,0.82,328,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Borgholzhausen",0,0,1940,8,5,0.75,0.67,206,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Kirchlengern",0,0,1940,9,5,0.85,0.8,229,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Marienmuenster",0,0,1940,8,5,0.89,0.68,202,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Sonsbeck",0,0,1940,10,5,0.99,0.73,199,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Straelen",0,0,1940,13,5,0.85,0.34,244,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Wuppertal",0,0,1940,11,5,0.66,0.83,273,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Suedlohn",0,0,1940,12,5,1,0.52,252,0.13,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Leverkusen",0,0,1940,11,5,0.88,0.63,263,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Schwerte",0,0,1940,12,5,0.87,0.66,161,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Engelskirchen",0,0,1940,7,5,0.96,0.54,260,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Werl",0,0,1940,12,5,0.93,0.81,250,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Wesseling",0,0,1940,12,5,0.92,0.6,230,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Tecklenburg",0,0,1940,7,5,1,0.87,241,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Mettmann",0,0,1940,13,5,0.63,0.7,252,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Bocholt",0,0,1940,7,5,0.89,0.66,237,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Schleiden",0,0,1940,9,5,0.97,0.82,313,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Ratingen",0,0,1940,13,5,0.99,0.61,240,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Meerbusch",0,0,1940,10,5,0.97,0.66,195,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Hellenthal",0,0,1940,10,5,0.85,0.89,217,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"UebachPalenberg",0,0,1940,10,5,0.9,0.51,314,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Bestwig",0,0,1940,13,5,0.96,0.56,204,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Lengerich",0,0,1940,8,5,0.65,0.83,253,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Radevormwald",0,0,1940,9,5,0.8,0.66,259,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Siegen",0,0,1940,7,5,0.86,0.66,253,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Soest",0,0,1940,10,5,0.97,0.68,205,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Issum",0,0,1940,10,5,1,0.62,302,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Waltrop",0,0,1940,10,5,0.83,0.64,166,0.12,0.1,0.7889,0.6667,0.6667,0.9,0.9
"CastropRauxel",0,0,1940,7,5,0.94,0.77,169,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Nettetal",0,0,1940,10,5,0.86,0.7,181,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"BadSalzuflen",0,0,1940,12,5,0.98,0.69,184,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Rahden",0,0,1940,11,5,0.86,0.71,196,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Steinfurt",0,0,1940,7,5,0.84,0.76,215,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Lemgo",0,0,1940,12,5,0.79,0.57,257,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Hoerstel",0,0,1940,10,5,0.46,0.75,192,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Nieheim",0,0,1940,9,5,0.62,0.69,306,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Steinheim",0,0,1940,10,5,0.96,0.42,190,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Ruethen",0,0,1940,9,5,0.8,0.56,225,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"BadWuennenberg",0,0,1940,9,5,0.86,0.87,267,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Vettweiss",0,0,1940,9,5,0.73,0.61,226,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Luenen",0,0,1940,11,5,0.97,0.84,243,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Bochum",0,0,1940,12,5,0.56,0.99,228,0.1,0.1,0.7889,0.6667,0.6667,0.9,0.9
"Delbrueck",0,0,1940,11,5,0.87,0.96,255,0.11,0.1,0.7889,0.6667,0.6667,0.9,0.9
