"","activity1","activity2","activity3"
"Ahaus","activity61",NA,NA
"Beckum","activity33",NA,NA
"Bruehl","activity19",NA,NA
"Hoevelhof","activity72",NA,NA
"Hopsten","activity18",NA,NA
"Lippetal","activity68",NA,NA
"Nottuln","activity35",NA,NA
"Ostbevern","activity11",NA,NA
"Greven","activity35",NA,NA
"Hamm","activity45",NA,NA
"Hamminkeln","activity65",NA,NA
"Mechernich","activity05",NA,NA
"Moenchengladbach","activity14",NA,NA
"Salzkotten","activity61",NA,NA
"Selm","activity65",NA,NA
"Lotte","activity09",NA,NA
"Holzwickede","activity14",NA,NA
"Juechen","activity69",NA,NA
"Luedinghausen","activity67",NA,NA
"Hilden","activity58",NA,NA
"Borgholzhausen","activity67",NA,NA
"Kirchlengern","activity50",NA,NA
"Marienmuenster","activity61",NA,NA
"Sonsbeck","activity28",NA,NA
"Straelen","activity67",NA,NA
"Wuppertal","activity68",NA,NA
"Suedlohn","activity36",NA,NA
"Leverkusen","activity55",NA,NA
"Schwerte","activity64",NA,NA
"Engelskirchen","activity72",NA,NA
"Werl","activity54",NA,NA
"Wesseling","activity67",NA,NA
"Tecklenburg","activity53",NA,NA
"Mettmann","activity48",NA,NA
"Bocholt","activity28",NA,NA
"Schleiden","activity06",NA,NA
"Ratingen","activity51",NA,NA
"Meerbusch","activity51",NA,NA
"Hellenthal","activity71",NA,NA
"UebachPalenberg","activity42",NA,NA
"Bestwig","activity05",NA,NA
"Lengerich","activity03",NA,NA
"Radevormwald","activity18",NA,NA
"Siegen","activity31",NA,NA
"Soest","activity25",NA,NA
"Issum","activity27",NA,NA
"Waltrop","activity57",NA,NA
"CastropRauxel","activity54",NA,NA
"Nettetal","activity46",NA,NA
"BadSalzuflen","activity39",NA,NA
"Rahden","activity46",NA,NA
"Steinfurt","activity42",NA,NA
"Lemgo","activity65",NA,NA
"Hoerstel","activity63",NA,NA
"Nieheim","activity63",NA,NA
"Steinheim","activity68",NA,NA
"Ruethen","activity61",NA,NA
"BadWuennenberg","activity12",NA,NA
"Vettweiss","activity37",NA,NA
"Luenen","activity57",NA,NA
"Bochum","activity21",NA,NA
"Delbrueck","activity15",NA,NA
"Gangelt","activity39",NA,NA
"Kerken","activity39",NA,NA
"Horstmar","activity71",NA,NA
"Barntrup","activity17",NA,NA
"Ascheberg","activity03",NA,NA
"Wenden","activity22",NA,NA
"Drolshagen","activity38",NA,NA
"Geseke","activity64",NA,NA
"Kevelaer","activity44",NA,NA
"Hille","activity71",NA,NA
"Heinsberg","activity48",NA,NA
"Goch","activity05",NA,NA
"Neuenrade","activity06",NA,NA
"Loehne","activity47",NA,NA
"Windeck","activity37",NA,NA
"Mettingen","activity64",NA,NA
"Muenster","activity07",NA,NA
"Alfter","activity45",NA,NA
"Rheurdt","activity51",NA,NA
"Rheine","activity31",NA,NA
"Augustdorf","activity19",NA,NA
"Stemwede","activity60",NA,NA
"Troisdorf","activity65",NA,NA
"LangenfeldRhld","activity03",NA,NA
"Extertal","activity08",NA,NA
"Metelen","activity71",NA,NA
"Wipperfuerth","activity01",NA,NA
"Schoeppingen","activity36",NA,NA
"Uedem","activity68",NA,NA
"FroendenbergRuhr","activity64",NA,NA
"Coesfeld","activity57",NA,NA
"Kalkar","activity11",NA,NA
"Sassenberg","activity11",NA,NA
"Viersen","activity42",NA,NA
"Buende","activity63",NA,NA
"Oelde","activity28",NA,NA
"SchiederSchwalenberg","activity34",NA,NA
"Spenge","activity15",NA,NA
"Wesel","activity10",NA,NA
"WickedeRuhr","activity12",NA,NA
"Steinhagen","activity05",NA,NA
"Bielefeld","activity11",NA,NA
"Olpe","activity67",NA,NA
"Werdohl","activity62",NA,NA
"Kamen","activity31",NA,NA
"Emsdetten","activity64",NA,NA
"Brakel","activity57",NA,NA
"Roedinghausen","activity19",NA,NA
"Xanten","activity57",NA,NA
"Haan","activity32",NA,NA
"HalleWestf","activity14",NA,NA
"Gladbeck","activity35",NA,NA
"Heimbach","activity32",NA,NA
"Beelen","activity33",NA,NA
"Medebach","activity02",NA,NA
"NachrodtWiblingwerde","activity43",NA,NA
"HornBadMeinberg","activity26",NA,NA
"Warstein","activity62",NA,NA
"Luegde","activity14",NA,NA
"Luedenscheid","activity57",NA,NA
"Schwalmtal","activity39",NA,NA
"Gummersbach","activity65",NA,NA
"Ahlen","activity42",NA,NA
"Senden","activity53",NA,NA
"Werne","activity35",NA,NA
"Iserlohn","activity61",NA,NA
"Titz","activity33",NA,NA
"Enger","activity66",NA,NA
