gn,spre,normal,GlyBan
Ahaus,spre1,1,1
Ahaus,spre2,1,0
Ahaus,spre3,1,1
Ahaus,spre4,1,1
Ahaus,spre5,1,0
Ahaus,spre6,1,0
Ahaus,spre7,1,0
Ahaus,spre8,1,0
Ahaus,spre9,1,0
Ahaus,spre10,1,0
Ahaus,spre11,1,0
Ahaus,spre12,1,0
Ahaus,spre13,1,0
Ahaus,spre14,1,0
Ahaus,spre15,1,0
Ahaus,spre16,1,0
Ahaus,spre19,1,0
Ahaus,spre20,1,0
Ahaus,spre21,1,0
Beckum,spre1,1,1
Beckum,spre2,1,1
Beckum,spre3,1,0
Beckum,spre4,1,1
Beckum,spre5,1,0
Beckum,spre6,1,0
Beckum,spre7,1,0
Beckum,spre8,1,0
Beckum,spre9,1,0
Beckum,spre10,1,0
Beckum,spre11,1,0
Beckum,spre12,1,0
Beckum,spre13,1,0
Beckum,spre14,1,0
Beckum,spre15,1,0
Beckum,spre16,1,0
Beckum,spre19,1,0
Beckum,spre20,1,0
Beckum,spre21,1,0
Bruehl,spre1,1,1
Bruehl,spre2,1,0
Bruehl,spre3,1,0
Bruehl,spre4,1,1
Bruehl,spre5,1,0
Bruehl,spre6,1,0
Bruehl,spre7,1,0
Bruehl,spre8,1,0
Bruehl,spre9,1,0
Bruehl,spre10,1,0
Bruehl,spre11,1,0
Bruehl,spre12,1,0
Bruehl,spre13,1,0
Bruehl,spre14,1,0
Bruehl,spre15,1,0
Bruehl,spre16,1,0
Bruehl,spre19,1,0
Bruehl,spre20,1,0
Bruehl,spre21,1,0
