"","activity01","activity02","activity03","activity04","activity05","activity06","activity07","activity08","activity09","activity10","activity11","activity12","activity13","activity14","activity15","activity16","activity17","activity18","activity19","activity20"
"Ahaus",5,4,4,3,5,5,4,4,5,5,4,4,4,3,5,5,4,4,4,4
"Beckum",4,3,3,5,5,5,4,4,4,4,5,3,5,4,5,4,3,4,4,4
"Bruehl",5,5,4,4,4,5,3,4,5,3,4,5,5,3,5,5,5,3,4,5
"Hoevelhof",4,5,4,4,4,5,5,4,4,5,5,5,5,4,4,4,5,5,4,4
"Hopsten",4,4,4,4,5,3,3,5,4,4,4,4,5,4,5,4,4,3,4,4
"Lippetal",4,4,4,4,4,5,4,5,4,4,4,5,5,4,5,4,5,4,4,5
"Nottuln",4,5,3,5,4,5,4,5,4,4,4,4,5,5,5,4,5,4,4,4
"Ostbevern",4,4,4,3,4,4,5,3,4,5,3,3,4,4,3,5,5,4,4,5
"Greven",5,4,5,5,5,3,5,4,4,5,4,4,5,4,4,4,4,3,4,4
"Hamm",4,5,4,4,3,5,4,3,4,4,4,5,5,4,4,3,3,4,4,5
