"","Act01","Act02","Act03","Act04","Act05","Act06","Act07","Act08","Act09","Act10","Act11","Act12","Act13","Act14","Act15","Act16","Act17","Act18","Act19","Act20","Act21","Act22","Act23","Act24","Act25","Act26","Act27","Act28","Act29","Act30","Act31","Act32","Act33","Act34","Act35","Act36","Act37","Act38","Act39","Act40","Act41","Act42","Act43","Act44","Act45","Act46","Act47","Act48","Act49","Act50","Act51","Act52","Act53","Act54","Act55","Act56","Act57","Act58","Act59","Act60","Act61","Act62","Act63","Act64","Act65","Act66","Act67","Act68","Act69","Act70","Act71","Act72"
"Farm01",1,2,3,3,4,4,5,1,3,2,4,3,4,2,2,2,4,5,5,4,2,1,4,2,2,1,3,4,4,1,2,3,2,3,1,3,4,4,4,4,1,3,2,3,3,2,1,2,2,4,2,3,3,4,3,4,3,3,2,2,3,4,3,2,3,3,5,2,2,2,3,2
"Farm02",3,1,2,2,3,3,3,3,1,2,3,2,3,2,4,4,1,4,2,2,2,2,5,4,4,1,4,4,4,3,3,5,5,3,4,3,3,4,2,5,4,3,2,3,3,5,3,2,2,5,2,2,4,2,2,1,3,4,3,2,2,1,3,1,5,4,3,4,1,4,3,2
"Farm03",2,3,2,4,4,1,2,1,1,2,3,2,5,2,3,3,5,4,3,2,3,3,2,5,4,4,4,3,3,4,4,4,4,5,1,2,3,4,1,4,4,3,2,2,1,4,4,2,2,5,4,3,3,2,3,2,3,4,3,4,2,4,4,3,3,4,2,4,4,2,4,3
"Farm04",2,2,2,4,1,5,4,5,5,2,1,2,1,3,1,1,1,2,5,3,4,4,3,5,2,3,2,3,2,4,3,3,2,3,4,2,3,5,3,3,1,1,4,3,2,2,3,2,1,3,3,3,2,3,4,3,3,1,2,3,4,1,3,2,5,4,3,4,4,2,5,3
"Farm05",3,4,2,4,5,3,3,2,4,4,3,1,3,4,2,1,2,3,1,5,4,3,3,3,4,2,2,1,4,3,3,1,5,3,3,3,2,4,3,3,3,2,3,5,3,3,4,4,4,3,4,3,5,2,3,1,2,4,3,2,5,4,4,3,5,4,3,2,4,3,3,2
"Farm06",4,5,4,3,2,4,4,3,4,4,5,5,4,4,5,5,3,3,1,5,2,5,3,5,5,4,4,2,2,4,1,2,3,4,2,3,4,5,5,3,3,5,2,5,5,1,4,4,4,1,2,1,3,2,2,5,4,5,5,2,2,4,5,3,3,4,4,2,5,3,5,3
"Farm07",4,4,1,4,4,3,3,2,4,3,2,3,2,3,4,4,4,3,2,3,1,2,3,3,3,3,3,2,2,4,4,1,3,2,2,4,4,3,1,4,3,2,4,1,5,2,3,3,2,2,2,3,3,3,3,3,3,2,2,5,3,2,4,4,3,3,2,3,3,4,4,3
"Farm08",5,3,4,1,2,3,3,3,2,4,2,2,4,2,3,2,4,2,3,4,3,3,1,1,4,2,1,5,4,5,2,3,4,3,4,3,2,3,4,4,2,4,1,4,5,3,2,5,2,3,3,2,5,3,1,4,4,2,3,4,3,2,4,2,3,4,4,2,4,3,5,4
"Farm09",3,2,3,3,1,2,4,2,3,2,5,2,3,3,3,4,5,4,4,2,5,3,4,3,4,3,3,5,3,3,3,3,4,1,2,5,3,3,4,1,3,2,4,4,2,5,1,2,3,5,4,3,2,2,5,3,2,4,4,2,3,2,1,2,5,2,2,2,4,4,5,3
"Farm10",2,1,4,5,4,2,3,3,5,4,3,4,1,3,4,2,2,5,4,2,1,2,5,3,3,4,2,2,2,4,4,4,2,2,3,5,4,4,5,4,1,4,4,3,3,5,4,3,2,4,3,3,2,3,4,5,4,3,1,1,4,5,5,2,2,2,4,2,4,2,5,3
"Farm11",1,2,2,3,2,3,2,2,3,1,5,2,4,3,2,1,3,2,3,3,4,1,4,3,2,1,4,2,4,4,3,4,2,3,1,4,4,4,2,2,3,3,4,2,3,3,3,4,3,4,2,3,4,4,5,3,3,4,4,3,2,3,2,5,4,3,3,4,3,3,3,3
"Farm12",1,3,3,2,5,2,5,2,2,3,2,1,3,2,5,3,1,3,5,3,4,2,4,2,1,3,3,5,1,5,4,3,3,3,4,4,1,3,2,1,1,2,1,3,4,5,4,2,3,2,1,4,3,4,5,2,4,2,1,1,3,3,4,2,3,3,2,2,4,3,4,3
