,Wheat,Maize,Cabbages,Eggplants,Tomatoes,Mushrooms,Pineapples,Cattle,Sheep,Goats,Pigs,Chickens
Farm01,8,11,10,12,9,1,4,6,3,7,5,2
Farm02,11,9,2,3,12,4,1,6,10,5,8,7
Farm03,8,1,9,4,6,10,7,12,5,3,11,2
Farm04,3,8,10,6,5,7,4,9,2,12,11,1
Farm05,1,5,11,7,8,6,2,3,12,9,4,10
Farm06,10,1,5,9,8,7,6,11,12,4,2,3
Farm07,10,4,7,8,5,9,3,6,12,11,2,1
Farm08,6,3,9,5,8,12,2,1,4,11,10,7
Farm09,4,3,12,2,11,9,5,10,7,1,6,8
Farm10,11,4,12,3,1,2,9,5,6,7,8,10
Farm11,3,4,8,11,6,10,12,1,5,9,7,2
Farm12,5,8,7,9,12,2,1,6,4,11,10,3
Farm13,6,8,5,9,3,1,11,2,10,7,12,4
Farm14,10,3,7,12,8,9,11,6,1,2,4,5
Farm15,12,9,4,10,5,6,3,1,2,11,7,8
Farm16,8,11,1,5,4,2,9,3,12,6,10,7
Farm17,5,12,7,8,10,4,6,3,1,11,9,2
Farm18,11,8,6,12,9,5,1,2,10,4,7,3
Farm19,8,1,4,2,5,6,12,7,3,11,9,10
Farm20,9,4,1,7,3,10,12,11,8,2,5,6
