,Wheat,Maize,Cabbages,Eggplants,Tomatoes,Mushrooms,Pineapples,Cattle,Sheep,Goats,Pigs,Chickens
Farm01,7,0,0,0,0,2,4,12,3,0,7,0
Farm02,4,1,0,0,0,2,3,0,0,0,4,1
Farm03,4,3,0,7,0,0,0,0,0,6,4,3
Farm04,0,7,0,0,0,0,1,0,5,2,0,7
Farm05,5,0,0,10,0,12,4,3,0,0,5,0
Farm06,1,0,0,0,0,3,1,0,7,0,1,0
Farm07,6,0,0,4,0,7,0,0,0,6,6,0
Farm08,3,10,0,0,4,0,0,4,2,0,3,10
Farm09,0,1,5,0,1,0,3,0,0,0,0,1
Farm10,6,0,7,6,3,4,8,2,0,0,6,0
Farm11,0,2,0,3,0,2,0,0,11,2,0,2
Farm12,0,0,0,0,2,0,0,0,0,0,0,0
Farm13,3,2,0,1,3,3,0,6,0,0,3,2
Farm14,0,4,0,0,0,2,0,3,4,5,0,4
Farm15,1,0,3,4,0,0,5,0,0,9,1,0
Farm16,0,3,5,9,0,0,6,2,0,0,0,3
Farm17,0,4,0,4,6,0,2,0,4,5,0,4
Farm18,0,0,3,0,0,6,0,0,0,0,0,0
Farm19,0,3,9,0,9,5,0,0,1,0,0,3
Farm20,10,0,0,0,0,0,1,4,12,0,10,0
