;Ahaus;Beckum;Bruehl;Hoevelhof;Hopsten;Lippetal;Nottuln;Ostbevern;Greven;Hamm;Hamminkeln;Mechernich;Moenchengladbach;Salzkotten;Selm;Lotte;Holzwickede;Juechen;Luedinghausen;Hilden;Borgholzhausen;Kirchlengern;Marienmuenster;Sonsbeck;Straelen;Wuppertal;Suedlohn;Leverkusen;Schwerte;Engelskirchen;Werl;Wesseling;Tecklenburg;Mettmann;Bocholt;Schleiden;Ratingen;Meerbusch;Hellenthal;"""Uebach-Palenberg""";Bestwig;Lengerich;Radevormwald;Siegen;Soest;Issum;Waltrop;"""Castrop-Rauxel""";Nettetal;"""BadSalzuflen"""
Ahaus;0;1;0;0;1;1;1;0;1;1;1;0;0;0;0;1;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;1;0;1;0;0;0
Beckum;1;0;0;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;0;1;0;1;0;0;1;1;0;0;0;1;1;0;1;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;1;0
Bruehl;0;0;0;1;0;1;0;1;1;0;0;1;0;1;1;1;1;0;1;0;1;1;0;1;1;0;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;1;0;0;0;1;0
Hoevelhof;0;0;1;0;1;1;1;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;1;1;1;0;1;0;0;0;0;0;1;1;0;1;1;1;0;1;0;0;0;1;0;1;0;1;0
Hopsten;1;0;0;1;0;1;1;0;1;1;0;0;0;0;1;1;0;0;0;1;1;1;0;1;1;1;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;1;1;0;0;1;0
Lippetal;1;0;1;1;1;0;0;0;1;1;1;1;0;1;0;0;0;0;1;1;1;0;0;0;1;1;0;1;1;0;1;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;1;1;1;1
Nottuln;1;1;0;1;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;1;1;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0
Ostbevern;0;1;1;1;0;0;0;0;0;0;0;1;0;1;1;0;1;1;1;1;0;1;1;1;0;0;1;1;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;1;0;0;0;1;1
Greven;1;1;1;0;1;1;1;0;0;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;1;0;1;0;1;1;1;0;0;1;1;0;0;1;0
Hamm;1;0;0;1;1;1;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0;1;1;0
Hamminkeln;1;0;0;1;0;1;0;0;0;0;0;1;0;1;1;1;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;1;1;0;1;1;1;1;0
Mechernich;0;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0;1;1;0;0;0;0;0;1;1;0;0;1;0;1;1;0;1;0;1;0;1;1;0;0;0;1;0;1;1;1;1;1;0;0
Moenchengladbach;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;1;0;1;1;0;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0
Salzkotten;0;1;1;0;0;1;1;1;0;1;1;1;0;0;0;1;0;0;0;0;1;1;0;1;1;0;1;1;1;0;1;0;1;1;0;1;1;1;1;0;1;1;1;0;0;1;0;0;1;0
Selm;0;1;1;0;1;0;1;1;1;1;1;1;0;0;0;0;1;1;1;0;0;0;1;1;1;1;0;1;0;0;0;1;1;1;0;0;1;1;0;1;1;1;0;1;0;0;0;0;1;0
Lotte;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;1;1;0;0;1;1;0;0;0;1;0;1;1;0;0
Holzwickede;0;1;1;1;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;1;0;0;1;0
Juechen;1;1;0;0;0;0;0;1;1;0;1;1;0;0;1;0;1;0;1;1;0;1;0;1;0;1;0;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;0;1;1;1;0
Luedinghausen;1;0;1;1;0;1;1;1;0;0;0;0;0;0;1;1;0;1;0;1;1;1;1;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;1;1;1;0;0;1;1;1;1;0;0;0
Hilden;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;0;1;1;1;1;0;1;1;1;1;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0
Borgholzhausen;1;0;1;0;1;1;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;0;0;1;0;1;0;0;1;1;1;1;0;0;0;0;1;1;0;1;1;0;1;1;0;0
Kirchlengern;0;1;1;1;1;0;1;1;0;1;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;1;0;0;1;1;1;0;0;1;1;0;1;0;1;1;1;1;1;0;0;1;0;0;1;1
Marienmuenster;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0;1;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1
Sonsbeck;1;0;1;1;1;0;0;1;0;0;1;1;1;1;1;1;0;1;0;1;0;0;1;0;0;0;0;1;0;1;0;1;1;0;1;1;0;0;1;1;0;0;0;1;0;1;0;0;0;1
Straelen;1;1;1;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;1;1;1;0;1;1;1;0;1;0
Wuppertal;1;1;0;1;1;1;1;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;1;1;1;1;0;1;0;0;0;1;1;1;1
Suedlohn;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;1;1;1;1;1
Leverkusen;1;0;0;1;1;1;0;1;1;1;0;1;0;1;1;0;0;0;0;1;1;0;0;1;1;1;1;0;0;1;0;1;0;1;0;1;1;0;1;0;0;1;1;1;1;0;1;1;1;1
Schwerte;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;0;1;1;0;1;0;0;0;1;1;1;0
Engelskirchen;0;1;1;0;0;0;1;1;0;1;0;1;1;0;0;0;0;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;1;1;0;1;1;1;0;1;1;0;0
Werl;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;1;1;0;0;1;1;0;1;0;0;0;1;1;0;1;1;0;1;1;0;1;0;1;0;0;1;1;1;0;0;0;0;1
Wesseling;1;0;1;0;0;1;1;1;1;1;1;0;1;0;1;1;0;1;1;1;0;0;1;1;0;0;0;1;1;1;1;0;1;0;1;1;1;1;0;0;0;1;0;1;1;1;0;0;0;0
Tecklenburg;0;1;0;0;1;1;1;1;0;0;0;1;1;1;1;0;0;1;0;1;1;0;0;1;1;0;0;0;0;1;1;1;0;1;1;1;0;0;0;1;0;0;0;1;1;0;1;1;0;1
Mettmann;0;1;1;1;0;0;0;1;1;0;0;0;0;1;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;1;1;1;0;1;1;1;1;0;1;0;0;0;1;1;1
Bocholt;0;1;0;1;0;1;0;0;1;1;0;1;1;0;0;0;0;1;0;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;0;1;0;1;0;1;0;1;1;1;0;0;0;1;1;0
Schleiden;0;1;1;0;0;1;0;0;1;0;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0;1;0;1;1;0;1;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0
Ratingen;1;0;0;1;0;0;0;1;0;0;0;1;1;1;1;1;0;0;1;1;0;1;0;0;0;1;0;1;1;1;0;1;0;1;0;0;0;1;1;1;1;1;1;0;1;1;1;1;0;0
Meerbusch;1;0;1;1;0;1;0;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;1;0;1;0;1;1;1;0;0;0;1;0;0;0;0;1
Hellenthal;0;1;0;1;1;1;1;1;0;1;0;0;0;1;0;0;0;1;1;0;0;1;1;1;0;1;1;1;0;0;0;0;0;1;0;0;1;1;0;0;1;1;0;0;0;0;1;1;0;1
Uebach-Palenberg;0;1;1;0;1;0;0;1;1;1;1;0;1;0;1;1;0;1;1;1;0;1;1;1;0;1;0;0;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;1;1;0;1;0;1;0
