,latitude,longitude,year,education,memory,beta_l,beta_s,beta_p,reference_income,aspiration_coef,tolerance_income,tolerance_activity,lambda,alpha_plus,alpha_minus,phi_plus,phi_minus,opt_fuzzy_size,imt_fuzzy_size,ranking_version,learning_rate
Ahaus,0,0,1981,9,5,1,1,1,100,0,0.1,0.07,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Beckum,0,0,1981,12,5,1,1,1,100,0,0.1,0.19,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Bruehl,0,0,1981,8,5,1,1,1,100,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Hoevelhof,0,0,1981,6,5,1,1,1,100,0,0.1,0.3,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Hopsten,0,0,1981,10,5,1,1,1,100,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Lippetal,0,0,1981,13,5,1,1,1,100,0,0.1,0.12,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Nottuln,0,0,1981,10,5,1,1,1,100,0,0.1,0.06,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Ostbevern,0,0,1981,8,5,1,1,1,100,0,0.1,0.28,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Greven,0,0,1981,6,5,1,1,1,100,0,0.1,0.1,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Hamm,0,0,1981,6,5,1,1,1,100,0,0.1,0.25,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Hamminkeln,0,0,1981,6,5,1,1,1,100,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Mechernich,0,0,1981,8,5,1,1,1,100,0,0.1,0.12,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Moenchengladbach,0,0,1981,7,5,1,1,1,100,0,0.1,0.11,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Salzkotten,0,0,1981,9,5,1,1,1,100,0,0.1,0.3,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Selm,0,0,1981,6,5,1,1,1,100,0,0.1,0.16,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Lotte,0,0,1981,6,5,1,1,1,100,0,0.1,0.29,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Holzwickede,0,0,1981,9,5,1,1,1,100,0,0.1,0.25,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Juechen,0,0,1981,7,5,1,1,1,100,0,0.1,0.08,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Luedinghausen,0,0,1981,7,5,1,1,1,100,0,0.1,0.2,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Hilden,0,0,1981,11,5,1,1,1,100,0,0.1,0.16,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Borgholzhausen,0,0,1981,10,5,1,1,1,100,0,0.1,0.24,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Kirchlengern,0,0,1981,14,5,1,1,1,100,0,0.1,0.1,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Marienmuenster,0,0,1981,13,5,1,1,1,100,0,0.1,0.1,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Sonsbeck,0,0,1981,10,5,1,1,1,100,0,0.1,0.08,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Straelen,0,0,1981,8,5,1,1,1,100,0,0.1,0.29,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Wuppertal,0,0,1981,6,5,1,1,1,100,0,0.1,0.14,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Suedlohn,0,0,1981,9,5,1,1,1,100,0,0.1,0.1,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Leverkusen,0,0,1981,7,5,1,1,1,100,0,0.1,0.3,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Schwerte,0,0,1981,9,5,1,1,1,100,0,0.1,0.19,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Engelskirchen,0,0,1981,7,5,1,1,1,100,0,0.1,0.11,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Werl,0,0,1981,10,5,1,1,1,100,0,0.1,0.29,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Wesseling,0,0,1981,12,5,1,1,1,100,0,0.1,0.22,2.25,0.88,0.88,0.61,0.69,72,9,0,1
Tecklenburg,0,0,1981,7,5,1,1,1,100,0,0.1,0.27,2.25,0.88,0.88,0.61,0.69,72,9,0,1
