,activity1,activity2,activity3
Ahaus,activity23,NA,NA
Beckum,activity24,NA,NA
Bruehl,activity18,NA,NA
Hoevelhof,activity62,NA,NA
Hopsten,activity24,NA,NA
Lippetal,activity62,NA,NA
Nottuln,activity22,NA,NA
Ostbevern,activity61,NA,NA
Greven,activity22,NA,NA
Hamm,activity19,NA,NA
Hamminkeln,activity21,NA,NA
Mechernich,activity62,NA,NA
Moenchengladbach,activity62,NA,NA
Salzkotten,activity23,NA,NA
Selm,activity25,NA,NA
Lotte,activity24,NA,NA
Holzwickede,activity23,NA,NA
Juechen,activity61,NA,NA
Luedinghausen,activity18,NA,NA
Hilden,activity18,NA,NA
Borgholzhausen,activity24,NA,NA
Kirchlengern,activity24,NA,NA
Marienmuenster,activity21,NA,NA
Sonsbeck,activity23,NA,NA
Straelen,activity23,NA,NA
Wuppertal,activity23,NA,NA
Suedlohn,activity21,NA,NA
Leverkusen,activity21,NA,NA
Schwerte,activity19,NA,NA
Engelskirchen,activity22,NA,NA
Werl,activity64,NA,NA
Wesseling,activity21,NA,NA
Tecklenburg,activity65,NA,NA
Mettmann,activity62,NA,NA
Bocholt,activity65,NA,NA
Schleiden,activity62,NA,NA
Ratingen,activity64,NA,NA
Meerbusch,activity18,NA,NA
Hellenthal,activity18,NA,NA
UebachPalenberg,activity24,NA,NA
Bestwig,activity25,NA,NA
Lengerich,activity64,NA,NA
Radevormwald,activity18,NA,NA
Siegen,activity64,NA,NA
Soest,activity62,NA,NA
Issum,activity21,NA,NA
Waltrop,activity19,NA,NA
CastropRauxel,activity18,NA,NA
Nettetal,activity62,NA,NA
BadSalzuflen,activity25,NA,NA
