,income_t-1,income_t-2,income_t-3,income_t-4,income_t-5
Ahaus,342.57,291.15,285.67,358.45,284.08
Beckum,170.52,112.82,174.97,227.42,116.1
Bruehl,294.99,214.32,244.18,318.96,268.52
Hoevelhof,284.26,267.76,344.6,379.83,282.43
Hopsten,304.24,264.11,342.89,372.08,265.67
Lippetal,265.01,208.14,281.47,349.62,226.41
Nottuln,286.77,232.68,231.58,324.85,235.44
Ostbevern,347.13,330.25,389.56,441.8,345.72
Greven,318.76,294.01,292.21,389.06,307.73
Hamm,342.47,291.92,350.65,396.41,305.93
Hamminkeln,352.66,288.15,263.92,427.63,342.49
Mechernich,194.46,177.55,221.16,259.71,242.38
Moenchengladbach,354.53,314.19,281.38,372.48,332.65
Salzkotten,327.53,302.96,372.02,399.31,298.87
Selm,360.46,295.35,319.49,383.21,312.03
Lotte,255.43,226.4,304.42,333.64,221.49
Holzwickede,348.05,330.22,361.55,413.69,342.02
Juechen,316.11,296.04,267.14,347.97,306.31
Luedinghausen,347.66,272.15,276.24,373.96,302.86
Hilden,375.92,352.68,249.86,379.47,335.46
Borgholzhausen,247.1,235.23,318,337.15,256.01
Kirchlengern,295.96,301.58,377.45,419.02,270.75
Marienmuenster,283.79,278.32,391.21,412.71,279.18
Sonsbeck,371.36,301.3,265.25,419.46,340.62
Straelen,352.73,328.32,323.34,416.69,353.43
Wuppertal,341.99,331.87,280.13,368.65,321.45
Suedlohn,347.45,297.34,301.19,394.93,314.87
Leverkusen,387.74,369.68,288.74,399.01,347.1
Schwerte,357.43,352.02,344.81,405.69,359.59
Engelskirchen,220.43,197.5,181.59,236.07,200.01
Werl,352.32,330.12,356.1,399.62,332.13
Wesseling,386.54,336.75,248.88,441.62,319.84
Tecklenburg,311.13,297.23,361.09,401.59,321.77
Mettmann,389.15,388.98,344.14,434.8,372.46
Bocholt,328.04,248.04,244.02,387.06,314.22
Schleiden,95.93,82.1,125.8,141.43,145.4
Ratingen,341.87,332.34,249.46,393.58,331.47
Meerbusch,326.39,309.97,253.51,408.13,324.25
Hellenthal,66.18,79.13,124.76,122.44,109.34
UebachPalenberg,268.43,218.75,145.51,337.19,302.67
Bestwig,192.03,221.35,264.95,275.58,218.05
Lengerich,297.63,291.22,347.93,388.27,312.15
Radevormwald,164.4,140.91,149.03,190.69,155.82
Siegen,246.3,267.12,242.52,300.84,236.21
Soest,368.84,345.66,404.54,423.58,351.35
Issum,367.46,315.01,257.57,390.09,338.14
Waltrop,390.9,342.85,360.96,423.23,342.74
CastropRauxel,367.75,330.02,332.86,405.77,344.07
Nettetal,349.9,303.78,263.67,367.6,339.53
BadSalzuflen,226.89,216.12,287.61,318.04,200.25
