Agent,activity01,activity02,activity03,activity04,activity05,activity06,activity07,activity08,activity09,activity10,activity11,activity12,activity13,activity14,activity15,activity16,activity17,activity18,activity19,activity20,activity21,activity22,activity23,activity24,activity25,activity26,activity27,activity28,activity29,activity30,activity31,activity32,activity33,activity34,activity35,activity36,activity37,activity38,activity39,activity40,activity41,activity42,activity43,activity44,activity45,activity46,activity47,activity48,activity49,activity50,activity51,activity52,activity53,activity54,activity55,activity56,activity57,activity58,activity59,activity60,activity61,activity62,activity63,activity64,activity65,activity66,activity67,activity68,activity69,activity70,activity71,activity72
Ahaus                    ,-248.89,45.52,50,-6.84,50.67,20.09,267.06,274.04,217.9,275.35,244.82,268.03,211.99,269.43,257,200.9,258.34,277.87,285.15,229.07,286.51,255.99,277.26,221.24,278.68,269.74,213.66,271.1,265.57,209.5,266.94,269.11,276.61,220.57,278.01,247.5,228.74,172.62,230.06,241.2,185.08,242.52,236.4,246.09,216.99,238.29,247.94,218.82,212.15,219.66,190.54,231.85,175.81,233.25,253.61,197.57,255,240.77,184.75,242.18,261.53,267.86,211.43,257.6,265.64,209.31,224.21,230.55,174.29,187.89,194.49,138.29
BadSalzuflen             ,75.91,14.14,-36.26,-159.55,21.93,-39.85,150.33,99.94,-23.36,158.12,96.34,81.86,-41.43,140.04,77.49,-45.8,135.67,154.27,103.88,-19.41,162.06,100.29,88.79,-34.5,146.98,88.44,-34.85,146.63,82.3,-41,140.48,140.34,89.95,-33.34,148.13,86.36,53.48,-69.81,111.66,66.14,-57.15,124.33,107.91,57.52,53.92,110.89,60.5,56.91,83.4,33,29.41,45.58,-77.72,103.76,68.03,-55.26,126.22,51.46,-71.83,109.65,181.07,130.68,7.38,164.54,114.15,-9.15,122.06,71.67,-51.62,79.59,29.19,-94.1
Beckum                   ,-292.55,-40.33,-29.62,-96.97,-39.68,-72.58,171.95,185.02,118.11,175.37,142.5,178.84,111.99,169.25,169.6,102.72,159.98,182.78,196.92,130.05,187.3,154.44,187.51,120.67,177.92,180.64,113.76,171.02,176.29,109.42,166.68,172.98,187.28,120.43,177.69,144.82,141.13,74.23,131.49,153.44,86.54,143.8,141.47,155.81,113.35,143.68,157.98,115.52,115.59,129.87,87.41,142.61,75.76,133.02,164.8,97.95,155.21,150.29,83.45,140.71,169.66,182.21,115.12,166.02,179.07,112.05,131.99,144.6,77.63,95.15,107.98,41.04
Bestwig                  ,-45.18,-38.37,-19.41,-80.44,-24.49,-56.25,145.19,167.02,106.16,161.95,130.33,158.47,98.57,154.32,148.05,87.25,143.03,156.6,178.07,118.12,173.89,142.28,168.01,108.15,163.9,159.1,98.3,154.08,153.31,93.31,149.08,145.08,166.69,106.78,162.54,130.94,119.7,58.83,114.62,130.45,69.54,125.34,114.19,135.88,100.16,117.82,139.55,103.84,88.78,110.42,74.69,122.11,62.2,117.95,143.02,83.08,138.85,130.8,70.93,126.68,156.99,173.35,112.83,148.51,165.31,104.95,111.64,128.76,68.5,68.99,90.51,29.56
Bocholt                  ,37.18,51.08,57.56,1.91,59.25,28.82,253.34,261.67,206.71,263.98,233.61,255.6,200.74,258.01,245.16,190.25,247.52,264.54,273.22,218.32,275.59,245.23,264.66,209.82,267.09,257.83,202.93,260.2,254.02,199.14,256.41,255.17,264.06,209.21,266.48,236.12,218.05,163.11,220.38,230.41,175.47,232.74,224.46,233.43,205.5,225.94,234.85,206.91,197.87,206.75,178.8,219.26,164.4,221.67,241.29,186.43,243.69,227.91,173.08,230.34,256.7,264.7,209.45,251.01,259.52,204.38,214.7,224.66,169.58,177.2,187.39,130.26
Borgholzhausen           ,19.19,32.89,33.27,-25.7,32.09,1.26,240.02,243.03,184.39,242.16,211.34,234.42,175.81,233.58,226.12,167.5,225.27,249.68,252.9,194.28,252.04,221.23,242.52,183.92,241.68,237.71,179.09,236.86,233.12,174.51,232.27,239.4,242.75,184.15,241.91,211.1,199.03,140.4,198.16,211.68,153.04,210.81,207.73,211.11,179.46,209.84,213.19,181.54,182,185.33,153.68,198.2,139.59,197.36,220.43,161.83,219.59,205.42,146.82,204.58,244.06,246.07,186.2,239.02,240.34,181.62,203.79,205.38,146.69,166.01,167.77,109.1
Bruehl                   ,-273.5,-72.4,-57.64,-121.81,-65.11,-97.5,178.27,198.26,135.61,192.11,159.9,211.39,149.14,205.58,190.17,127.71,184.18,205.76,226.65,164.31,220.76,188.59,227.13,164.99,221.42,200.52,136.94,193.41,198.4,135.98,192.45,199.47,220.74,158.5,214.94,182.78,154.41,91.79,148.28,162.86,100.19,156.69,170.25,191.69,153.77,173.57,195.02,157.1,142.29,163.55,125.58,174.85,112.59,169.03,195.36,133.08,189.53,187.84,125.67,182.1,153.59,167.16,103.74,152.74,171.49,108.33,125,143.72,80.75,93.49,112.77,49.94
CastropRauxel            ,44.13,63.34,75.12,6.1,63.48,30.5,277.1,291.6,223.96,281.32,248.36,282.61,215,272.37,274.62,207,264.36,286.77,301.35,233.73,291.09,258.13,290.72,223.12,280.48,286.25,218.63,275.99,281.63,214.01,271.38,276.24,290.94,223.32,280.69,247.73,247.77,180.02,237.39,260.42,192.67,250.03,244.58,259.3,216.1,246.73,261.43,218.21,218.93,233.62,190.4,246.4,178.79,236.15,268.75,201.13,258.5,253.59,185.98,243.34,279.34,290.7,222.95,275.45,287.25,219.54,238.77,252.93,185.25,201.34,215.68,148.02
Engelskirchen            ,-38.32,-31.67,-11.58,-75.58,-19.99,-51.46,150.52,172.71,113.92,169.32,138.01,164.45,105.85,161.21,153.37,94.64,150.03,162.53,185.18,126.56,181.93,150.64,174.89,116.35,171.7,165.32,106.61,161.99,160.63,101.94,157.32,150.32,173.07,114.48,169.84,138.56,126.07,67.27,122.67,137.58,78.76,134.16,120.23,143.11,108.65,123.7,146.61,112.16,94.56,117.38,82.89,128.14,69.54,124.9,149.42,90.8,146.16,138,79.48,134.83,162.5,179.97,120.7,153.78,171.7,112.59,112.64,135.05,75.29,74.15,96.79,37.11
Greven                   ,37.77,52.92,55.67,-2.19,55.47,24.75,261.17,265.57,208.16,265.78,235.1,257.14,199.79,257.41,247.94,190.56,248.18,270.74,275.36,217.99,275.61,244.93,265.57,208.23,265.85,260.42,203.04,260.67,255.9,198.54,256.16,260.76,265.55,208.19,265.82,235.13,221.03,163.63,221.26,233.62,176.22,233.85,229.61,234.45,204.05,231.54,236.33,205.92,203.59,208.37,177.96,220.91,163.55,221.18,243.01,185.65,243.28,228.82,171.48,229.1,263.44,267.65,210.05,257.38,263.16,205.64,222.36,228.44,168.85,184.8,188.97,131.52
