agent,activity01,activity02,activity03,activity04,activity05,activity06,activity07,activity08,activity09,activity10,activity11,activity12,activity13,activity14,activity15,activity16,activity17,activity18,activity19,activity20,activity21,activity22,activity23,activity24,activity25,activity26,activity27,activity28,activity29,activity30,activity31,activity32,activity33,activity34,activity35,activity36,activity37,activity38,activity39,activity40,activity41,activity42,activity43,activity44,activity45,activity46,activity47,activity48,activity49,activity50,activity51,activity52,activity53,activity54,activity55,activity56,activity57,activity58,activity59,activity60,activity61,activity62,activity63,activity64,activity65,activity66,activity67,activity68,activity69,activity70,activity71,activity72
Ahaus                    ,-95.39,174.08,184.22,128.41,185.83,155.33,406.1,419.2,364.18,421.52,391.09,414.33,359.42,416.75,402.68,347.71,405.04,417.57,431,376.04,433.38,402.95,423.77,368.87,426.2,415.59,360.63,417.97,411.6,356.66,413.99,409.28,422.96,368.04,425.38,394.95,374.02,319.01,376.35,386.46,331.45,388.79,378.84,392.61,364.62,380.63,394.35,366.35,352.33,366,338,378.16,323.24,380.58,399.86,344.94,402.27,387.35,332.45,389.78,396.58,408.87,353.52,395.3,408.26,353.03,361.79,376.29,321.14,326.1,340.9,285.8
BadSalzuflen             ,224.61,162.83,112.44,-10.85,170.62,108.84,299.03,248.63,125.34,306.82,245.04,230.56,107.26,288.74,226.18,102.89,284.37,302.97,252.58,129.28,310.76,248.98,237.49,114.2,295.67,237.14,113.85,295.32,230.99,107.7,289.18,289.04,238.65,115.35,296.83,235.05,202.18,78.88,260.36,214.84,91.54,273.02,256.61,206.21,202.62,259.59,209.2,205.6,232.09,181.7,178.1,194.27,70.98,252.46,216.73,93.44,274.91,200.16,76.87,258.34,329.77,279.37,156.08,313.23,262.84,139.55,270.76,220.37,97.07,228.28,177.89,54.6
Beckum                   ,-163.83,64.36,79.15,12.37,69.63,36.76,285.92,304.2,237.91,295.13,262.3,298.32,232.1,289.3,288.65,222.4,279.61,298.21,316.05,249.8,307.01,274.19,307.13,240.92,298.13,299.69,233.44,290.65,295.5,229.27,286.48,288.77,306.78,240.56,297.77,264.95,260.54,193.5,250.71,272.82,205.77,262.99,257.34,275.39,233.56,259.48,277.5,235.66,231.34,249.33,207.5,262.09,195.87,253.08,284.26,218.03,275.24,269.93,203.71,260.92,284.44,297.12,230.63,278.01,295.43,229.02,244.84,262.61,196.26,208.55,226.57,160.24
Bestwig                  ,26.08,39.2,62.47,2.86,58.57,27.01,235.08,257.49,198.97,254.49,223.09,251.34,193.03,248.51,239.07,180.62,236.13,247.66,270.56,212.2,267.69,236.32,261.29,203.03,258.51,250.13,191.69,247.19,245.3,186.87,242.37,236.53,259.57,201.26,256.75,225.38,210.04,151.5,207.02,224.66,161.91,217.44,205.88,229.02,194.87,209.61,232.8,198.65,180.33,203.42,169.24,214.96,156.65,212.13,235.63,177.29,232.78,224.09,165.83,221.31,239.04,264.14,205.13,231.83,257.45,198.61,195.85,221.83,158.93,158.01,184.25,121.44
Bocholt                  ,153.64,178.52,191,136.63,193.84,163.53,395.98,413.14,357.5,414.62,384.39,407.64,354.24,411.36,395.85,342.38,399.5,408.8,424.28,370.83,427.95,397.72,417.18,363.81,420.92,408.9,355.45,412.57,405.61,352.19,409.31,400.45,416.19,362.8,419.91,389.69,370.15,314.54,371.67,382.44,326.83,383.95,370.12,385.96,359.48,371.28,387.03,360.53,343.08,358.79,332.29,371.29,317.89,375,393.22,339.82,396.93,380.56,327.19,384.3,392.97,407.39,353.5,389.7,404.75,351,356.12,371.59,317.92,318.64,335.49,281.89
Borgholzhausen           ,126.15,150.25,154.87,96.42,154.18,123.38,373.98,380.7,322.63,380.36,349.58,374.1,316.08,373.81,364.97,306.93,364.66,384.85,391.83,333.79,391.52,360.74,382.45,324.44,382.16,376.69,318.66,376.39,372.43,314.4,372.13,375.35,382.49,324.47,382.2,351.42,337.22,279.17,336.9,349.87,291.81,349.54,342.74,351.01,319.95,345.76,352.89,321.83,317.85,324.97,293.9,337.89,279.88,337.61,360.08,302.06,359.79,345.39,287.38,345.11,371,377.6,319.39,368.4,375.51,317.35,334.72,341.04,282.93,297.94,304.47,246.38
Bruehl                   ,-212.25,46.79,67.58,4.93,61.43,29.22,332.51,361.1,299.34,355.56,323.59,384.83,324.69,380.84,358.03,297.62,353.81,368.71,397.83,337.58,393.76,361.83,401.41,341.42,397.55,366.72,306.28,362.48,367.39,307.03,363.22,363.86,394.6,332.37,390.63,356.62,316.99,256.37,312.59,325.19,263.4,319.63,335.71,366.67,328.74,339.14,370.12,332.2,306.59,337.32,301.44,348.2,288.05,344.21,368.06,307.89,364.05,363.57,301.43,357.58,290,310.46,248.79,295.21,321.16,259.06,272.05,298.21,237.12,244,270.89,209.99
CastropRauxel            ,173.75,205.59,222.16,154.73,212.09,179.14,438.55,458.5,391.42,448.76,415.82,451.7,384.66,441.99,442.96,375.79,433.13,449.58,469.66,402.6,459.94,427,460.09,393.06,450.39,454.63,387.58,444.91,450.38,383.33,440.67,439.87,460.08,393.04,450.37,417.44,415.3,348.23,405.56,427.94,360.87,418.2,408.39,428.64,386,410.34,430.55,387.91,382.47,402.67,360.03,415.5,348.46,405.8,437.82,370.79,428.12,423,355.97,413.3,433.51,450.07,382.86,432.64,449.73,382.57,397.83,417.35,350.23,361.61,381.34,314.25
Engelskirchen            ,69.77,85.79,112.6,51,110.32,75.05,279.82,309.4,253.25,308.16,277.27,303.45,247.54,302.41,290.79,234.72,289.61,293.73,323.88,267.94,322.81,291.95,314.72,258.89,313.74,302.97,246.93,301.81,298.62,242.61,297.49,281.93,312.2,256.3,311.16,280.31,262.71,206.56,261.47,274.72,217.77,272.68,252.38,282.82,250.98,255.97,286.44,254.62,226.45,256.8,224.94,267.13,211.22,266.08,288.14,232.2,287.07,277.93,222.12,276.96,286.39,310.93,254.21,279.51,304.61,248.08,239.67,269.34,212.18,202.12,232.07,175.02
Greven                   ,156,182.56,190.55,133.48,191.08,160.42,407.58,417.9,361.38,418.94,388.32,411.67,355.22,412.77,401.37,344.89,402.44,418.42,429.02,372.55,430.11,399.49,420.44,364,421.55,414.19,357.72,415.27,410.04,353.58,411.14,409.34,420.14,363.7,421.25,390.63,373.8,317.3,374.85,386.37,329.87,387.42,378.49,389.35,359.85,380.17,390.98,361.47,352.12,362.91,333.4,375.44,318.99,376.55,397.46,341.02,398.57,383.81,327.38,384.93,403.14,413,356.26,399.71,411.24,354.59,366.38,378.28,321.69,329.93,342.08,285.52
Hamm                     ,140.98,165.64,182.45,115.7,172.98,140.09,391.15,412.1,343.68,400.93,368.07,404.62,338.36,395.6,395.08,328.79,386.03,403.35,422.5,356.22,413.47,380.61,413.27,347.02,404.26,406.61,340.33,397.57,402.6,336.33,393.57,393.73,413.04,346.78,404.02,371.17,367.12,300.82,358.06,379.21,312.9,370.15,362.29,381.65,339.78,364.22,383.53,341.66,336.21,355.5,313.63,368.39,302.13,359.37,390.6,324.34,381.58,376.09,309.84,367.08,387.69,406.24,339.75,384.54,404.72,338.3,351.31,371.83,305.46,314.88,335.63,269.29
Hamminkeln               ,158.28,184.67,194.37,138.14,195.63,165.07,407.17,419.31,363.72,421.15,390.64,414.4,358.9,416.32,403.76,348.23,405.65,419.31,431.8,376.27,433.69,403.19,423.66,368.18,425.6,416.15,360.63,418.05,412.56,357.05,414.47,410.24,422.94,367.45,424.86,394.37,375.95,320.39,377.81,388.07,332.51,389.93,379.43,392.19,363.63,381.09,393.8,365.23,352.9,365.58,337,378.14,322.65,380.07,400.11,344.61,402.03,386.75,331.28,388.7,403,414.6,358.76,399.29,412.59,356.85,365.96,379.64,323.96,329.62,343.57,285.83
Hellenthal               ,-92.66,-93.72,-75.35,-132.53,-77.75,-108.53,79.28,99.9,43.81,98.36,67.77,91.06,35.22,89.72,79.15,23.1,77.64,91.67,112.82,56.97,111.47,80.93,101.2,45.45,99.93,90.72,34.69,89.22,85.4,29.39,83.92,78.24,99.42,43.58,98.08,67.54,52.14,-3.99,50.57,63.04,6.86,61.43,48.05,69.36,37.55,52.13,73.51,41.73,22.93,44.2,12.38,54.46,-1.39,53.1,75.22,19.32,73.83,64.47,8.73,63.21,93.33,112.94,56.35,82.64,102.61,46.19,44.36,64.58,8.28,4.97,25.38,-30.82
