,alpha1,alpha2,lambda,phi1,phi2,a,b,m,beta_s,beta_q,name
1,0.2,0.2,0.8,0.2,0.2,0.9,1,1,0.3,0.3,p00001
2,0.6,0.2,0.8,0.2,0.2,0.9,1,1,0.3,0.3,p00002
3,0.2,0.6,0.8,0.2,0.2,0.9,1,1,0.3,0.3,p00003
4,0.6,0.6,0.8,0.2,0.2,0.9,1,1,0.3,0.3,p00004
5,0.2,0.2,1,0.2,0.2,0.9,1,1,0.3,0.3,p00005
6,0.6,0.2,1,0.2,0.2,0.9,1,1,0.3,0.3,p00006
7,0.2,0.6,1,0.2,0.2,0.9,1,1,0.3,0.3,p00007
8,0.6,0.6,1,0.2,0.2,0.9,1,1,0.3,0.3,p00008
9,0.2,0.2,1.2,0.2,0.2,0.9,1,1,0.3,0.3,p00009
10,0.6,0.2,1.2,0.2,0.2,0.9,1,1,0.3,0.3,p00010
