,post,pre
strat1,3,2
strat2,3,3
strat3,3,4
strat4,3,5
strat5,3,6
strat6,5,3
strat7,5,4
strat8,5,5
strat9,7,3
strat10,7,4
strat11,7,5
strat12,12,2
strat13,12,3
strat14,12,4
strat15,12,5
strat16,12,6
strat17,13,3
strat18,13,4
strat19,13,5
strat20,14,3
strat21,14,4
strat22,14,5
strat23,16,3
strat24,16,4
strat25,16,5
strat26,18,2
strat27,18,3
strat28,18,4
strat29,18,5
strat30,18,6
strat31,21,3
strat32,21,4
strat33,21,5
strat34,22,3
strat35,22,4
strat36,22,5
strat37,23,2
strat38,23,3
strat39,23,6
strat40,28,2
strat41,28,3
strat42,28,6
strat43,33,2
strat44,33,3
strat45,33,6
strat46,36,3
strat47,36,4
strat48,36,5
strat49,37,3
strat50,37,4
strat51,37,5
strat52,39,3
strat53,39,4
strat54,39,5
strat55,51,2
strat56,51,3
strat57,51,4
strat58,52,2
strat59,52,3
strat60,52,4
strat61,53,2
strat62,53,3
strat63,53,4
strat64,54,2
strat65,54,3
strat66,54,4
