,sowcost,Sowwork,ApplCost,MechWeedCost,HerbC,Machcosts,MachCostsMech,Workhours,WorkhoursMech,WorkhoursHerb,MachcostsHerb,MachCostsFix,MachCostsVar,MachCostsMechFix,MachCostsMechVar,MachCostsHerbFix,MachCostsHerbVar
spre1,66.31,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spre2,66.31,0.53,0,31.87,0,24.17,24.17,0.44,0.44,0,0,9.37,14.8,9.37,14.8,0,0
spre3,41.72,0.53,0,63.74,0,48.34,48.34,0.88,0.88,0,0,18.74,29.6,18.74,29.6,0,0
spre4,41.72,0.53,0,129.115,0,91.14,91.14,2.17,2.17,0,0,32.88,58.255,32.88,58.255,0,0
spre5,66.31,0.53,9.79,0,39.9375,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spre6,66.31,0.53,9.79,31.87,39.9375,31.07,24.17,0.605,0.44,0.165,6.9,13.98,17.09,9.37,14.8,4.61,2.29
spost1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spost2,0,0,9.79,0,19.32,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost3,0,0,9.79,0,50.8125,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost4,0,0,9.79,0,22,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost5,0,0,9.79,0,68.8,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost6,0,0,9.79,0,72.324,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost7,0,0,9.79,0,73.15,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost8,0,0,9.79,0,79.58,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost9,0,0,9.79,0,46.05,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost10,0,0,9.79,0,44.955,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost11,0,0,9.79,0,43,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost12,0,0,9.79,0,46.89,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost13,0,0,9.79,0,61.9025,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost14,0,0,9.79,0,62.25,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost15,0,0,9.79,0,24,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost16,0,0,9.79,0,68.365125,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost17,0,0,9.79,0,47.8125,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost18,0,0,9.79,0,60.75,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost19,0,0,9.79,0,47.8,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost20,0,0,9.79,0,87.84,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost21,0,0,9.79,0,97.04,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost22,0,0,9.79,0,84.44,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost23,0,0,9.79,0,93.0225,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost24,0,0,9.79,0,20.703,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost25,0,0,9.79,0,77.8425,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost26,0,0,9.79,0,66.45,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost27,0,0,9.79,0,53.44,6.9,0,0.165,0,0.165,6.9,4.61,2.29,0,0,4.61,2.29
spost28,0,0,19.58,0,77.3775,13.8,0,0.33,0,0.33,13.8,9.22,4.58,0,0,9.22,4.58
spost29,0,0,19.58,0,88.12,13.8,0,0.33,0,0.33,13.8,9.22,4.58,0,0,9.22,4.58
spost30,0,0,19.58,0,92.47,13.8,0,0.33,0,0.33,13.8,9.22,4.58,0,0,9.22,4.58
spost31,0,0,19.58,0,87.1575,13.8,0,0.33,0,0.33,13.8,9.22,4.58,0,0,9.22,4.58
spost32,0,0,19.58,0,89.503,13.8,0,0.33,0,0.33,13.8,9.22,4.58,0,0,9.22,4.58
spost33,0,0,19.58,0,104.74,13.8,0,0.33,0,0.33,13.8,9.22,4.58,0,0,9.22,4.58
spost34,0,0,19.58,0,108.543,13.8,0,0.33,0,0.33,13.8,9.22,4.58,0,0,9.22,4.58
spost35,0,0,19.58,0,104.262,13.8,0,0.33,0,0.33,13.8,9.22,4.58,0,0,9.22,4.58
spost36,0,0,19.58,0,92.228,13.8,0,0.33,0,0.33,13.8,9.22,4.58,0,0,9.22,4.58
spost37,0,0,19.58,0,69.8825,13.8,0,0.33,0,0.33,13.8,9.22,4.58,0,0,9.22,4.58
spost38,0,0,19.58,0,93.853,13.8,0,0.33,0,0.33,13.8,9.22,4.58,0,0,9.22,4.58
spost39,0,0,19.58,0,86.37,13.8,0,0.33,0,0.33,13.8,9.22,4.58,0,0,9.22,4.58
spost40,0,0,19.58,0,157.608,13.8,0,0.33,0,0.33,13.8,9.22,4.58,0,0,9.22,4.58
spost41,0,0,19.58,0,133.82,13.8,0,0.33,0,0.33,13.8,9.22,4.58,0,0,9.22,4.58
spost42,0,0,19.58,0,156.688,13.8,0,0.33,0,0.33,13.8,9.22,4.58,0,0,9.22,4.58
spost43,0,0,19.58,0,138.6725,13.8,0,0.33,0,0.33,13.8,9.22,4.58,0,0,9.22,4.58
spost44,0,0,19.58,0,132.9,13.8,0,0.33,0,0.33,13.8,9.22,4.58,0,0,9.22,4.58
spost45,0,0,19.58,0,145.993,13.8,0,0.33,0,0.33,13.8,9.22,4.58,0,0,9.22,4.58
spost46,0,0,19.58,0,123.5525,13.8,0,0.33,0,0.33,13.8,9.22,4.58,0,0,9.22,4.58
spost47,0,0,19.58,0,87.702,13.8,0,0.33,0,0.33,13.8,9.22,4.58,0,0,9.22,4.58
spost48,0,0,19.58,0,87.153,13.8,0,0.33,0,0.33,13.8,9.22,4.58,0,0,9.22,4.58
