,'PChiselPlough','PMouldboardPlough','PPesticideSprayer','PHarrow','PHoe','PPrecisionDrill','PDirectDrill','PManureApplication','PLimeSpreading'
spre1,0,0,0,0,0,0,2.066666667,0.917857143,0.142857143
spre2,0.944444444,0,0,0,0,1.533333333,0,0.917857143,0.142857143
spre3,1.888888889,0,0,0,0,1.533333333,0,0.917857143,0.142857143
spre4,0.944444444,0.750754902,0,0,0,1.533333333,0,0.917857143,0.142857143
spre5,0,0,0.163854167,0,0,0,2.066666667,0.917857143,0.142857143
spre6,0.944444444,0,0.163854167,0,0,1.533333333,0,0.917857143,0.142857143
spre7,0,0,0,0.337777778,0,0,2.066666667,0.917857143,0.142857143
spre8,0,0,0,0.675555556,0,0,2.066666667,0.917857143,0.142857143
spre9,0,0,0,1.013333333,0,0,2.066666667,0.917857143,0.142857143
spre10,0,0,0,1.013333333,0.59375,0,2.066666667,0.917857143,0.142857143
spre11,0,0,0,1.013333333,1.1875,0,2.066666667,0.917857143,0.142857143
spre12,0,0,0,1.351111111,1.1875,0,2.066666667,0.917857143,0.142857143
spre13,0.944444444,0,0,0.337777778,0,1.533333333,0,0.917857143,0.142857143
spre14,0.944444444,0,0,0.675555556,0,1.533333333,0,0.917857143,0.142857143
spre15,0.944444444,0,0,1.013333333,0,1.533333333,0,0.917857143,0.142857143
spre16,0.944444444,0,0,1.013333333,0.59375,1.533333333,0,0.917857143,0.142857143
spre19,1.888888889,0,0,0.337777778,0,1.533333333,0,0.917857143,0.142857143
spre20,1.888888889,0,0,0.675555556,0,1.533333333,0,0.917857143,0.142857143
spre21,1.888888889,0,0,1.013333333,0,1.533333333,0,0.917857143,0.142857143
spost1,0,0,0,0,0,0,0,0,0
spost2,0,0,0.163854167,0,0,0,0,0,0
spost3,0,0,0.163854167,0,0,0,0,0,0
spost4,0,0,0.163854167,0,0,0,0,0,0
spost5,0,0,0.163854167,0,0,0,0,0,0
spost6,0,0,0.163854167,0,0,0,0,0,0
spost7,0,0,0.163854167,0,0,0,0,0,0
spost8,0,0,0.163854167,0,0,0,0,0,0
spost9,0,0,0.163854167,0,0,0,0,0,0
spost10,0,0,0.163854167,0,0,0,0,0,0
spost11,0,0,0.163854167,0,0,0,0,0,0
spost12,0,0,0.163854167,0,0,0,0,0,0
spost13,0,0,0.163854167,0,0,0,0,0,0
spost14,0,0,0.163854167,0,0,0,0,0,0
spost15,0,0,0.163854167,0,0,0,0,0,0
spost16,0,0,0.163854167,0,0,0,0,0,0
spost17,0,0,0.163854167,0,0,0,0,0,0
spost18,0,0,0.163854167,0,0,0,0,0,0
spost19,0,0,0.163854167,0,0,0,0,0,0
spost20,0,0,0.163854167,0,0,0,0,0,0
spost21,0,0,0.163854167,0,0,0,0,0,0
spost22,0,0,0.163854167,0,0,0,0,0,0
spost23,0,0,0.163854167,0,0,0,0,0,0
spost24,0,0,0.163854167,0,0,0,0,0,0
spost25,0,0,0.163854167,0,0,0,0,0,0
spost26,0,0,0.163854167,0,0,0,0,0,0
spost27,0,0,0.163854167,0,0,0,0,0,0
spost28,0,0,0.327708333,0,0,0,0,0,0
spost29,0,0,0.327708333,0,0,0,0,0,0
spost30,0,0,0.327708333,0,0,0,0,0,0
spost31,0,0,0.327708333,0,0,0,0,0,0
spost32,0,0,0.327708333,0,0,0,0,0,0
spost33,0,0,0.327708333,0,0,0,0,0,0
spost34,0,0,0.327708333,0,0,0,0,0,0
spost35,0,0,0.327708333,0,0,0,0,0,0
spost36,0,0,0.327708333,0,0,0,0,0,0
spost37,0,0,0.327708333,0,0,0,0,0,0
spost38,0,0,0.327708333,0,0,0,0,0,0
spost39,0,0,0.327708333,0,0,0,0,0,0
spost40,0,0,0.327708333,0,0,0,0,0,0
spost41,0,0,0.327708333,0,0,0,0,0,0
spost42,0,0,0.327708333,0,0,0,0,0,0
spost43,0,0,0.327708333,0,0,0,0,0,0
spost44,0,0,0.327708333,0,0,0,0,0,0
spost45,0,0,0.327708333,0,0,0,0,0,0
spost46,0,0,0.327708333,0,0,0,0,0,0
spost47,0,0,0.327708333,0,0,0,0,0,0
spost48,0,0,0.327708333,0,0,0,0,0,0
spost49,0,0,0.327708333,0,0,0,0,0,0
spost50,0,0,0,0.337777778,0,0,0,0,0
spost51,0,0,0,0.675555556,0,0,0,0,0
spost52,0,0,0,1.013333333,0,0,0,0,0
spost53,0,0,0,1.013333333,0.59375,0,0,0,0
spost54,0,0,0,1.013333333,1.1875,0,0,0,0
spost55,0,0,0,1.351111111,1.1875,0,0,0,0
