,LoadToxicLperHa,LoadFateLperHa,LoadHealthLperHa,LoadLperHa,LoadToxicKGperHa,LoadFateKGperHa,LoadHealthKGperHa,LoadKGperHa
spre1,0,0,0,0,0,0,0,0
spre2,0,0,0,0,0,0,0,0
spre3,0,0,0,0,0,0,0,0
spre4,0,0,0,0,0,0,0,0
spre5,0.024289901,0.051968003,0.35,0.426257904,0,0,0,0
spre6,0.024289901,0.051968003,0.35,0.426257904,0,0,0,0
spre7,0,0,0,0,0,0,0,0
spre8,0,0,0,0,0,0,0,0
spre9,0,0,0,0,0,0,0,0
spre10,0,0,0,0,0,0,0,0
spre11,0,0,0,0,0,0,0,0
spre12,0,0,0,0,0,0,0,0
spre13,0,0,0,0,0,0,0,0
spre14,0,0,0,0,0,0,0,0
spre15,0,0,0,0,0,0,0,0
spre16,0,0,0,0,0,0,0,0
spre19,0,0,0,0,0,0,0,0
spre20,0,0,0,0,0,0,0,0
spre21,0,0,0,0,0,0,0,0
spost1,0,0,0,0,0,0,0,0
spost2,0.07303589,0.05847458,0.675,0.80651047,0.012879768,0.116925502,0.053333334,0.183138604
spost3,0.130802113,0.2754594,0,0.406261513,0,0,0,0
spost4,0.144920763,0.2473985,0.125,0.517319275,0,0,0,0
spost5,0.307333538,0.591109613,0.3,1.198443151,0,0,0,0
spost6,0.205144075,0.31365169,0.125,0.643795764,0.014146446,0.121347597,0.000666667,0.13616071
spost7,0.325439621,0.42743858,0.75,1.502878201,0,0,0,0
spost8,0.326019238,0.380379692,0.275,0.98139893,0,0,0,0
spost9,0.251019264,0.50798748,0.45,1.209006747,0,0,0,0
spost10,0.151610561,0.285054649,0.225,0.661665212,0,0,0,0
spost11,0.187469104,0.357979328,0.3,0.845448434,0,0,0,0
spost12,0.101420066,0.020562764,0,0.121982829,0,0,0,0
spost13,0.382484692,0.41801419,0.75,1.550498882,0,0,0,0
spost14,0.354036887,0.419219092,0.3,1.073255979,0,0,0,0
spost15,0.009770183,0.002427248,0,0.012197431,0,0,0,0
spost16,0.246738722,0.473378205,0.1,0.820116925,0.012378141,0.106179148,0.000583333,0.119140622
spost17,0.237713184,0.474306643,0.25,0.962019828,0,0,0,0
spost18,0.134826078,0.249349033,0,0.384175111,0,0,0,0
spost19,0.391604144,2.772567572,0.4,3.564171714,0,0,0,0
spost20,0.349849028,0.56541143,0.66,1.575260458,0,0,0,0
spost21,0.473906267,0.686445498,0.36,1.520351767,0,0,0,0
spost22,0.354058808,0.565439607,0.66,1.579498414,0,0,0,0
spost23,0.509179505,3.074843891,0.150000001,3.734023394,0,0,0,0
spost24,0.030184392,0.028981511,0,0.059165903,0.014146446,0.121347597,0.000666667,0.13616071
spost25,0.465713642,3.084320591,0.150000001,3.700034231,0,0,0,0
spost26,0.410230442,0.419862857,0.6,1.430093299,0,0,0,0
spost27,0.363446054,0.4635863,0.48,1.307032356,0,0,0,0
spost28,0.17990133,0.185838405,0,0.365739735,0,0,0,0
spost29,0.380369428,0.649584189,0.975,2.004953618,0.012879768,0.116925502,0.053333333,0.183138603
spost30,0.398475511,0.485913156,1.425,2.309388668,0.012879768,0.116925502,0.053333333,0.183138603
spost31,0.319774612,0.531852781,0.775,1.626627392,0.012879768,0.116925502,0.053333333,0.183138603
spost32,0.33751793,0.620091124,0.3,1.257609054,0.014146446,0.121347597,0.000666667,0.13616071
spost33,0.374310783,0.57194984,0.3,1.246260622,0,0,0,0
spost34,0.38209253,0.594392941,0.66,1.636485472,0.014146446,0.121347597,0.000666667,0.13616071
spost35,0.424944028,0.623886006,1.335,2.383830035,0.012879768,0.116925502,0.053333333,0.183138603
spost36,0.275844481,0.631207037,0.65,1.557051518,0.014146446,0.121347597,0.000666667,0.13616071
spost37,0.241904349,0.3153794,0.51,1.067283749,0,0,0,0
spost38,0.355624013,0.456420091,0.75,1.562044104,0.014146446,0.121347597,0.000666667,0.13616071
spost39,0.251303709,0.038679639,0.72,1.009983347,0,0,0,0
spost40,0.464771194,2.800513053,0.133333334,3.398617579,0.057172351,0.172428856,0.000666667,0.230267874
spost41,0.490265746,2.744453648,0.553333334,3.788052726,0.043025905,0.051081258,0,0.094107163
spost42,0.532384571,2.814221562,0.133333334,3.479939465,0.014146446,0.121347597,0.000666667,0.13616071
spost43,0.493923291,2.741571992,0.133333334,3.368828614,0.043025905,0.051081258,0,0.094107163
spost44,0.557879123,2.758162157,0.553333334,3.869374612,0,0,0,0
spost45,0.506141883,3.266342278,0.586666668,4.359150825,0.014146446,0.121347597,0.000666667,0.13616071
spost46,0.531636435,3.210282873,1.006666668,4.748585972,0,0,0,0
spost47,0.483266332,0.478337433,1.275,2.236603766,0.012879768,0.116925502,0.053333333,0.183138603
spost48,0.440414834,0.448844368,0.6,1.489259202,0.014146446,0.121347597,0.000666667,0.13616071
spost49,0.276923114,0.502359716,0.1,0.879282828,0.014146446,0.121347597,0.000666667,0.13616071
spost50,0,0,0,0,0,0,0,0
spost51,0,0,0,0,0,0,0,0
spost52,0,0,0,0,0,0,0,0
spost53,0,0,0,0,0,0,0,0
spost54,0,0,0,0,0,0,0,0
spost55,0,0,0,0,0,0,0,0
