,,,'Alopecurus myo','Digitaria isch','Echinochloa cr','Elymus repens','Poa annua L.','Setaria viridi','Amaranthus ret','Atriplex patul','Brassica napus','Capsella bursa','Chenopodium al','Cirsium arvens','Convolvulus ar','Equisetum arve','Fallopia convo','Fumaria offici','Galinsoga parv','Galium aparine','Geranium pusil','Lamium album L.','Matricaria rec','Mercurialis an','Persicaria lap','Persicaria mac','Polygonum avic','Rumex obtusifo','Solanum nigrum','Sonchus arvens','Stellaria medi','Thlaspi arvens','Veronica arven','Viola arvensis'
Nothing,WeatherAachen,tt1999,-308.4,221,-17.2,-290.4,-344.4,221,-21.9,-98.9,-577.5,-563.9,-563.9,-254.8,-220.2,-272.4,-254.8,-272.4,-49.9,-398.1,-220.2,-326.4,-496.8,-49.9,-74.4,-76.5,-381,-40.8,-40.1,-70.9,-254.8,-362.5,-430.2,-307.1
Nothing,WeatherAachen,tt2000,-330.1,229.8,-20.4,-312.1,-366.1,229.8,-24,-90,-565.8,-552.6,-552.6,-276.1,-241.2,-294.1,-276.1,-294.1,-48,-389,-241.2,-348.1,-486.6,-48,-69,-70.8,-402.1,-40.2,-39.6,-66,-276.1,-384.1,-420.9,-298.7
Nothing,WeatherAachen,tt2001,-349.6,151,-52.9,-328.4,-393.6,151,-61.3,-218.4,-594.7,-579.7,-579.7,-287.1,-247.3,-307.6,-287.1,-307.6,-113.4,-410.2,-247.3,-371.6,-507.8,-113.4,-165.9,-170.4,-438.4,-94.7,-93.4,-158.4,-287.1,-415.9,-442,-318.5
Nothing,WeatherAachen,tt2002,-358.1,149.8,-24.1,-335.6,-403.1,149.8,-31.1,-183.7,-642.3,-627.1,-627.1,-290.6,-245.6,-313.1,-290.6,-313.1,-79.1,-440.6,-245.6,-380.6,-551.7,-79.1,-131.2,-135.7,-448.1,-62.2,-60.9,-123.7,-290.6,-425.6,-477.6,-334.5
Nothing,WeatherAachen,tt2003,-294.3,203.4,-16.9,-278.8,-326.8,203.4,-20.4,-75.4,-589.5,-576.5,-576.5,-248,-219.7,-263.3,-248,-263.3,-40.4,-418.5,-219.7,-310.1,-511.8,-40.4,-57.9,-59.4,-361,-33.9,-33.4,-55.4,-248,-343.8,-449.5,-330.1
Nothing,WeatherAachen,tt2004,-370.9,120.2,-9.6,-348.4,-415.9,120.2,-14,-166.8,-611.3,-596.9,-596.9,-303.4,-260.1,-325.9,-303.4,-325.9,-61.8,-426.6,-260.1,-393.4,-525.7,-61.8,-114.3,-118.8,-460.9,-44,-42.7,-106.8,-303.4,-438.4,-458.5,-335.5
Nothing,WeatherAachen,tt2005,-369.9,155,-23,-347.4,-414.9,155,-25.7,-166.4,-656.4,-642.4,-642.4,-302.5,-258.5,-324.9,-302.5,-324.9,-61.6,-472,-258.5,-392.4,-573.5,-61.6,-113.9,-118.4,-459.9,-45.9,-44.8,-106.4,-302.5,-437.4,-505.5,-378.3
Nothing,WeatherAachen,tt2006,-351.8,137.8,-58.2,-331.3,-392.8,137.8,-65.2,-183.1,-526.9,-514.7,-514.7,-291,-251,-311,-291,-311,-106.1,-377,-251,-372.3,-456.9,-106.1,-144.6,-147.9,-433.8,-92.2,-91.2,-139.1,-291,-413.3,-403.3,-301.4
Nothing,WeatherAachen,tt2007,-321.4,292.1,20.5,-307.4,-349.4,292.1,20.5,20.5,-585.6,-573.8,-573.8,-279.4,-251.4,-293.4,-279.4,-293.4,20.5,-427.9,-251.4,-335.4,-514.8,20.5,20.5,20.5,-377.4,20.5,20.5,20.5,-279.4,-363.4,-455.8,-346.9
Nothing,WeatherAachen,tt2008,-320.8,211.8,-43.2,-300.8,-360.8,211.8,-49.1,-158.1,-534.8,-521.2,-521.2,-261.9,-224.4,-281.2,-261.9,-281.2,-88.1,-360.6,-224.4,-340.8,-454.6,-88.1,-123.1,-126.1,-400.8,-75.1,-74.1,-118.1,-261.9,-380.8,-390.5,-275.3
