,t1999,t2000,t2001,t2002,t2003,t2004,t2005,t2006,t2007,t2008,t2009,t2010,t2011
Aachen,12.60062698,13.60066301,12.8579149,12.79541,12.21004346,13.54743924,12.03838827,10.87449147,13.29962595,13.8640606,13.21142944,10.77759798,11.57492265
Ahaus,13.79952228,14.04927279,13.53029915,13.95667772,13.4411193,13.71089651,12.70846888,11.92564141,12.59895961,12.59109167,12.8771977,10.58798418,11.71159481
Ahlen,10.34043407,12.5237706,10.97708448,12.69478022,11.64479945,12.23518475,10.72550687,11.34630426,12.00178297,11.33672115,10.4600886,9.32739011,9.587846841
Aldenhoven,13.1049125,14.15444063,11.6918625,12.74055938,11.31010781,13.44502344,12.43199063,10.61600938,13.27703594,13.9898625,13.34618438,10.84407031,11.44183906
Alfter,11.44848415,13.51185563,11.68267782,12.34135739,11.56510563,13.90582042,12.70699472,12.02554225,12.74083627,13.03705458,12.62094366,11.2665088,11.83149472
Alpen,13.52287868,13.03822426,11.66416054,13.25708211,12.0682549,13.98210539,12.77492647,11.23081127,13.13997917,13.31808211,12.90261029,11.35418137,11.89938113
Alsdorf ,12.64678606,14.4033149,13.04457933,13.5788125,12.32944471,14.28325721,12.81957933,10.69790625,13.41909856,14.40232692,13.52409856,10.85085817,12.25946394
Altena,13.36455532,12.9470462,12.80960326,13.21223564,14.02315334,12.57830823,12.87293245,12.44679057,12.59368595,12.96182143,13.07831425,11.6617038,12.5078028
Altenbeken,11.95535924,11.11576891,10.88657458,11.15774265,10.26832038,10.83653046,10.38103676,11.54334874,10.92118277,11.080375,10.69780147,9.100140756,10.81118487
Altenberge,13.16336848,13.60589698,13.42087294,13.16528915,12.07251013,13.5018647,12.75294969,11.96170845,12.75231233,12.52713084,12.24513049,9.968793098,11.21693887
Anroechte,12.20495576,12.59041023,12.37085859,12.34904649,10.97873761,12.06090122,11.66298536,12.39381467,12.10624212,11.86200756,11.40513562,9.994974582,10.71104424
Arnsberg,14.02612803,13.81044507,13.49837197,13.99772405,13.49434299,13.28679325,13.52728157,13.34543426,12.64836246,12.87044983,13.09608651,11.36710078,12.31934256
Ascheberg,11.55243804,13.14683145,12.40852145,13.38206326,12.2040821,13.12710311,11.5146103,11.65483493,12.31522833,12.33611139,11.50789112,10.05687478,9.353534952
Attendorn,13.86388212,13.10971598,12.88995174,13.38426899,14.24384415,12.56340348,12.60036076,13.20588133,12.60365823,12.38290032,12.47098734,11.10811392,11.82205222
Augustdorf,13.026165,12.13689667,12.02277333,12.38228833,10.87623833,12.07973833,11.41941667,11.70768167,11.666125,11.83714,11.24141167,9.804741667,11.23001167
'Bad Berleburg',12.1125517,11.58649986,11.07701959,11.67646021,12.79900365,10.6871081,11.14048546,11.79521755,11.06676714,11.20502496,11.20264022,9.893727007,10.69419964
'Bad Driburg',13.24070228,12.48813508,12.26182728,12.56949866,11.63938978,12.22372782,11.77218347,13.10016196,12.62920565,12.41266465,12.467375,10.61139919,11.8505289
'Bad Honnef',11.82658135,13.27833135,11.69742262,12.75835516,11.65068056,13.91190873,13.04630952,11.57963889,13.1949623,13.4125873,12.87958333,11.38373214,12.52046032
'Bad Laasphe',12.26609544,12.24401032,11.65750685,12.29788155,13.17973046,11.29858373,11.55706488,12.07409167,11.53303373,11.54237351,11.85225149,10.32645,11.16642708
'Bad Lippspringe',12.31572177,11.75785349,11.72559677,11.8130457,9.690212366,11.56933737,11.00002016,11.21265323,11.14539919,11.22161694,10.96414382,9.079842742,10.80097581
'Bad Muenstereifel',10.78821256,12.20051518,11.28796023,12.25273119,10.9089353,12.19826527,11.24825613,11.78113112,11.64357652,12.57560033,11.83015744,10.304451,10.9909479
'Bad Oeynhausen',14.742375,14.03975064,13.75203476,14.34490513,13.37262452,13.96327328,13.72445871,14.29293224,14.32567395,13.8873192,13.61016247,11.7126132,12.08476961
'Bad Salzuflen',15.24715565,13.99434032,14.22179274,14.23930565,13.76030726,14.27109032,14.03197823,14.84167903,14.73470645,13.67996613,13.44892581,11.94763871,12.70675484
'Bad Sassendorf',15.08315947,14.80651227,14.71515683,14.53528276,13.80743447,14.48194161,13.86875963,14.68618354,14.16019612,14.04897143,13.46727547,12.12019472,12.66524829
'Bad Wuennenberg',11.77751553,11.52378241,10.6581148,11.44345138,9.92633741,10.97154404,10.46241852,11.4543071,10.86178939,11.27405215,10.87216889,9.277476516,10.08746819
Baesweiler ,12.90082639,14.24678472,12.48139583,13.34906944,11.7101713,13.76673148,12.73613194,10.68691204,13.5746088,14.18440972,13.53450926,11.06442593,11.94675231
Balve,13.03045331,13.0615846,12.93951742,13.49110436,13.30555826,12.70149385,13.0684173,13.10767184,12.49408533,12.45947014,12.65201742,11.17620609,11.92300381
Barntrup,14.32967876,13.34569624,13.47384677,13.63908468,12.53954032,12.80175672,12.82236694,14.05743011,13.85269355,13.22464247,12.69969489,11.47372715,12.46517204
Beckum,10.381368,12.17522995,11.10078812,12.17024906,10.19441573,11.75505357,10.61589693,11.18313889,11.53049185,10.75629386,9.598224833,8.856061299,9.733014933
Bedburg,13.72793245,14.19404205,12.83469785,13.36428753,12.5975185,13.76544035,13.46909938,12.66127329,13.26968724,13.90859433,13.44607453,11.91503546,11.78962034
'Bedburg-Hau',14.50441782,14.28106578,12.9512039,14.05566053,13.01607653,14.09475966,12.470543,11.11507434,14.20113539,14.1568617,13.39889067,11.38289012,12.20940324
Beelen,13.39967017,13.54351261,12.91564811,13.76557213,13.1776187,13.55099965,12.76822724,13.3136341,13.5306131,12.79216912,12.34041562,11.17747444,12.29656338
Bergheim,13.19440688,14.13523993,13.09711326,13.05425419,11.78797819,13.6369396,13.30127685,12.48497315,13.50608977,13.8547005,12.83724077,11.57924413,11.95387668
Bergkamen,12.85039786,13.75193548,12.70025238,13.74334667,13.41222238,13.89303071,13.09746143,12.94034167,13.43128833,13.48192833,12.700175,11.1651181,11.447125
Bergneustadt,11.29561194,12.01695709,11.25921828,11.81317351,11.62520522,11.71205037,11.13575,9.867945896,10.73089739,11.48628918,10.98562127,9.369440299,10.76590858
Bestwig,12.56322969,12.13229047,11.68466465,12.23102064,12.61078309,11.33397821,11.88242415,12.03393807,11.61508863,11.82232634,11.84778244,10.6562998,11.44669692
Beverungen,12.74012868,12.92010846,12.66079136,13.24841452,11.41121783,12.87746048,12.33679504,13.55086673,13.21574265,12.71765625,12.78728676,11.03644026,11.67001471
Bielefeld,13.72931292,13.51517956,13.34954919,13.49576574,12.51466947,13.42119672,13.26089419,13.94569864,13.67249764,13.13077622,12.72541057,11.03802342,12.42027529
Billerbeck,12.22418095,13.2662419,12.35562786,12.77701976,11.98298452,12.77113095,11.99823083,11.30778321,12.46035214,11.94191738,12.22539857,9.941504762,10.54940167
Blankenheim,10.22765775,10.85820884,10.28353161,10.25997842,9.7844089,10.5238919,10.25035743,10.27971839,10.09355558,10.80139878,10.82781847,9.207110294,9.464745225
Blomberg,15.16367592,13.83175933,14.14010783,14.14422673,13.24764562,13.54782177,13.48840576,14.80460219,14.43432327,13.66104942,13.49924643,12.03862143,12.8533197
Bocholt,14.25571003,13.82000074,12.75800712,13.57551137,12.58523321,13.64539615,12.08857419,11.40258812,13.34147715,13.38263085,13.35531431,11.52713031,12.39645536
Bochum,13.06862322,13.78526244,13.19502903,13.40225889,12.98224171,13.88470142,13.38555687,12.13502429,12.99085664,13.98277666,13.61786671,11.66930154,11.50642891
Boenen,13.70329167,14.13088095,13.12254762,14.13935714,13.84904167,13.99745833,13.32406944,13.06952778,13.52120238,13.6308373,12.91750595,11.38889087,11.97405159
Borchen,10.93057786,10.81648134,10.65158607,10.78015444,8.244273649,10.77329199,9.910226995,10.74512484,10.22825917,10.57105035,9.757842342,7.899747265,9.554157658
Borgentreich,11.86281921,11.5442537,11.16486899,12.38418125,10.52370355,11.50307726,10.92603636,12.13527729,11.74658355,11.97777803,11.32647169,9.902936158,10.00488647
Borgholzhausen,13.68778186,13.16231412,12.87667979,13.50492979,13.03339448,12.88024229,12.66874168,13.46056981,13.08476157,13.03879586,12.36921063,10.81773052,12.34644318
Borken,13.57327522,14.02188706,13.00378235,13.65856634,12.5327341,13.858625,12.64311842,12.34147862,13.34869463,13.25934978,13.05924287,11.07605811,11.756733
Bornheim,11.88784473,13.42126855,11.76813672,12.01553711,11.39230273,14.06640723,12.85199902,11.8989873,13.08896289,13.1182627,12.35758691,10.86808789,11.77637109
Brakel,14.15203969,13.46861586,13.30673424,13.81455866,12.35329122,13.14974616,12.74221917,14.16352518,13.85069169,13.37410658,13.5102749,11.34240904,12.25883022
Breckerfeld,12.9733513,12.46267623,12.37608478,12.64815921,12.88515137,12.16716088,12.19248848,11.74561048,12.16886916,12.44675617,12.58271529,10.97384496,11.74168858
Brilon,12.7291772,12.27982618,11.59940511,12.50282938,12.06184861,11.72486327,11.87102095,12.91312065,11.9672575,12.18697339,12.04909965,11.01469362,11.88425836
Brueggen,13.63129821,12.6656754,11.12650952,13.61673591,11.2732627,14.24231944,13.09013512,11.1090623,12.89950873,13.9351502,12.91887698,11.21227321,11.31731667
Bruehl,12.25976483,13.57884958,11.99393644,11.93178602,11.02992161,13.97879237,13.06897034,12.07106568,12.96111653,13.1783411,12.17819068,10.78920763,11.50399153
Buende,14.82640648,14.27991568,13.99904934,14.27035825,13.13047772,14.06990795,14.11183303,14.66023932,14.55551399,13.56120637,12.68168833,11.45116808,12.2628577
Burbach,12.41383763,12.1756701,11.12295232,11.67214948,13.13997423,11.61426675,12.09099485,11.75308634,11.883375,12.26871907,11.40937887,10.35876289,11.73580284
Bueren,10.75106279,10.86723367,10.28887152,10.40790643,8.842952454,10.24473701,9.83744759,10.68628412,10.37187921,10.35124673,9.78734669,8.444916159,9.215949405
'Castrop-Rauxel',13.403669,14.22966587,13.51128111,13.54896962,13.31565133,14.21182161,13.47235107,12.81931591,13.44167342,13.73311929,13.1800845,11.34892968,11.37735567
Coesfeld,12.31602237,13.47752475,12.34160316,12.61519943,10.96083584,13.37734309,12.12625999,11.58807152,12.42420995,12.22457841,12.55209715,10.3811433,10.6095168
Dahlem,9.62870096,10.458867,10.11807036,9.720439765,10.20020056,9.919321029,9.814956956,9.917517591,9.425168977,10.04889472,9.984584621,8.538688566,8.674912313
Datteln,12.78798261,14.28729596,13.52590497,13.53586475,13.33941786,14.16992624,13.14625699,12.32951693,13.35079503,13.34452904,13.12944053,11.21967702,11.13935481
Delbrueck,14.18871008,14.01157733,14.12410924,13.80397123,13.16544966,13.8751873,13.6236759,14.30614132,13.6658342,12.88281488,13.34754291,11.24242308,12.74370023
Detmold,14.32657209,13.05141138,13.26311905,13.38855026,12.71424405,13.06309854,12.79263558,13.46289616,13.29424471,12.85198214,12.64606944,11.26179167,12.14185317
Dinslaken,13.57935843,13.84535392,13.03578765,13.73906777,12.93059036,14.1076762,13.17590813,12.49913253,13.75469578,13.87896235,13.84778012,11.60604518,11.5345738
Doerentrup,15.01915278,13.47148611,13.79085494,13.99251235,13.37187963,13.20489815,13.24323765,14.0690679,13.92805247,13.1699213,12.87057099,11.68978858,12.29892438
Dormagen,13.85319542,14.28452634,13.41724785,12.8861882,11.72361246,14.14140261,13.67863285,11.31759954,13.03451874,13.53259828,12.60878052,11.57256408,11.48868554
Dorsten,13.06686991,13.96903722,13.27668065,13.47262385,12.55801363,13.74534402,12.82863095,12.3295905,12.97846092,13.24453127,13.11459258,11.24714142,11.38366703
Dortmund,13.61207475,14.06261369,13.34337818,13.71591516,13.58016871,13.85748322,13.23893007,12.80111116,13.22650355,13.78682835,13.05815838,11.43247312,11.27279581
Drensteinfurt,10.57955556,12.45867141,11.45111563,12.98882374,11.86979255,12.55216623,10.85355853,11.30106823,12.04543552,11.81538183,10.78191457,9.600960428,9.251391314
Drolshagen,13.73561425,12.97854883,12.73910277,13.26501585,14.11883947,12.45122066,12.57567402,12.54672795,12.67702934,12.84088047,12.6619477,11.40103444,12.27315106
Duelmen,12.16318229,13.77689015,12.90572017,13.09446875,12.06490862,13.67520028,12.35483665,11.72213589,12.8639053,12.69460843,12.64769744,10.72331723,10.77795407
Dueren,13.16151177,14.21461164,12.29836693,12.59810979,11.97007183,13.76460979,12.67687063,11.82540132,13.76701825,14.1853623,13.84624405,10.66603571,11.32833862
Eitorf,12.24380095,13.26451278,11.5424909,12.33029202,11.00604394,13.50614846,12.98815441,11.68288831,12.46771359,12.35549877,13.07662447,10.69262132,12.0016973
Elsdorf,13.0992525,13.85714035,12.42015053,13.01309062,12.04816305,13.07722563,12.84068875,13.07336282,13.78054873,13.92184413,13.23409162,11.40121245,11.80332326
'Emmerich am Rhein',14.24387828,14.08051245,12.70912844,13.66271576,12.26751687,13.95649083,12.08352244,10.72272297,14.17738827,13.9807767,12.6967885,11.24000655,11.66965121
Emsdetten,13.12830236,13.46585154,12.96657551,13.29504903,12.20800272,13.13929812,12.71659458,11.88630857,13.0249319,13.05483581,13.03705569,10.43757748,11.77773759
Engelskirchen,11.61666748,12.34863592,11.83032888,12.14303762,11.60009709,12.31305825,11.89100728,10.92304854,11.37112864,11.93707888,11.79219782,10.22476456,10.60488592
Enger,15.18302115,14.42781538,14.30349038,14.59441538,13.865975,14.52160769,14.32807885,15.20959615,15.06343269,14.05417308,12.99738269,11.81849808,12.52530769
Ennepetal,12.60987132,12.30783211,12.26922672,12.18945833,11.82932475,12.13590931,11.72503554,10.93259804,11.74836765,12.03790319,12.15658701,10.48801103,11.46545466
Ennigerloh,10.5108677,12.16959915,10.95852151,12.19981058,10.62546182,11.84293459,10.53355249,10.89645028,11.84120916,10.6674489,9.808231058,9.084606255,9.746737865
Ense,14.15476902,14.16663723,14.06402989,14.12485054,13.71921332,13.79311549,13.56093071,13.42788043,12.80418342,13.05331114,13.0921413,11.28498098,12.12867799
Erftstadt,12.11820531,13.28498598,11.41086794,11.89937096,11.04053985,13.12324213,12.1886133,12.3112164,12.44899455,13.0369209,11.99196197,10.48532345,11.16811531
