gn,spost,normal,GlyBan
Ahaus,spost1,1,1
Ahaus,spost2,1,0
Ahaus,spost3,1,0
Ahaus,spost4,1,1
Ahaus,spost5,1,0
Ahaus,spost6,1,0
Ahaus,spost7,1,0
Ahaus,spost8,1,0
Ahaus,spost9,1,0
Ahaus,spost10,1,1
Ahaus,spost11,1,0
Ahaus,spost12,1,0
Ahaus,spost13,1,0
Ahaus,spost14,1,0
Ahaus,spost15,1,0
Ahaus,spost16,1,0
Ahaus,spost17,1,0
Ahaus,spost18,1,1
Ahaus,spost19,1,0
Ahaus,spost20,1,0
Ahaus,spost21,1,0
Ahaus,spost22,1,0
Ahaus,spost23,1,0
Ahaus,spost24,1,1
Ahaus,spost25,1,0
Ahaus,spost26,1,0
Ahaus,spost27,1,0
Ahaus,spost28,1,0
Ahaus,spost29,1,0
Ahaus,spost30,1,0
Ahaus,spost31,1,0
Ahaus,spost32,1,0
Ahaus,spost33,1,0
Ahaus,spost34,1,0
Ahaus,spost35,1,0
Ahaus,spost36,1,0
Ahaus,spost37,1,0
Ahaus,spost38,1,0
Ahaus,spost39,1,0
Ahaus,spost40,1,0
Ahaus,spost41,1,0
Ahaus,spost42,1,0
Ahaus,spost43,1,0
Ahaus,spost44,1,0
Ahaus,spost45,1,0
Ahaus,spost46,1,0
Ahaus,spost47,1,0
Ahaus,spost48,1,0
Ahaus,spost49,1,0
Ahaus,spost50,1,0
Ahaus,spost51,1,0
Ahaus,spost52,1,0
Ahaus,spost53,1,0
Ahaus,spost54,1,0
Ahaus,spost55,1,0
Beckum,spost1,1,1
Beckum,spost2,1,1
Beckum,spost3,1,1
Beckum,spost4,1,0
Beckum,spost5,1,0
Beckum,spost6,1,0
Beckum,spost7,1,0
Beckum,spost8,1,0
Beckum,spost9,1,0
Beckum,spost10,1,0
Beckum,spost11,1,0
Beckum,spost12,1,0
Beckum,spost13,1,0
Beckum,spost14,1,0
Beckum,spost15,1,0
Beckum,spost16,1,0
Beckum,spost17,1,0
Beckum,spost18,1,0
Beckum,spost19,1,0
Beckum,spost20,1,0
Beckum,spost21,1,0
Beckum,spost22,1,0
Beckum,spost23,1,0
Beckum,spost24,1,0
Beckum,spost25,1,1
Beckum,spost26,1,0
Beckum,spost27,1,0
Beckum,spost28,1,0
Beckum,spost29,1,0
Beckum,spost30,1,0
Beckum,spost31,1,1
Beckum,spost32,1,0
Beckum,spost33,1,0
Beckum,spost34,1,0
Beckum,spost35,1,0
Beckum,spost36,1,0
Beckum,spost37,1,0
Beckum,spost38,1,0
Beckum,spost39,1,0
Beckum,spost40,1,0
Beckum,spost41,1,0
Beckum,spost42,1,0
Beckum,spost43,1,0
Beckum,spost44,1,0
Beckum,spost45,1,0
Beckum,spost46,1,0
Beckum,spost47,1,0
Beckum,spost48,1,0
Beckum,spost49,1,0
Beckum,spost50,1,0
Beckum,spost51,1,0
Beckum,spost52,1,0
Beckum,spost53,1,0
Beckum,spost54,1,0
Beckum,spost55,1,0
Bruehl,spost1,1,1
Bruehl,spost2,1,0
Bruehl,spost3,1,0
Bruehl,spost4,1,0
Bruehl,spost5,1,0
Bruehl,spost6,1,0
Bruehl,spost7,1,0
Bruehl,spost8,1,0
Bruehl,spost9,1,0
Bruehl,spost10,1,0
Bruehl,spost11,1,0
Bruehl,spost12,1,0
Bruehl,spost13,1,0
Bruehl,spost14,1,0
Bruehl,spost15,1,0
Bruehl,spost16,1,0
Bruehl,spost17,1,0
Bruehl,spost18,1,0
Bruehl,spost19,1,0
Bruehl,spost20,1,0
Bruehl,spost21,1,1
Bruehl,spost22,1,1
Bruehl,spost23,1,1
Bruehl,spost24,1,1
Bruehl,spost25,1,1
Bruehl,spost26,1,1
Bruehl,spost27,1,0
Bruehl,spost28,1,0
Bruehl,spost29,1,0
Bruehl,spost30,1,0
Bruehl,spost31,1,0
Bruehl,spost32,1,0
Bruehl,spost33,1,0
Bruehl,spost34,1,0
Bruehl,spost35,1,0
Bruehl,spost36,1,0
Bruehl,spost37,1,0
Bruehl,spost38,1,0
Bruehl,spost39,1,0
Bruehl,spost40,1,0
Bruehl,spost41,1,0
Bruehl,spost42,1,0
Bruehl,spost43,1,0
Bruehl,spost44,1,0
Bruehl,spost45,1,0
Bruehl,spost46,1,0
Bruehl,spost47,1,0
Bruehl,spost48,1,0
Bruehl,spost49,1,0
Bruehl,spost50,1,0
Bruehl,spost51,1,0
Bruehl,spost52,1,0
Bruehl,spost53,1,0
Bruehl,spost54,1,0
Bruehl,spost55,1,0
