,'Alopecurus myo','Digitaria isch','Echinochloa cr','Elymus repens','Poa annua L.','Setaria viridi','Amaranthus ret','Atriplex patul','Brassica napus','Capsella bursa','Chenopodium al','Cirsium arvens','Convolvulus ar','Equisetum arve','Fallopia convo','Fumaria offici','Galium aparine','Galinsoga parv','Geranium pusil','Lamium album L.','Matricaria rec','Mercurialis an','Persicaria lap','Persicaria mac','Polygonum avic','Rumex obtusifo','Solanum nigrum','Sonchus arvens','Stellaria medi','Thlaspi arvens','Veronica arven','Viola arvensis'
spre1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
spre2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
spre3,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
spre4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
spre5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.33,0.9,0.33,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
spre6,1,1,1,1,1,1,1,1,1,1,1,1,0.63,1,0.63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
spre7,0.107,0.194,0.194,0.107,0.107,0.194,0.107,0.194,0.194,0.4,0.323,0.107,0.107,0.107,0.13,0.194,0.107,0.107,0.194,0.295,0.194,0.107,0.194,0.244,0.182,0.107,0.194,0.107,0.341,0.341,0.283,0.194
spre8,0.2,0.341,0.341,0.2,0.2,0.341,0.2,0.341,0.341,0.6,0.516,0.2,0.2,0.2,0.239,0.341,0.2,0.2,0.341,0.482,0.341,0.2,0.341,0.413,0.323,0.2,0.341,0.2,0.536,0.536,0.466,0.341
spre9,0.28,0.452,0.452,0.28,0.28,0.452,0.28,0.452,0.452,0.7,0.631,0.28,0.28,0.28,0.33,0.452,0.28,0.28,0.452,0.599,0.452,0.28,0.452,0.531,0.431,0.28,0.452,0.28,0.648,0.648,0.584,0.452
spre10,0.35,0.536,0.536,0.35,0.35,0.536,0.35,0.536,0.536,0.75,0.699,0.35,0.35,0.35,0.406,0.536,0.35,0.35,0.536,0.673,0.536,0.35,0.536,0.613,0.515,0.35,0.536,0.35,0.713,0.713,0.661,0.536
spre11,0.41,0.6,0.6,0.41,0.41,0.6,0.41,0.6,0.6,0.775,0.74,0.41,0.41,0.41,0.47,0.6,0.41,0.41,0.6,0.72,0.6,0.41,0.6,0.67,0.58,0.41,0.6,0.41,0.75,0.75,0.71,0.6
spre12,0.463,0.648,0.648,0.463,0.463,0.648,0.463,0.648,0.648,0.788,0.764,0.463,0.463,0.463,0.524,0.648,0.463,0.463,0.648,0.75,0.648,0.463,0.648,0.71,0.63,0.463,0.648,0.463,0.771,0.771,0.742,0.648
spre13,0.407,0.494,0.494,0.407,0.407,0.494,0.407,0.494,0.494,0.7,0.623,0.407,0.407,0.407,0.43,0.494,0.407,0.407,0.494,0.595,0.494,0.407,0.494,0.544,0.482,0.407,0.494,0.407,0.641,0.641,0.583,0.494
spre14,0.5,0.641,0.641,0.5,0.5,0.641,0.5,0.641,0.641,0.9,0.816,0.5,0.5,0.5,0.539,0.641,0.5,0.5,0.641,0.782,0.641,0.5,0.641,0.713,0.623,0.5,0.641,0.5,0.836,0.836,0.766,0.641
spre15,0.58,0.752,0.752,0.58,0.58,0.752,0.58,0.752,0.752,1,0.931,0.58,0.58,0.58,0.63,0.752,0.58,0.58,0.752,0.899,0.752,0.58,0.752,0.831,0.731,0.58,0.752,0.58,0.948,0.948,0.884,0.752
spre16,0.65,0.836,0.836,0.65,0.65,0.836,0.65,0.836,0.836,1,0.999,0.65,0.65,0.65,0.706,0.836,0.65,0.65,0.836,0.973,0.836,0.65,0.836,0.913,0.815,0.65,0.836,0.65,1,1,0.961,0.836
