,t2009
Aachen,13.21142944
Ahaus,12.8771977
Ahlen,10.4600886
Aldenhoven,13.34618438
Alfter,12.62094366
Alpen,12.90261029
Alsdorf ,13.52409856
Altena,13.07831425
Altenbeken,10.69780147
Altenberge,12.24513049
Anroechte,11.40513562
Arnsberg,13.09608651
Ascheberg,11.50789112
Attendorn,12.47098734
Augustdorf,11.24141167
'Bad Berleburg',11.20264022
'Bad Driburg',12.467375
'Bad Honnef',12.87958333
'Bad Laasphe',11.85225149
'Bad Lippspringe',10.96414382
'Bad Muenstereifel',11.83015744
'Bad Oeynhausen',13.61016247
'Bad Salzuflen',13.44892581
'Bad Sassendorf',13.46727547
'Bad Wuennenberg',10.87216889
Baesweiler ,13.53450926
Balve,12.65201742
Barntrup,12.69969489
Beckum,9.598224833
Bedburg,13.44607453
'Bedburg-Hau',13.39889067
Beelen,12.34041562
Bergheim,12.83724077
Bergkamen,12.700175
Bergneustadt,10.98562127
Bestwig,11.84778244
Beverungen,12.78728676
Bielefeld,12.72541057
Billerbeck,12.22539857
Blankenheim,10.82781847
Blomberg,13.49924643
Bocholt,13.35531431
Bochum,13.61786671
Boenen,12.91750595
Borchen,9.757842342
Borgentreich,11.32647169
Borgholzhausen,12.36921063
Borken,13.05924287
Bornheim,12.35758691
Brakel,13.5102749
Breckerfeld,12.58271529
Brilon,12.04909965
Brueggen,12.91887698
Bruehl,12.17819068
Buende,12.68168833
Burbach,11.40937887
Bueren,9.78734669
'Castrop-Rauxel',13.1800845
Coesfeld,12.55209715
Dahlem,9.984584621
Datteln,13.12944053
Delbrueck,13.34754291
Detmold,12.64606944
Dinslaken,13.84778012
Doerentrup,12.87057099
Dormagen,12.60878052
Dorsten,13.11459258
Dortmund,13.05815838
Drensteinfurt,10.78191457
Drolshagen,12.6619477
Duelmen,12.64769744
Dueren,13.84624405
Eitorf,13.07662447
Elsdorf,13.23409162
'Emmerich am Rhein',12.6967885
Emsdetten,13.03705569
Engelskirchen,11.79219782
Enger,12.99738269
Ennepetal,12.15658701
Ennigerloh,9.808231058
Ense,13.0921413
Erftstadt,11.99196197
Erkelenz,14.00566196
Erkrath,14.439125
Erndtebrueck,11.1673306
Erwitte,12.37272682
Eschweiler,14.07070558
'Eslohe (Sauerland)',11.25351618
Espelkamp,11.40173744
Euskirchen,12.128979
Everswinkel,11.37721552
Extertal,12.58666071
Finnentrop,12.01259985
Frechen,12.31705764
Freudenberg,12.83407143
'Froendenberg/Ruhr',13.18373143
Gangelt,12.42947038
Geilenkirchen,12.79734167
Geldern,12.60567589
Gescher,12.76702319
Geseke,11.96919938
Gevelsberg,13.31337
Gladbeck,13.15070149
Goch,13.60575257
Grefrath,13.31088393
Greven,13.22171899
Grevenbroich,13.75192532
'Gronau (Westf.)',13.67371875
Gummersbach,9.414316506
Guetersloh,12.16237077
Haan,14.06236842
Hagen,13.56007039
'Halle (Westf.)',12.64534813
Hallenberg,11.14321571
'Haltern am See',12.69375342
Halver,11.31390935
Hamm,12.15122942
Hamminkeln,13.25318677
Harsewinkel,12.63238014
Hattingen,14.13680118
Havixbeck,13.2482931
Heek,13.68567385
Heiden,12.85709157
Heiligenhaus,14.54094952
Heimbach,11.72425035
Heinsberg,12.41310556
Hellenthal,9.845439112
Hemer,12.71823798
'Hennef (Sieg)',13.0675737
Herdecke,13.33117614
Herford,13.15224716
Herne,13.79457078
Herscheid,12.18947527
Herten,13.12919178
'Herzebrock-Clarholz',11.82075278
Herzogenrath,13.07112124
Hiddenhausen,12.40923011
Hilchenbach,11.50941418
Hilden,13.17778125
Hille,12.76128717
Holzwickede,13.3582201
Hopsten,13.41342048
'Horn-Bad Meinberg',12.74985513
Hoerstel,13.48321563
Horstmar,12.80155659
Hoevelhof,12.40094891
Hoexter,12.95271873
Hueckelhoven,13.55101842
Hueckeswagen,11.29982247
Huellhorst,13.70613924
Huenxe,13.50363698
Huertgenwald,10.97318452
Huerth,12.22955966
Ibbenbueren,13.12176252
Inden,13.5677418
Iserlohn,13.1435359
Isselburg,13.25367478
Issum,12.7140006
Juechen,13.92559871
Juelich,13.10706211
Kaarst,13.79651953
Kalkar,13.41390603
Kall,10.54030309
Kalletal,12.58293416
Kamen,12.96254611
'Kamp-Lintfort',12.81025893
Kempen,13.06984935
Kerken,12.55306786
Kerpen,12.49426204
Kevelaer,13.02852315
Kierspe,10.84164653
Kirchhundem,11.28874968
Kirchlengern,12.90823106
Kleve,12.97731552
Koenigswinter,13.17014357
Korschenbroich,13.81202707
Kranenburg,12.79853094
Kreuzau,13.04996858
Kreuztal,12.434525
Ladbergen,12.99688697
Laer,12.72049697
Lage,12.97897271
Langenberg,13.38515352
'Langenfeld (Rhld.)',12.67763826
Langerwehe,12.79533882
Legden,12.62365829
Lemgo,13.53707303
Lengerich,12.93100987
Lennestadt,11.75908143
Leopoldshoehe,13.55483784
Leverkusen,13.3194116
Lichtenau,10.74690123
Lienen,12.9405994
Lindlar,10.88720255
Linnich,13.49159862
Lippetal,10.37436735
Lippstadt,13.50082043
Lohmar,12.75322794
Loehne,13.33361224
Lotte,13.26163739
Luebbecke,13.12022873
Luedenscheid,12.79977789
Luedinghausen,12.68254405
Luegde,13.0814375
Luenen,12.90600455
Marienheide,8.288783602
Marienmuenster,13.00796934
Marl,13.10400263
Marsberg,12.12273094
Mechernich,11.49794797
Meckenheim,12.95642143
Medebach,11.04929512
Meerbusch,13.27294032
Meinerzhagen,11.45614973
'Menden (Sauerland)',13.37083241
Merzenich,13.68891656
Meschede,12.11057249
Metelen,13.5905625
Mettingen,13.79715646
Mettmann,15.121125
Minden,12.78609567
Moers,12.99355449
Moehnesee,12.46755699
Moenchengladbach,13.48050706
'Monheim am Rhein',12.20289205
Monschau,11.24639415
Morsbach,13.23915888
Much,13.68780672
Muenster,12.09244896
'Nachrodt-Wiblingwerde',13.01928635
Netphen,12.14764933
Nettersheim,10.52473732
Nettetal,12.85264936
Neuenkirchen,12.5913003
Neuenrade,12.50717473
'Neukirchen-Vluyn',12.7667566
Neunkirchen,12.70659476
'Neunkirchen-Seelscheid',13.43773234
Neuss,13.52541946
Nideggen,12.25166118
Niederkassel,12.78379464
Niederkruechten,12.71847018
Niederzier,13.39336075
Nieheim,12.84919403
Nordkirchen,12.13111564
Nordwalde,12.96353495
Noervenich,13.03963326
Nottuln,12.56425809
Nuembrecht,13.68931464
Oberhausen,13.02087207
Ochtrup,13.27307237
Oelde,11.21678748
'Oer-Erkenschwick',12.62012295
Oerlinghausen,12.21485776
Olfen,12.94560201
Olpe,12.46206884
Olsberg,11.52409044
Ostbevern,13.47854052
Paderborn,11.49979096
Petershagen,10.58103511
Plettenberg,12.60121742
'Porta Westfalica',13.10908
'Preussisch Oldendorf',13.14589636
Pulheim,12.50893378
Radevormwald,10.59149629
Raesfeld,12.94300134
Rahden,11.90642451
Ratingen,14.16620017
Recke,13.21501175
Recklinghausen,12.93748349
Rees,13.18228344
Reichshof,11.9736621
Reken,12.867467
'Rheda-Wiedenbrueck',12.07539464
Rhede,12.8388623
Rheinbach,12.45319492
Rheinberg,13.16313438
Rheine,12.9357549
Rheurdt,12.91069048
Rietberg,13.25755779
Roedinghausen,13.49600682
Roetgen,12.72890455
Rommerskirchen,13.47676125
Rosendahl,11.81449038
Ruppichteroth,13.64643015
Ruethen,11.32720736
Saerbeck,13.24372153
Salzkotten,13.0225824
'Sankt Augustin',13.13923958
Sassenberg,12.76222717
Schalksmuehle,13.0799912
Schermbeck,12.94203286
'Schieder-Schwalenberg',13.75095937
Schlangen,11.10628312
Schleiden,10.1921836
'Schloss Holte-Stukenbrock',11.55038964
Schmallenberg,10.77961952
Schoeppingen,12.58733288
Schwalmtal,12.95467468
Schwelm,13.83596951
Schwerte,13.58884483
Selfkant,12.94712755
Selm,12.79593463
Senden,12.00091837
Sendenhorst,11.062386
Siegburg,12.81141406
Siegen,12.98939375
Simmerath,10.93491092
Soest,13.54507356
Sonsbeck,13.15761425
Spenge,13.01995437
Sprockhoevel,13.85435877
Stadtlohn,12.522601
Steinfurt,13.45677323
Steinhagen,12.12252875
Steinheim,13.13304457
Stemwede,11.7598658
'Stolberg (Rhld.)',12.25803486
Straelen,13.09602913
Suedlohn,12.83675179
'Sundern (Sauerland)',12.1823795
Swisttal,12.08499227
Tecklenburg,13.34027071
Telgte,12.5943122
Titz,13.77851722
Toenisvorst,13.23202587
Troisdorf,12.62823127
'Uebach-Palenberg',13.29864323
Uedem,13.83315144
Unna,13.42210531
Velbert,14.17152711
Velen,12.85902059
Verl,12.73419509
Versmold,12.91145982
Vettweiss,12.72231215
Viersen,12.95672961
Vlotho,13.64012158
'Voerde (Niederrhein)',13.36130865
Vreden,12.78111429
Wachtberg,13.38597269
Wachtendonk,12.98061506
Wadersloh,12.31217668
Waldbroel,13.49258676
Waldfeucht,12.14628125
Waltrop,12.97043013
Warburg,11.81973135
Warendorf,11.60462012
Warstein,12.17797019
Wassenberg,12.28704667
Weeze,13.18213986
Wegberg,13.03432617
Weilerswist,11.72656005
Welver,12.89754596
Wenden,12.67322694
Werdohl,13.1356875
Werl,13.62612381
Werne,12.48345904
'Werther (Westf.)',13.50853744
Wesel,13.28323395
Wesseling,12.30558594
Westerkappeln,13.9078533
'Wetter (Ruhr)',12.23909221
Wettringen,13.29804444
'Wickede (Ruhr)',13.85376442
Wiehl,12.44409416
Willebadessen,12.58804645
Willich,13.13479243
Wilnsdorf,12.38701835
Windeck,13.21697972
Winterberg,10.337417
Wipperfuerth,9.610788171
Witten,13.03160435
Wuelfrath,14.34878125
Wuppertal,13.89647182
Wuerselen,13.03274835
Xanten,13.24672049
Zuelpich,11.84931506
