GN,s_soilVarieties,ShapeArea
Aachen,ls,30428258
Aachen,lu,81452319
Aachen,Siedlung,33499498
Aachen,tu,13918572526
Ahaus,ls,69755928
Ahaus,Moore,10996515
Ahaus,ss,6704865758
Ahlen,ls,70534333
Ahlen,sl,298975907
Ahlen,tl,147175535
Ahlen,tu,244429219
Aldenhoven,Abbauflaechen,15872254
Aldenhoven,tu,13913708538
Alfter,ls,57166261
Alfter,lu,87358163
Alfter,Siedlung,47112422
Alfter,tu,13913708538
Alpen,ls,578017006
Alpen,ss,71937957
Alpen,tl,263493395
Alsdorf,tu,13913708538
Altena,tl,411405764
Altena,tu,19900911227
Altenbeken,ls,112947617
Altenbeken,tu,22818059189
Altenberge,ls,140337672
Altenberge,sl,118729505
Altenberge,ss,6837859990
Altenberge,tu,13466210
Anroechte,tu,19900911227
Arnsberg,tl,411405764
Arnsberg,tu,19900911227
Ascheberg,ls,1509942062
Ascheberg,sl,24618935
Ascheberg,ss,79723322
Ascheberg,tu,47653144
Attendorn,Gewaesser,11781653
Attendorn,tl,411405764
Attendorn,tu,19900911227
Augustdorf,lu,110421527
Augustdorf,ss,6704865758
'Bad Berleburg',tu,19900911227
'Bad Driburg',tu,2917147962
'Bad Honnef',Gewaesser,464713346
'Bad Honnef',sl,9186062
'Bad Honnef',tu,19900911227
'Bad Laasphe',tu,19900911227
'Bad Lippspringe',ss,6704865758
'Bad Lippspringe',tu,19900911227
'Bad Muenstereifel',tu,13913708538
'Bad Oeynhausen',Gewaesser,174162727
'Bad Oeynhausen',tl,467019313
'Bad Oeynhausen',tu,3290089648
'Bad Salzuflen',ls,23874596
'Bad Salzuflen',tl,467019313
'Bad Salzuflen',tu,2917147962
'Bad Sassendorf',tu,19900911227
'Bad Wuennenberg',tu,19900911227
Baesweiler,tu,13913708538
Balve,tl,411405764
Balve,tu,19900911227
Barntrup,tu,2917147962
Barntrup,ut,68270584
Beckum,sl,174503835
Beckum,tu,199565022
