,'Alopecurus myo','Digitaria isch','Echinochloa cr','Elymus repens','Poa annua L.','Setaria viridi','Amaranthus ret','Atriplex patul','Brassica napus','Capsella bursa','Chenopodium al','Cirsium arvens','Convolvulus ar','Equisetum arve','Fallopia convo','Fumaria offici','Galium aparine','Galinsoga parv','Geranium pusil','Lamium album L.','Matricaria rec','Mercurialis an','Persicaria lap','Persicaria mac','Polygonum avic','Rumex obtusifo','Solanum nigrum','Sonchus arvens','Stellaria medi','Thlaspi arvens','Veronica arven','Viola arvensis'
spre1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
spre2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
spre3,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
spre4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
spre5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.33,0.9,0.33,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
spre6,1,1,1,1,1,1,1,1,1,1,1,1,0.63,1,0.63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
spost1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spost2,0,0,0,0,0,0,1,1,1,0.9,1,0.5,0.75,0,1,0,1,0.75,0.25,0.66,1,0.33,1,0.66,0.66,0.75,0.5,0.9,1,0.9,0.5,0
spost3,0,0.75,1,0,0.75,0.25,0.75,1,1,0.9,1,0,0,0,0.75,0.9,1,1,0.75,1,1,0.66,1,1,0.66,0,1,0,1,0.9,1,0.66
spost4,0,0.75,0,0,0.5,0,0,0.25,0,1,0.25,1,0,0,0,0,0,0.25,0.5,0.33,0.25,0,0,0.33,0,0,0.25,0,0.33,1,0.25,1
spost5,1,0.75,1,0.75,1,1,0.75,1,1,0.9,1,0,0,0,0.75,0.9,1,0.75,0.75,1,1,0.66,1,1,0.66,0,0.75,0,1,0.9,1,1
spost6,1,0.75,1,0.75,1,1,0.75,1,1,0.9,1,0,0.66,0,1,0.9,0.75,0.75,0.5,1,1,0.66,1,0.66,0.66,0,0.75,0.9,0.66,0.9,0.75,0.66
spost7,0.75,0.5,1,0,0.75,0.75,1,1,1,0.9,1,0,0,0,0.75,0,0.75,1,0.75,1,1,0.66,1,1,0.66,0,1,0.9,1,0.9,1,1
spost8,0.75,1,1,0,1,1,1,1,1,0.9,1,0,0,0,0.75,0,1,1,0.75,0.66,1,0.66,1,0.66,0.33,0,1,0.9,0.66,0.9,1,0.66
spost9,0.165,0,0,0,0.165,0,1,0.75,0.75,1,1,0,0.25,0,0.75,0.9,1,1,0.75,1,0.75,0.66,0.75,1,0.33,0.25,0.75,0.9,1,1,1,0.66
spost10,0.165,0.495,0.66,0.165,0.33,0.165,1,1,0.75,1,1,0,0.25,0,1,0.9,1,1,0.75,1,1,0.66,0.75,1,0.66,0.25,0.75,0.9,1,1,1,0.66
spost11,1,0.5,0.75,0.5,1,0.75,1,0.75,1,0.9,1,0,0,0,0.75,0.9,1,1,0.75,1,1,0.66,0.75,1,0.66,0,0.75,0.9,0.9,0,1,0.9
spost12,0.66,0.33,0.66,1,1,0.66,1,0.66,1,0.9,1,0.9,0,0.33,0.33,0,0.66,1,0.66,1,1,0.66,1,0.66,0.66,0.9,0.66,0,1,0,0.75,1
spost13,1,0.66,1,1,1,1,1,0.66,1,0.9,1,0.33,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0.9,1,1
spost14,0.25,1,1,0,1,0.75,1,1,1,0.9,1,0,0,0,1,0.9,1,1,0.75,1,1,0.66,1,1,0.66,0,1,0,1,0.9,1,1
