Municipality,GMAverage,Pre-Sow-Herbicide,Post-Sow-Herbicide
Ahaus       ,      241.45,spre5       ,spost1
Beckum      ,      634.92,spre5       ,spost7
Bruehl      ,      768.14,spre5       ,spost37
Hoevelhof   ,      747.49,spre5       ,spost7
Hopsten     ,      835.56,spre3       ,spost28
Lippetal    ,      747.40,spre3       ,spost18
Nottuln     ,      739.45,spre3       ,spost21
Ostbevern   ,      280.79,spre5       ,spost1
Greven      ,      249.24,spre5       ,spost1
Hamm        ,      232.80,spre3       ,spost1
Hamminkeln  ,      830.04,spre5       ,spost14
Mechernich  ,      580.00,spre5       ,spost18
Moenchenglad,      809.49,spre5       ,spost21
Salzkotten  ,      227.53,spre3       ,spost1
Selm        ,      848.61,spre3       ,spost39
Lotte       ,      209.07,spre5       ,spost1
Holzwickede ,      260.00,spre3       ,spost1
Juechen     ,      269.86,spre5       ,spost1
Luedinghause,      263.38,spre3       ,spost1
Hilden      ,      305.26,spre3       ,spost1
Borgholzhaus,      767.59,spre5       ,spost3
Kirchlengern,      859.64,spre3       ,spost52
Marienmuenst,      173.93,spre5       ,spost1
Sonsbeck    ,      288.69,spre3       ,spost1
Straelen    ,      265.02,spre3       ,spost1
Wuppertal   ,      251.48,spre3       ,spost1
Suedlohn    ,      265.18,spre5       ,spost1
Leverkusen  ,      315.54,spre5       ,spost1
Schwerte    ,      260.31,spre3       ,spost1
Engelskirche,      133.52,spre5       ,spost1
Werl        ,      299.00,spre3       ,spost1
Wesseling   ,      312.28,spre5       ,spost1
Tecklenburg ,      220.50,spre5       ,spost1
Mettmann    ,      330.18,spre3       ,spost1
Bocholt     ,      253.33,spre5       ,spost1
Schleiden   ,      404.46,spre3       ,spost18
Ratingen    ,      295.89,spre3       ,spost1
Meerbusch   ,      238.97,spre3       ,spost1
Hellenthal  ,      357.32,spre5       ,spost18
UebachPalenb,      241.27,spre5       ,spost1
Bestwig     ,       56.77,spre5       ,spost1
Lengerich   ,      212.34,spre5       ,spost1
Radevormwald,      559.72,spre5       ,spost13
Siegen      ,      187.39,spre5       ,spost1
Soest       ,      299.52,spre3       ,spost1
Issum       ,      283.82,spre3       ,spost1
Waltrop     ,      301.15,spre5       ,spost1
CastropRauxe,      291.70,spre3       ,spost1
Nettetal    ,      269.87,spre3       ,spost1
BadSalzuflen,      268.50,spre1       ,spost1
Rahden      ,      691.76,spre3       ,spost18
Steinfurt   ,      260.79,spre5       ,spost1
Lemgo       ,      786.01,spre5       ,spost21
Hoerstel    ,      246.75,spre5       ,spost1
Nieheim     ,      172.87,spre5       ,spost1
Steinheim   ,      192.75,spre5       ,spost1
Ruethen     ,      584.15,spre3       ,spost23
BadWuennenbe,      566.67,spre3       ,spost18
Vettweiss   ,      184.87,spre5       ,spost1
Luenen      ,      276.84,spre3       ,spost1
Bochum      ,      265.21,spre3       ,spost1
Delbrueck   ,      263.91,spre3       ,spost1
Gangelt     ,      248.60,spre5       ,spost1
Kerken      ,      259.26,spre3       ,spost1
