"","degree/strength","betweenness_centrality"
"Ahaus",31,15.8393068489818
"Beckum",25,12.7421443537543
"Bruehl",26,13.2674019607843
"Hoevelhof",22,7.86699907419722
"Hopsten",26,13.473487722288
"Lippetal",25,10.3599886010103
"Nottuln",26,13.0130532865827
"Ostbevern",25,10.7075046642384
"Greven",26,12.9161043591771
"Hamm",25,10.8566577385463
"Hamminkeln",29,15.3392897522154
"Mechernich",25,10.4452837582095
"Moenchengladbach",25,11.0560785619609
"Salzkotten",29,14.3470746530731
"Selm",28,14.6082721586979
"Lotte",22,8.74160730909957
"Holzwickede",23,9.15886380561303
"Juechen",25,11.974158070172
"Luedinghausen",29,16.3957462042601
"Hilden",19,6.85650207635502
"Borgholzhausen",25,10.8319351786844
"Kirchlengern",31,17.4859478713581
"Marienmuenster",25,10.4053590587259
"Sonsbeck",26,13.4097434814927
"Straelen",29,16.8766339010147
"Wuppertal",22,8.60198273518707
"Suedlohn",21,7.61906841009008
"Leverkusen",26,12.7907770935635
"Schwerte",20,6.53788223300607
"Engelskirchen",24,11.9400090105972
"Werl",30,16.1458928283619
"Wesseling",22,6.77830798372594
"Tecklenburg",20,7.17481421657118
"Mettmann",22,10.2269958799371
"Bocholt",28,12.7168496106577
"Schleiden",23,10.7442039771374
"Ratingen",30,18.2458380843443
"Meerbusch",28,12.999614760025
"Hellenthal",29,16.5246667118571
"\Uebach-Palenberg\",26,11.6099824367239
"Bestwig",23,10.5813770981341
"Lengerich",23,8.29346978271127
"Radevormwald",25,11.1583732830637
"Siegen",31,16.4982425641094
"Soest",26,11.4445176340687
"Issum",26,12.6569941496412
"Waltrop",22,8.23794963206728
"\Castrop-Rauxel\",21,7.51888866637319
"Nettetal",22,9.18160540439952
"\Bad Salzuflen\",29,16.7965513631535
