"","latitude","longitude","year","education","memory","beta","beta_s","aspiration_coef","tolerance_income","tolerance_activity","lambda","alpha_plus","alpha_minus","phi_plus","phi_minus"
"Ahaus",0,0,1963,7,5,0,0,1,0.56,0.45,0.7,0.6,0.6,0.7,0.7
"Beckum",0,0,1963,9,5,1,1,1,0.52,0.56,0.7,0.6,0.6,0.7,0.7
"Bruehl",0,0,1963,7,5,0,1,0,0.62,0.42,0.7,0.6,0.6,0.7,0.7
"Hoevelhof",0,0,1963,7,5,1,0,1,0.49,0.58,0.7,0.6,0.6,0.7,0.7
"Hopsten",0,0,1963,8,5,1,0,0,0.44,0.47,0.7,0.6,0.6,0.7,0.7
"Lippetal",0,0,1963,7,5,0,1,1,0.51,0.36,0.7,0.6,0.6,0.7,0.7
"Nottuln",0,0,1963,7,5,0,1,1,0.52,0.42,0.7,0.6,0.6,0.7,0.7
"Ostbevern",0,0,1963,7,5,1,0,0,0.4,0.46,0.7,0.6,0.6,0.7,0.7
"Greven",0,0,1963,11,5,0,0,1,0.46,0.54,0.7,0.6,0.6,0.7,0.7
"Hamm",0,0,1963,8,5,0,1,1,0.53,0.57,0.7,0.6,0.6,0.7,0.7
"Hamminkeln",0,0,1963,8,5,1,1,0,0.59,0.61,0.7,0.6,0.6,0.7,0.7
"Mechernich",0,0,1963,7,5,1,1,1,0.59,0.45,0.7,0.6,0.6,0.7,0.7
"Moenchengladbach",0,0,1963,10,5,0,1,1,0.61,0.44,0.7,0.6,0.6,0.7,0.7
"Salzkotten",0,0,1963,10,5,1,0,0,0.47,0.54,0.7,0.6,0.6,0.7,0.7
"Selm",0,0,1963,6,5,1,0,1,0.45,0.51,0.7,0.6,0.6,0.7,0.7
"Lotte",0,0,1963,6,5,1,1,1,0.64,0.47,0.7,0.6,0.6,0.7,0.7
"Holzwickede",0,0,1963,7,5,1,1,0,0.43,0.64,0.7,0.6,0.6,0.7,0.7
"Juechen",0,0,1963,6,5,1,1,0,0.46,0.61,0.7,0.6,0.6,0.7,0.7
"Luedinghausen",0,0,1963,9,5,1,0,0,0.55,0.62,0.7,0.6,0.6,0.7,0.7
"Hilden",0,0,1963,7,5,0,0,1,0.45,0.45,0.7,0.6,0.6,0.7,0.7
"Borgholzhausen",0,0,1963,9,5,0,1,1,0.46,0.51,0.7,0.6,0.6,0.7,0.7
"Kirchlengern",0,0,1963,7,5,0,1,1,0.64,0.16,0.7,0.6,0.6,0.7,0.7
"Marienmuenster",0,0,1963,10,5,0,0,1,0.55,0.51,0.7,0.6,0.6,0.7,0.7
"Sonsbeck",0,0,1963,10,5,1,1,0,0.52,0.48,0.7,0.6,0.6,0.7,0.7
"Straelen",0,0,1963,7,5,0,0,1,0.57,0.44,0.7,0.6,0.6,0.7,0.7
"Wuppertal",0,0,1963,8,5,1,0,1,0.34,0.56,0.7,0.6,0.6,0.7,0.7
"Suedlohn",0,0,1963,8,5,1,0,1,0.65,0.49,0.7,0.6,0.6,0.7,0.7
"Leverkusen",0,0,1963,9,5,1,1,1,0.34,0.53,0.7,0.6,0.6,0.7,0.7
"Schwerte",0,0,1963,8,5,0,0,1,0.51,0.75,0.7,0.6,0.6,0.7,0.7
"Engelskirchen",0,0,1963,12,5,0,1,1,0.5,0.32,0.7,0.6,0.6,0.7,0.7
"Werl",0,0,1963,8,5,0,1,1,0.45,0.56,0.7,0.6,0.6,0.7,0.7
"Wesseling",0,0,1963,6,5,1,1,0,0.5,0.34,0.7,0.6,0.6,0.7,0.7
"Tecklenburg",0,0,1963,10,5,0,1,1,0.67,0.56,0.7,0.6,0.6,0.7,0.7
"Mettmann",0,0,1963,10,5,1,1,1,0.64,0.36,0.7,0.6,0.6,0.7,0.7
"Bocholt",0,0,1963,8,5,0,1,0,0.71,0.56,0.7,0.6,0.6,0.7,0.7
"Schleiden",0,0,1963,9,5,1,0,0,0.62,0.5,0.7,0.6,0.6,0.7,0.7
"Ratingen",0,0,1963,10,5,0,0,1,0.56,0.38,0.7,0.6,0.6,0.7,0.7
"Meerbusch",0,0,1963,7,5,1,1,0,0.38,0.54,0.7,0.6,0.6,0.7,0.7
"Hellenthal",0,0,1963,7,5,1,1,0,0.42,0.59,0.7,0.6,0.6,0.7,0.7
"\Uebach-Palenberg\",0,0,1963,7,5,0,1,0,0.49,0.37,0.7,0.6,0.6,0.7,0.7
"Bestwig",0,0,1963,8,5,1,1,0,0.67,0.61,0.7,0.6,0.6,0.7,0.7
"Lengerich",0,0,1963,9,5,0,1,0,0.4,0.52,0.7,0.6,0.6,0.7,0.7
"Radevormwald",0,0,1963,7,5,1,0,0,0.54,0.6,0.7,0.6,0.6,0.7,0.7
"Siegen",0,0,1963,9,5,1,1,0,0.44,0.51,0.7,0.6,0.6,0.7,0.7
"Soest",0,0,1963,7,5,0,0,0,0.48,0.5,0.7,0.6,0.6,0.7,0.7
"Issum",0,0,1963,6,5,0,1,0,0.54,0.58,0.7,0.6,0.6,0.7,0.7
"Waltrop",0,0,1963,7,5,0,0,1,0.55,0.55,0.7,0.6,0.6,0.7,0.7
"\Castrop-Rauxel\",0,0,1963,11,5,0,1,0,0.52,0.5,0.7,0.6,0.6,0.7,0.7
"Nettetal",0,0,1963,8,5,0,0,0,0.53,0.28,0.7,0.6,0.6,0.7,0.7
"\Bad Salzuflen\",0,0,1963,7,5,0,0,0,0.49,0.56,0.7,0.6,0.6,0.7,0.7
