"","income_t-1","income_t-2","income_t-3","income_t-4","income_t-5"
"Ahaus",45600,37900,31800,36500,38000
"Beckum",29700,55200,48800,27400,40800
"Bruehl",37000,49000,38700,39900,31300
"Hoevelhof",52800,31900,32000,45400,48700
"Hopsten",35200,43500,26600,33200,44700
"Lippetal",35000,31900,33800,40300,54300
"Nottuln",53000,47000,47700,37100,26600
"Ostbevern",33600,39800,23800,28600,34300
"Greven",27200,35500,43500,44800,52700
"Hamm",32000,37400,58300,27500,51200
"Hamminkeln",28200,37900,53000,50300,48600
"Mechernich",36100,55000,49200,53900,53300
"Moenchengladbach",42400,32400,39300,33700,44600
"Salzkotten",27000,45300,46800,50300,54100
"Selm",36500,47800,47700,40500,26300
"Lotte",35800,47100,47100,47400,53000
"Holzwickede",58800,33100,38100,45800,34400
"Juechen",49100,36500,27800,35700,28800
"Luedinghausen",21700,59100,38200,35200,31000
"Hilden",39000,49600,44900,35000,37000
"Borgholzhausen",45500,40900,42700,42900,33100
"Kirchlengern",41800,38600,47100,55000,46400
"Marienmuenster",48400,51500,31700,34700,32800
"Sonsbeck",22800,26000,40400,45400,26800
"Straelen",51400,35600,38100,41000,50100
"Wuppertal",60700,34000,53900,33700,36800
"Suedlohn",37400,46500,32700,45200,46800
"Leverkusen",36200,30900,38700,55700,48300
"Schwerte",31700,33600,47700,39300,33400
"Engelskirchen",36900,49100,45300,38600,43800
"Werl",29300,30200,43200,46400,27200
"Wesseling",51600,55100,36500,38300,36300
"Tecklenburg",40600,51800,38100,33200,37900
"Mettmann",32100,32600,36400,38800,50100
"Bocholt",53700,56800,44100,44600,40100
"Schleiden",48900,38000,43700,28100,43500
"Ratingen",41500,33500,46700,35200,40800
"Meerbusch",36700,43300,29000,32000,51500
"Hellenthal",33700,44300,40500,40600,36200
"\Uebach-Palenberg\",47700,41600,44200,49900,29000
"Bestwig",49000,42900,44500,40800,40600
"Lengerich",36000,46900,48900,33700,35200
"Radevormwald",43100,33100,53500,39400,30200
"Siegen",33000,24200,40600,30400,32600
"Soest",51200,41500,49200,43400,30900
"Issum",47300,31800,40300,41700,50800
"Waltrop",24100,32700,45800,58600,36200
"\Castrop-Rauxel\",37600,38100,26300,50100,27700
"Nettetal",41400,45400,53200,47300,48400
"\Bad Salzuflen\",56200,33400,45400,45600,44500
