"","strat01","strat02","strat03","strat04","strat05","strat06","strat07","strat08","strat09","strat10","strat11","strat12","strat13","strat14","strat15","strat16","strat17","strat18","strat19","strat20","strat21","strat22","strat23","strat24","strat25","strat26","strat27","strat28","strat29","strat30","strat31","strat32","strat33","strat34","strat35","strat36","strat37","strat38","strat39","strat40","strat41","strat42","strat43","strat44","strat45","strat46","strat47","strat48","strat49","strat50","strat51","strat52","strat53","strat54","strat55","strat56","strat57","strat58","strat59","strat60","strat61","strat62","strat63","strat64","strat65","strat66","strat67","strat68","strat69","strat70","strat71","strat72"
"Ahaus",3,3,3,3,3,3,3,2,3,3,3,4,4,3,4,3,3,4,2,3,4,3,2,3,4,3,4,2,3,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,2,2,3,3,3,4,3,4,3,4,5,3,4,3,3,3,2,2,2,2,3,2,5,2,2,3,2,3
"Beckum",4,4,3,3,3,3,5,3,2,2,3,3,3,3,3,2,5,3,2,2,3,3,3,3,3,3,2,3,3,3,4,3,3,3,3,2,4,4,3,2,3,4,3,3,3,2,2,3,3,4,3,3,3,5,2,3,3,3,2,3,2,4,3,4,4,3,2,3,4,2,2,4
"Bruehl",4,3,3,2,2,3,3,2,1,3,3,3,3,4,2,3,3,3,4,3,3,2,3,2,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,4,3,2,2,3,3,3,3,4,3,3,4,4,4,3,3,2,3,4,2,3,2,3,2,3,3
"Hoevelhof",3,3,2,3,3,4,3,2,3,3,4,4,3,2,3,3,4,2,2,3,3,2,3,3,3,3,3,2,3,2,3,4,3,3,3,2,4,4,4,3,2,3,3,4,2,3,3,3,3,2,3,2,3,4,4,3,2,3,2,3,3,3,3,3,3,3,3,3,2,3,4,3
"Hopsten",2,3,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,2,2,3,2,3,4,2,4,3,3,4,3,4,3,3,4,3,2,4,3,3,2,4,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3,2,3,3,3,2,4,4
"Lippetal",3,3,3,3,2,3,3,3,3,3,4,2,3,3,2,2,4,4,3,4,3,2,3,4,4,3,2,3,3,2,3,4,3,2,3,2,2,3,4,3,2,3,4,3,3,4,2,2,3,2,4,2,3,3,2,2,4,2,3,2,4,2,3,2,4,3,3,2,3,2,2,3
"Nottuln",4,4,3,3,3,3,3,3,3,3,3,2,4,2,3,4,2,2,3,3,3,4,3,4,3,3,3,4,3,4,3,2,4,3,3,3,3,3,4,3,3,3,3,4,2,3,3,3,3,3,3,4,3,3,3,2,3,2,4,3,3,3,3,2,4,3,3,3,3,3,3,2
"Ostbevern",3,4,4,2,2,2,4,3,4,2,2,2,2,4,3,2,3,2,4,2,4,4,3,1,3,2,3,3,3,3,3,3,2,4,3,3,4,3,4,3,3,3,3,3,4,2,3,2,3,3,4,4,2,3,4,3,3,3,4,4,4,4,2,3,3,2,3,3,4,3,3,3
"Greven",2,3,3,3,3,4,3,4,3,4,2,3,3,3,3,2,4,2,2,3,2,2,3,4,2,3,3,4,3,2,4,5,3,5,3,3,3,2,3,4,4,3,3,2,2,3,4,4,2,3,3,3,3,3,3,3,4,3,3,2,4,4,4,2,3,2,3,3,2,3,4,3
"Hamm",3,3,3,2,2,2,2,3,3,4,4,4,4,3,3,2,2,4,4,4,3,3,3,3,4,4,3,4,3,3,4,3,3,3,3,2,4,3,4,3,3,4,3,3,3,3,2,3,3,3,2,3,4,3,3,3,4,3,3,3,3,3,3,4,4,3,3,3,3,2,3,2
"Hamminkeln",2,3,3,3,4,3,2,2,3,3,4,3,3,2,3,4,3,3,4,4,3,3,3,2,3,4,4,4,3,3,3,3,2,3,2,4,4,2,3,3,3,2,3,3,3,3,3,3,4,2,3,2,3,2,2,3,3,4,4,4,3,3,3,3,3,3,3,3,3,4,2,3
"Mechernich",3,3,2,3,3,2,3,4,3,3,3,3,3,3,3,2,2,4,4,3,3,3,3,3,4,3,3,3,3,3,3,2,3,3,4,3,2,3,2,4,4,3,3,3,3,3,3,4,2,3,3,3,3,1,3,3,3,2,3,2,3,2,2,3,2,2,4,3,4,2,2,3
"Moenchengladbach",3,4,4,2,3,3,3,3,4,2,2,4,2,3,3,3,2,2,3,4,3,3,4,3,5,3,3,2,2,2,3,3,2,3,3,4,2,3,4,3,3,3,4,2,3,3,2,3,3,2,4,2,3,5,3,3,2,3,1,3,3,3,3,3,3,4,4,5,4,2,3,2
"Salzkotten",3,3,4,4,4,3,3,3,3,2,2,3,4,3,3,2,4,4,4,3,4,3,3,2,3,3,3,3,3,4,2,3,2,3,3,3,3,3,4,3,4,3,3,3,2,3,4,4,2,3,2,2,3,3,3,3,4,3,3,2,3,3,4,4,3,3,3,4,3,3,4,3
"Selm",3,2,3,2,3,3,4,3,4,3,4,3,3,3,3,2,2,2,3,4,3,3,2,5,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,2,3,3,4,2,3,3,3,3,2,3,2,4,5,3,4,4,2,3,2,4,3,3,3,4,2,2,3,3,3,3,4
